Topic,Count,Name,Representation,Representative_Docs
-1,67,-1_ethical_module_software_layers,"['ethical', 'module', 'software', 'layers', 'environment', 'behaviour', 'safety', 'requirements', 'evaluation', 'hardware']","['safety refers to the expectation that does not under defined circumstances lead to state in which human life health property or the environment is endangered', 'für molekularbiologie und angewandte ökologie ime eilebrecht sebastian gestalt robotics gmbh funk eugen neurocat gmbh günther wiebke fraunhofer institut für offene kommunikationse fokus hackel sascha neurocat gmbh hinze stephan initiator acsioma gmbh holzem rafael foreword din spec stiftung neue verantwortung jentzsch nicola micropsi industries gmbh korndörfer clemens universität osnabrück institute of cognitive science kühnberger hochschule für technik und wirtschaft berlin htw wirtschaftswissenschaften de meer jan', 'source din spec safety expectation that does not under defined conditions lead to state in which human life health property or the environment is endangered note to entry until now this term has been used generally in the sense of rability']"
0,37,0_quality_requirements_normative_governance,"['quality', 'requirements', 'normative', 'governance', 'technical', 'standards', 'specification', 'bosch', 'symbols', 'standardization']","['they are given in din spec', 'din spec alleinverkauf der normen durch beuth verlag gmbh berlin gesamtumfang seiten artificial intelligence life cycle processes and quality requirements part quality meta model text in english künstliche intelligenz life cycle prozesse und qualitätsanforderungen teil text englisch intelligence artificielle processus du cycle de vie et exigences pour la qualité partie métamodèle de qualité texte en anglais din spec page foreword introduction scope purpose field of application limitations normative references terms and definitions symbols and abbreviations quality metamodel introduction module and software system relation risk evaluation environment platform data model life cycle general life cycle processes quality pillars bibliography contents din spec this din spec has been developed according to the pas publicly available specification procedure', 'din spec artificial intelligence life cycle processes and quality requirements part technical and organizational requirements iso cardiovascular implants cardiac valve prostheses part heart valve substitutes implanted by transcatheter techniques iso general principles on rability for structures list of equivalent terms iso quality management fundamentals and vocabulary iso supply chain applications of rfid returnable transport items rtis and returnable packaging items rpis iso geographic conceptual schema language iso intelligent transport automatic vehicle and equipment identification electronic registration identification eri for vehicles part secure communications using symmetrical techniques iso road vehicles functional safety part vocabulary iso security management for the supply chain best practices for implementing supply chain security assessments and plans requirements and guidance information technology sedris part functional specification system und qualitätskriterien und bewertung von und softwareprodukten square leitfaden für square information technology governance of it governance of data part application of to the governance of data business requirements for health summary records part environmental scan electronic fee collection guidnes for security protection profiles health informatics trusted flows din spec russell and norvig']"
1,34,1_inference_hyperparameters_models_parameters,"['inference', 'hyperparameters', 'models', 'parameters', 'task', 'stage', 'weights', 'configuration', 'degree', 'architectures']","['the inference model is one specific element of the model space', 'source inference model one specific element of the model space that solves specific task to certain degree note to entry the inference model includes fixed hyperparameters', 'source iso modified note to entry adapted from model space set of potential approaches to solve task to certain degree note to entry in the model space the hyperparameters are not yet fixed']"
2,30,2_quality_assurance_testing_pillars,"['quality', 'assurance', 'testing', 'pillars', 'requirements', 'robustness', 'validation', 'characteristics', 'software', 'errors']","['the quality requirements arising from these new challenges are organized in the three quality pillars functionality performance robustness and comprehensibility', 'source task required recommended or permissible action intended to contribute to the achievement of one or more outcomes of process source testing process of planning preparing implementing and exercising tests in order to reveal errors or anomalies in implementation which may lead to failure note to entry depending on the testing scopes different testing levels may be applied unit testing proves the correctness of single software integration testing checks the proper interface implementation testing reveals errors of the under test as such and acceptance testing is usually performed by the customer on the target platform for correct user interaction with the', 'source quality assurance part of quality management focused on providing confidence that quality requirements will be fulfilled source iso quality pillar one of the three quality characteristics functionality performance robustness and comprehensibility quality requirement requirement that is necessary to quality rability ability of device or to perform its intended function under given conditions of use for specified period of time or number of cycles source requirement statement that translates or expresses need and its associated constraints and conditions source risk effect of uncertainty on objects note to entry an effect is deviation from the expected positive or negative']"
3,28,3_stages_retirement_software_development,"['stages', 'retirement', 'software', 'development', 'processes', 'deployment', 'bug', 'framework', 'testing', 'environment']","['life cycle general every software has life cycle that determines its evolution from conception until retirement and consists of life cycle stages and processes', 'one may map the life cycle stages of the module to the life cycle stages of an existing software life cycle', 'field of application this document applies to all life cycle stages of an module concept development deployment operation and retirement and addresses variety of different life cycle processes']"
4,21,4_modules_risk_requirements_adversarial,"['modules', 'risk', 'requirements', 'adversarial', 'robustness', 'distributional', 'attack', 'trustworthy', 'classes', 'training']","['for high risk modules deviation from the quality requirements is either not permitted or is to be justified while for low risk modules this is less strict', 'deviation from highly recommended requirements for low risk modules is only permitted in exceptional cases and with appropriate justification whereas deviations from mandatory requirements such as the establishment of risk identification and assessment process are not accepted', 'module class requirement class high risk low risk mandatory no deviation from requirements allowed no deviation from requirements allowed highly recommended deviation from requirements with justification only deviation from requirements with justification only recommended deviation from requirements with justification only deviation from requirements without justification allowed for low risk modules deviations from recommended requirements are permitted without further justification']"
5,20,5_note_adapted_document_rights,"['note', 'adapted', 'document', 'rights', 'patent', 'failure', 'software', 'definitions', 'terms', 'regulatory']","['source iso modified note to entry has been added', 'source iso modified note to entry has been added', 'source modified note to entry has been added']"
6,19,6_cycle_stages_processes_test,"['cycle', 'stages', 'processes', 'test', 'groups', 'conceptualization', 'visibility', 'disposal', 'early', 'utilization']","['for instance if an error is found somewhere in the life cycle it can be necessary to go back to the stage where it has originated in order to fix it and then pass through the life cycle stages again', 'this allows to link requirements to one or more life cycle processes and one or more life cycle stages', 'these quality requirements are also linked to different life cycle stages and life cycle processes']"
7,15,7_metamodel_quality_pillar_aspects,"['metamodel', 'quality', 'pillar', 'aspects', 'design', 'dependencies', 'describes', 'devops', 'outline', 'metrics']","['thus the quality metamodel covers all aspects of quality assurance', 'this document introduces an quality metamodel to outline key aspects of quality including the previously mentioned quality pillars', 'figure quality metamodel the metamodel includes the most important aspects that need to be taken into account to facilitate the design of high quality modules the life cycle of an module illustrated by the circle in the middle of figure consisting of the life cycle stages concept development deployment operation retirement and life cycle processes']"
8,15,8_privacy_security_ethical_aspects,"['privacy', 'security', 'ethical', 'aspects', 'evaluation', 'module', 'document', 'framework', 'transfer', 'cyber']","['high risk modules so called critical modules have safety security privacy or ethical relevance', 'however the software in which the module is situated might have safety security privacy or ethical relevance', 'this document proposes the separation between modules with high and low risk concerning safety security privacy and ethical relevance']"
