Topic,Count,Name,Representation,Representative_Docs
-1,24,-1_annotations_practices_document_dates,"['annotations', 'practices', 'document', 'dates', 'annotation', 'datasets', 'structured', 'spec', 'procedures', 'informative']","['best practices for extenders the approaches and procedures have been found to be helpful for anyone intending to use publish their own set of annotations to extend the annotations described in this document when extending the annotation provided in this document to accommodate an use case it may be helpful to check whether properties of typical dimension for this use case may satisfy the mece property mutually exclusive commonly exhaustive', 'source din iec modified note to entry deleted and replaced by new note to entry semantic data annotations classification criteria there are four types of data annotations filter annotations that perform various filters on the input data transformation annotations used to carry out transformation on the input values semantic annotations to explicitly communicate column meaning analysis annotations that affect the analysis depending on the type annotations can either denote property of the data the fact that dimension contains text property of the data being an dent variable in the context of the specific use case or intended use of dimension necessary filter on one of the dimensions that then enables the dataset to be processed correctly', 'din and dke maintain terminology databases for use in standardization at the addresses available at available at iso and iec maintain terminology databases for use in standardization at the addresses iso online browsing platform available at iec electropedia available at dataset identifiable collection of data source iso modified note to entry deleted structured dataset identifiable collection of data with metadata data about data or data elements possibly including their data descriptions and data about data ownership access paths access rights and data volatility source modified notes to entry deleted din spec annotation metadata associated with an item at given instance in time note to entry the term annotation as used in this document is meant to be understood in the literal sense of the word as opposed to data annotations as used in the field of machine learning ml the primary purpose of data tions in this document is not to train classifiers but rather to enable fully automated intelligent processing of structured datasets']"
0,31,0_column_sales_values_filter,"['column', 'sales', 'values', 'filter', 'numeric', 'transactions', 'aggregated', 'bucket', 'semantic', 'categorical']","['ʺrevenueʺ applied to the revenue column in table of sales transactions focuses the analysis on only those transactions that individually contributed significantly to overall revenue din spec table continued annotation type description examples filter filter table on the three items with the largest sum of given numeric value column', 'summable applied to column of prices in table of sales transactions that the prices are summed to get total revenue numbers applied to column of prices in table of items that the prices are not summed maximizable semantic specifies that the values in numeric column have meaningful maximum which should be in all analyses', 'ʺpriceʺ applied to price column in table of sales transactions focuses the analysis on the three highest priced items filter filter table on the ten items with the largest sum of given value column']"
1,20,1_survey_analytics_dimension_annotation,"['survey', 'analytics', 'dimension', 'annotation', 'interview', 'specifies', 'interviewer', 'household', 'column', 'values']","['applied to dimension of household income in survey that this household income is analyzed as variable not survey response semantic in survey analytics if responses to multiple choice questions are stored across one dimension per response option this annotation specifies which dimensions jointly encode multiple choice variable', 'applied to dimension containing about the web browser that was used to fill out survey causes that dimension to be treated as survey metadata thus removing any warnings about this dimension being unclassified as neither nor response variable semantic in survey analytics specifies that this column stores values that uniquely identify the survey mode as part of which this was collected', 'applied to dimension of household income in survey that this household income is analyzed as survey response not variable semantic in survey analytics specifies that this column stores values that uniquely identify the survey wave as part of which this was collected']"
2,19,2_minimizable_maximizable_nominal_,"['minimizable', 'maximizable', 'nominal', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['see also nominal', 'see also maximizable', 'see also minimizable']"
3,15,3_document_standards_patent_developed,"['document', 'standards', 'patent', 'developed', 'procedure', 'rights', 'precision', 'provision', 'liable', 'normung']","['din spec foreword this din spec has been developed according to the pas procedure', 'din deutsches institut für normung ist inhaber aller ausschließlichen rechte weltweit alle rechte der verwertung gleich in welcher form und welchem verfahren sind weltweit din vorbehalten', 'this document has been developed and adopted by the initiator and authors named below inspirient gmbh guillaume aimetti patrick mertes georg wittenburg kantar public johannes huxoll martin rathje scheer pas deutschland gmbh christian linn at present there are no standards covering this topic in the body of german standards']"
4,15,4_annotation_annotations_caution_lead,"['annotation', 'annotations', 'caution', 'lead', 'form', 'effects', 'immediate', 'fields', 'focus', 'negation']","['use with caution as this annotation will likely lead to an increase in the number of results', 'user may however be notified if internal classifiers of software component would agree or disagree with provided annotation', 'some annotations also have general negated version that causes the stated effect of the annotation not to be applied or when evaluating the dataset']"
5,14,5_dimension_process_event_dataset,"['dimension', 'process', 'event', 'dataset', 'identifier', 'values', 'duration', 'failure', 'organization', 'times']","['applied to dimension of process dataset that values in this dimension are used as referencing to the identifier value of the next event within specific instance', 'applied to dimension of process dataset that values in this dimension are used as the unique event identifier', 'applied to dimension of process dataset that the values in this dimension are used as the unique process identifier']"
6,14,6_process_contains_event_semantic,"['process', 'contains', 'event', 'semantic', 'column', 'identifiable', 'prior', 'classifying', 'describes', 'owner']","['semantic for process data specifies that column contains level data data relating to specific event as part of the execution instance of business process', 'semantic for process data specifies that column contains id values that correspond to uniquely identifiable specific execution instance of business process', 'semantic for process data specifies that column contains id values that correspond to uniquely identifiable specific event as part of an execution instance of business process']"
7,11,7_annotations_formats_namespace_syntax,"['annotations', 'formats', 'namespace', 'syntax', 'annotation', 'gesamtumfang', 'anglais', 'pose', 'labels', 'images']","['major gap exists in annotations that enable the correct semantic interpretation and subsequent of dataset especially if this is to be done automatically without supporting interpretation and contextualization by human subject matter expert', 'syntactic annotations that specify data types data ranges and formatting number and currency formats for scientific or commercial use cases content annotations and labels document the correct interpretation of individual data items for the pose of machine learning ml annotations of images to train models for automatic classification', 'din spec ics semantische zur unterstützung datenverarbeitung text englisch semantic data annotations to support data processing text in english annotations sémantiques des données pour le traitement des données assisté par texte en anglais gesamtumfang seiten dieses dokument wurde durch die im vorwort genannten verfasser erarbeitet und verabschiedet']"
8,10,8_normative_terms_references_definitions,"['normative', 'terms', 'references', 'definitions', 'bibliography', 'document', 'scope', 'subject', 'criteria', 'classification']","['normative references', 'normative references there are no normative references in this document', 'terms and definitions for the purposes of this document the terms and definitions apply']"
9,10,9_cells_values_column_inserts,"['cells', 'values', 'column', 'inserts', 'answers', 'polling', 'analysis', 'transformation', 'automated', 'treat']","['ʺdon knowʺ applied to column of opinion polling answers inserts the phrase don know into all cells with value of and the numeric value is excluded from sum and average operations', 'ʺnot applicableʺ applied to column of opinion polling answers inserts the phrase not applicable into all cells with value of and is treated as an empty value', 'ʺno answer givenʺ applied to column of opinion polling answers inserts the phrase no answer given into all empty cells to be used in any output of results transformation ignore specified value treat as absent or null ʺjohn doeʺ applied to column of names causes all cells that contain the string john doe to be treated as empty semantic specifies that higher values in numeric columns are better in the context of this analysis for any optimization sets the aim to achieve higher values for this dimension as opposed to lower values']"
10,9,10_annotations_properties_statistical_sensor,"['annotations', 'properties', 'statistical', 'sensor', 'temperature', 'variables', 'longitude', 'readings', 'geographical', 'tables']","['table annotations for basic statistical properties', 'minimizable applied to column of readings of temperature sensor that the minimum temperature is calculated and whereas this would not be desirable for sensor that captures geographical longitude table annotations for advanced statistical properties annotation type description examples analysis specifies that this column is dependent variable of interest that should be explained given in other independent variables', 'table annotations for advanced statistical properties']"
11,8,11_client_tables_directory_ids,"['client', 'tables', 'directory', 'ids', 'frequent', 'transactions', 'analyses', 'sales', 'countries', 'foreign']","['applied to column of client ids in table of sales transactions foreign key and to another column of client ids in client directory primary key joins the data from the client directory to the table of sales transactions', 'each result is clearly labeled with to which country it covers transformation split table into separate tables for the most frequent items in this column those items that collectively account for of all data in this column', 'each result is clearly labeled with to which country it covers transformation join this table and second table that is also being submitted for analysis using the values in this column as keys']"
