Topic,Count,Name,Representation,Representative_Docs
-1,12,-1_ethical_anderson_computing_transparent,"['ethical', 'anderson', 'computing', 'transparent', 'promote', 'accountability', 'natasa', 'pervasive', 'trustworthy', 'testimony']","['computing professional should be transparent and provide full disclosure of all pertinent system capabilities limitations and potential problems to the appropriate parties', 'computing professionals are in position of trust and therefore have special responsibility to provide objective credible evaluations and testimony to employers employees clients users and the public', 'members eve anderson ron anderson amy bruckman karla carter michael davis penny duquenoy jeremy epstein kai kimppa lorraine kisselburgh shrawan kumar andrew mcgettrick natasa denise oram simon rogerson david shama janice sipior eugene spafford and les waguespack']"
0,42,0_computing_professionals_work_society,"['computing', 'professionals', 'work', 'society', 'technologies', 'artifacts', 'principles', 'ensure', 'integrated', 'value']","['respect the work required to produce new ideas inventions creative works and computing artifacts', 'high quality professional work in computing depends on professional review at all stages', 'as appropriate to the context and one abilities computing professionals should share technical knowledge with the public foster awareness of computing and encourage understanding of computing']"
1,31,1_code_ethical_conduct_principles,"['code', 'ethical', 'conduct', 'principles', 'violations', 'basis', 'force', 'committee', 'compliance', 'member']","['the acm code of ethics and professional conduct the code expresses the conscience of the profession', 'the code as whole is concerned with how fundamental ethical principles apply to computing professional conduct', 'acm members who recognize breach of the code should consider reporting the violation to the acm which may result in remedial action as specified in the acm code of ethics and professional conduct enforcement policy']"
2,28,2_data_privacy_access_collections,"['data', 'privacy', 'access', 'collections', 'procedures', 'policies', 'confidentiality', 'cases', 'rights', 'technology']","['computing professionals are often entrusted with confidential information such as trade secrets client data nonpublic business strategies financial information research data scholarly articles and patent applications', 'computing professionals should establish transparent policies and procedures that allow individuals to understand what data is being collected and how it is being used to give informed consent for automatic data collection and to review obtain correct inaccuracies in and delete their personal data', 'this requires taking precautions to prevent identification of anonymized data or unauthorized data collection ensuring the accuracy of data understanding the provenance of the data and protecting it from unauthorized access and accidental disclosure']"
3,28,3_risks_security_computing_affected,"['risks', 'security', 'computing', 'affected', 'ensure', 'misuse', 'threats', 'deployed', 'precautions', 'colleagues']","['users should be notified of the risks of continued use of the unsupported system long before support ends', 'to ensure the system achieves its intended purpose security features should be designed to be as intuitive and easy to use as possible', 'computing professionals should assist system users in monitoring the operational viability of their computing systems and help them understand that timely replacement of inappropriate or outdated features or entire systems may be needed']"
4,13,4_professional_assignment_competence_expertise,"['professional', 'assignment', 'competence', 'expertise', 'employer', 'client', 'skill', 'regional', 'neglect', 'recognizing']","['this includes evaluating the work feasibility and advisability and making judgment about whether the work assignment is within the professional areas of competence', 'the client or employer may decide to pursue the assignment with the professional after additional time to acquire the necessary competencies to pursue the assignment with someone else who has the required expertise or to forgo the assignment', 'if at any time before or during the work assignment the professional identifies lack of necessary expertise they must disclose this to the employer or client']"
5,12,5_leaders_policies_encourage_organizations,"['leaders', 'policies', 'encourage', 'organizations', 'responsibilities', 'maintenance', 'priority', 'energy', 'projects', 'deployment']","['the public good should always be an explicit consideration when evaluating tasks associated with research requirements analysis design implementation testing validation deployment maintenance retirement and disposal', 'technical organizations and groups affect broader society and their leaders should accept the associated responsibilities', 'when organizations and groups develop systems that become an important part of the infrastructure of society their leaders have an added responsibility to be good stewards of these systems']"
6,11,6_harm_unjustified_mitigate_responsible,"['harm', 'unjustified', 'mitigate', 'responsible', 'consequences', 'risks', 'undo', 'unjust', 'whistle', 'damage']","['when harm is an intentional part of the system those responsible are obligated to ensure that the harm is ethically justified', 'examples of harm include unjustified physical or mental injury unjustified destruction or disclosure of information and unjustified damage to property reputation and the environment', 'when that harm is unintended those responsible are obliged to undo or mitigate the harm as much as possible']"
7,9,7_harassment_discrimination_accessibility_physical,"['harassment', 'discrimination', 'accessibility', 'physical', 'virtual', 'identity', 'inclusiveness', 'justice', 'tolerance', 'union']","['leaders should consider the personal and professional development accessibility requirements physical safety psychological and human dignity of all workers', 'harassment including sexual harassment bullying and other abuses of power and authority is form of discrimination that amongst other harms limits fair access to the virtual and physical spaces where such harassment takes place', 'prejudicial discrimination on the basis of age color disability ethnicity family status gender identity labor union membership military status nationality race religion or belief sex sexual orientation or any other inappropriate factor is an explicit violation of the code']"
8,8,8_leadership_organization_opportunities_responsibilities,"['leadership', 'organization', 'opportunities', 'responsibilities', 'role', 'guides', 'personnel', 'seminars', 'manage', 'volunteer']","['upgrading skills should be an ongoing process and might include independent study attending conferences or seminars and other informal or formal education', 'in this section leader means any member of an organization or group who has influence educational responsibilities or managerial responsibilities', 'educational opportunities are essential for all organization and group members']"
