Topic,Count,Name,Representation,Representative_Docs
-1,472,-1_design_stanford_accountability_social,"['design', 'stanford', 'accountability', 'social', 'ethical', 'impact', 'organizations', 'standards', 'values', 'applications']","['artificial intelligence and life in one hundred year study on artificial stanford ca stanford university', 'artificial intelligence and life in one hundred year study on artificial stanford ca stanford university', 'such frameworks also encourage proactive examination of harms and risks seek to engage the data subject consumer user stakeholders in the design of the software and recommend best practices and regulatory requirements such as data minimization accountability transparency options such as encryption to be embedded into the system']"
0,384,0_data_privacy_access_digital,"['data', 'privacy', 'access', 'digital', 'gdpr', 'services', 'pii', 'users', 'regulation', 'tools']","['candidate recommendation individuals should have access to means that allow them to exercise control over use of personal data at the time the data is used', 'candidate recommendations personal privacy tools such as ieee have the potential to change the data paradigm and put the generators of personal information personal data and individual access control at the center of collection', 'personal data and individual access control overall personal data reflects and the inalienable right for an individual to be able to access and control the attributes of their physical digital and virtual identity']"
1,340,1_intelligent_machines_ethics_autonomy,"['intelligent', 'machines', 'ethics', 'autonomy', 'behavior', 'ethical', 'morality', 'agents', 'design', 'algorithms']","['towards moral autonomous systems', 'cath safety and beneficence of artificial general intelligence agi and artificial superintelligence asi malo bourgon and richard mallah personal data and individual access control katryna dow and john havens reframing autonomous weapons systems peter asaro issues kay and raj madhavan law kay and derek jinks affective computing ronald arkin and joanna bryson classical ethics in jared bielby policy kay and philip hall mixed reality monique morrow and jay iorio laura musikanski and john havens drafting kay and deven desai industry virginia dignum and malavika jayaram communications leanne seeto and mark halverson glossary sara jordan outreach danit gal we wish to express our appreciation for the reports organizations and individuals that have contributed research and insights helping to increase awareness around ethical issues in the realm of intelligent and autonomous systems including but not limited to and in no particular order reports the future of life institute asilomar ai principles the ai now report human rights in the robot age report from the rathenau instituut report of comest on robotics ethics from unesco the european parliament recommendations to the commission on civil law rules on robotics artificial intelligence the consequences of artificial intelligence on the digital single market production consumption employment and society report from the european economic and social committee rapporteur catelijne muller oecd report going digital making the transformation work for growth and being usacm statement on algorithmic transparency and accountability guide to the ethical design and application of robots and robotic systems british standards institute japan basic rules for ai research éthique de la recherche en robotique cerna charta der digitalen grundrechte der europäischen union charter of the digital fundamental rights of the european union telecommunications research laboratory ai network kentōkai kaigi hōkokusho ai network no eikyōto risk chiren shakai wins no jitsugen ni muketa kadai aiネットワーク化検討会議 スク ウインズ the conference on networking among ais report impacts and risks of ai networking issues for the realization of wisdom network society wins japanese ministry of internal affairs and communications the information technology industry council ai policy principles intel artificial intelligence the public policy opportunity ieee european public policy initiative position statement artificial intelligence calling on policy makers to take leading role in setting long term ai strategy position statement on artificial intelligence research development and regulation the ieee global initiative prioritizing human in the age of artificial intelligence', 'classical ethics in the task of the committee for classical ethics in autonomous and intelligent systems is to apply classical ethics methodologies to considerations of algorithmic design in autonomous and intelligent systems where machine learning may or may not reflect ethical outcomes that mimic human']"
2,321,2_resources_cambridge_al_fisher,"['resources', 'cambridge', 'al', 'fisher', 'bendel', 'books', 'references', 'webster', 'bielby', 'metzinger']","['cambridge ma mit press', 'cambridge ma mit press', 'cambridge ma mit press']"
3,255,3_metrics_indicators_countries_gdp,"['metrics', 'indicators', 'countries', 'gdp', 'economics', 'humanitarian', 'development', 'happiness', 'subjective', 'workforce']","['this document is divided into the following sections an introduction to metrics what you need to know the value of metrics for why you should care adaptation of metrics for what you can do appendix the following sections are included in the appendix as separate documents to provide readers with an introduction to existing individual and societal level metrics currently in use the state of metrics', 'this report along with more recent work being done by other organizations in the public sector like the oecd in their february workshop measuring business impacts on people demonstrates the desire for business leaders to incorporate metrics of success beyond fiscal indicators for their efforts', 'on april ieee hosted dinner debate at the european parliament in brussels to discuss how the world top metric of value gross domestic product must move beyond gdp to holistically measure how intelligent and autonomous systems can hinder or improve human prioritizing human in the age of artificial intelligence report prioritizing human in the age of artificial intelligence video section the value of metrics for metrics in the form of line benefits people planet and profit for the corporate world and in the form of tools to measure population for policy makers can provide value to technologists']"
4,168,4_ethical_ethics_innovation_ethically,"['ethical', 'ethics', 'innovation', 'ethically', 'engineers', 'students', 'practices', 'codes', 'organizations', 'stem']","['methodologies to guide ethical research and design issue lack of leadership', 'methodologies to guide ethical research and design section research ethics for development and testing of technologies issue institutional ethics committees are to address the ethics of in the fields', 'methodologies to guide ethical research and design section interdisciplinary education and research integrating applied ethics into education and research to address the issues of autonomous and intelligent systems requires an interdisciplinary approach bringing together humanities social sciences science engineering and other disciplines']"
5,168,5_weapons_aws_international_military,"['weapons', 'aws', 'international', 'military', 'autonomy', 'automated', 'icrc', 'commanders', 'unmanned', 'requirements']","['reframing autonomous weapons systems candidate recommendations autonomous weapons designers should support the considerations of the united nations to adopt protocol to ensure meaningful human control over aws under the convention on certain conventional weapons ccw treaty or other similar effort by other international bodies seeking binding international treaty', 'reframing autonomous weapons systems further resources international committee for robot arms control', 'meaningful human control over the critical functions in weapons systems can help ensure that weapons can be used in conformity with the law in each instance']"
6,122,6_vr_virtual_ar_augmented,"['vr', 'virtual', 'ar', 'augmented', 'experiences', 'avatar', 'immersive', 'physical', 'illusion', 'realities']","['mixed reality in information and communications technology committee issue combination of mixed reality and will inevitably replace many current jobs', 'mixed reality in information and communications technology committee issue artificial consciousness and reality has the potential to create parallel set of social norms', 'how can being immersed in different reality interfere with development and perception of reality by younger students who may not be able to completely differentiate mixed reality in information and communications technology committee between reality and virtual reality']"
7,101,7_affective_computing_emotions_intimate,"['affective', 'computing', 'emotions', 'intimate', 'cultures', 'nudge', 'interaction', 'human', 'affect', 'gestures']","['affective computing', 'affective computing', 'affective computing']"
8,92,8_norm_normative_priority_resolve,"['norm', 'normative', 'priority', 'resolve', 'implementation', 'apply', 'social', 'multiagent', 'values', 'communities']","['along with identifying the norms within specific community and task domain we need to identify the ways in which people prioritize competing norms and resolve norm conflicts and the ways in which people expect to resolve similar norm conflicts', 'what are social norms', 'but which norms']"
9,84,9_transparency_traceability_verifiability_implementation,"['transparency', 'traceability', 'verifiability', 'implementation', 'accountability', 'audit', 'process', 'trust', 'documentation', 'levels']","['transparency as verifiability', 'transparency and access', 'transparency in august']"
10,76,10_personhood_liability_manufacturers_law,"['personhood', 'liability', 'manufacturers', 'law', 'rights', 'responsibility', 'litigation', 'jurisdiction', 'entities', 'patent']","['the issue of the legal status of thus intertwines with broader legal questions regarding how to ensure accountability and assign and allocate liability when cause harm', 'legal status of', 'these entities have posited questions such as should the law treat such systems as legal persons with all the rights and responsibilities that personhood entails such status seems initially remarkable until consideration is given to the legal personhood status granted to corporations governmental entities and the like none of which are human even though they are run by humans']"
11,58,11_rights_principles_universal_convention,"['rights', 'principles', 'universal', 'convention', 'ruggie', 'covenant', 'regard', 'united', 'nations', 'standards']","['general principles principle human rights issue how can we ensure that do not infringe upon human rights', 'the un guiding principles on business and human rights', 'background human benefit is an important goal of as is respect for human rights set out inter alia in the universal declaration of human rights the international covenant for civil and political rights the convention on the rights of the child convention on the elimination of all forms of discrimination against women convention on the rights of persons with disabilities and the geneva conventions']"
12,52,12_dc_united_nations_institute,"['dc', 'united', 'nations', 'institute', 'geneva', 'unicef', 'nitrd', 'disarmament', 'electronics', 'research']","['the national artificial intelligence research and development strategic washington dc office of science and technology policy', 'preparing for the future of artificial washington dc executive office of the president national science and technology council', 'preparing for the future of artificial washington dc executive office of the president national science and technology council']"
