Topic,Count,Name,Representation,Representative_Docs
-1,178,-1_indicators_survey_values_community,"['indicators', 'survey', 'values', 'community', 'populations', 'subjective', 'areas', 'measure', 'task', 'index']","['adapted from the european social survey europeans personal and social psychological sense that one leads purposeful and meaningful life adapted from the oecd better life index sense one is capable and good at what they do adapted from the european social survey europeans personal and social community sense that if one were in trouble they would have relatives or friends they can count on to help them whenever they need them or not from oecd better life index sense that most people can be trusted or that one needs to be very careful in dealing with people from the world values survey wave sense of belonging to community adapted from the world values survey wave for those living with or married to partner their sense happiness in their relationship on scale from extremely unhappy to perfect from uk ons measuring national domains and measures table continues', 'culture value of sharing source other than clause education users learn about ai source other than clause economy standard of living industry value add jobs taxi rides share workers delivery environment ghg emissions renewable energy use health presence of health problems preventing one from doing things one normally does related to air quality people take walk in their neighborhood source other than clause bicycle usage source other than clause human settlements area of public and green spaces proportion of population that has convenient access to public transport by sex age and persons with disabilities satisfaction with transportation system in the city or area one lives death rate and injury rate due to road traffic injuries adapted to include injuries government equality of opportunity in using the service adapted regulatory frameworks helping to ensure equal treatment of everyone in the population adapted citizens having the legal right and practical ability to obtain information about government data access and right over personal data work average amount of time spent on leisure time out of doors away from home in previous months in the wia indicator dashboard example the colored blocks in the outer circle represent individual indicators belonging to their corresponding domains represented by block of the same color in the inner circle', 'level user stakeholder societal indicators measure the impact on consumer seller life satisfaction satisfaction with life as whole from the world values survey wave affect sense of feeling content in given week adapted from the european social survey europeans personal and social negative affects feeling sad depressed anxious adapted from the european social survey europeans personal and social psychological sense that one leads purposeful and meaningful life in given week and month adapted from the oecd better life index community sense that one sees oneself as part of community based on the world values survey wave sense of discrimination in one neighborhood or community adapted from the world values survey wave culture engagement in arts or cultural activity at least times in last year from the uk ons measuring national domains and measures education access to opportunities to learn from the un sdg indicators economy satisfaction with the financial situation of one household from the world values survey wave proportion of industries in total industry value added from the un sdg indicators net financial wealth from the oecd better life index sense that the area where one lives is good place to live for entrepreneurs forming new business adapted from the un sdg indicators table continues']"
0,80,0_value_media_issues_educators,"['value', 'media', 'issues', 'educators', 'development', 'impacts', 'information', 'managers', 'risks', 'practices']","['about ieee std ieee std is intended for use by creators in order to help in the following establishing concept of human in relation to establishing means to assess the impacts of on human from conception to end of life guiding development identifying areas for improvement informing risk mitigation strategies assessing performance identifying intended and unintended users uses and impacts on human of this recommended practice is intended for use in all sectors where are developed to guide the conception design development assessment monitoring management and improvement of impacts on human', 'this clause sets forth some of the value of ieee std to the following the public business managers and shareholders policy makers researchers educators and the media philosophers this annex does not attempt to include every aspect of the value of ieee std it is presented as starting place', 'end of scenario value of ieee std to educators and media with the growing number of classes offered in educational institutions related to issues including ethics with greater focus on impacts on human by the media it is conceivable that educators and the media could use ieee std to contribute to translating technical concepts into practical information for communication comprehension and use in multiple arenas and sectors']"
1,65,1_wia_guidance_process_stakeholders,"['wia', 'guidance', 'process', 'stakeholders', 'assessment', 'activities', 'indicators', 'stakeholder', 'impacts', 'tier']","['use the data to illuminate unexpected uses behaviors outcomes and impacts document the implementation guidance for wia activity task use of data wia activity task use of data should include the following activities improve the design development assessment monitoring management of to positively impact user and stakeholder improvement to indicators dashboard documentation of implementation as fits the creators process and organization wia activity iterate iterative use of the indicators dashboard and wia process for continual improvement to the should be conducted through the following assess the of the wia process and indicators dashboard improve the data collection and analysis strategy improve the indicators dashboard report as helpful to users and stakeholders', 'guidance for wia and indicators dashboard activities and guidance for wia activity internal user and stakeholder impact guidance on wia activity indicators guidance for wia activity data collection plan and data guidance for wia activity data analysis and use of guidance for wia activity', 'impact assessment wia and indicators dashboard activities and wia activity internal user and stakeholder impact wia activity indicators wia activity data collection plan and data wia activity data analysis and use of wia activity']"
2,38,2_sustainable_sdg_climate_education,"['sustainable', 'sdg', 'climate', 'education', 'environment', 'indicators', 'emissions', 'glossary', 'biodiversity', 'soil']","['indicators for housing include the following satisfaction with quality of housing from world values survey round satisfaction with availability of good affordable housing adapted from un sdg indicators proportion of urban population living in slums informal settlements or inadequate housing from un sdg indicators food food is defined in terms of food security as having at all times physical social and economic access to sufficient safe and nutritious food which meets their dietary needs and food preferences for an active and healthy life food and agriculture organization fao of the united nations', 'indicators for lifelong learning include the following from the un sdg indicators access to opportunities to learn extent to which global citizenship education and education for sustainable development including climate change education are part of teacher education classroom curricula and student assessment', 'environment general indicators indicators for general environment include the following satisfaction with eﬀ orts to preserve the environment adapted from the bhutan gross national happiness index with environmental laws and regulations from the global reporting initiative proportion of urban solid waste regularly collected and with adequate nal discharge out of total urban solid waste generated by cities from the un sdg indicators climate change climate change is deﬁ ned as any change in climate over time whether due to natural variability or as result of human activity international panel on climate change']"
3,33,3_annex_informative_integration_processes,"['annex', 'informative', 'integration', 'processes', 'step', 'requirements', 'dashboards', 'roadmap', 'agile', 'framework']","['annex informative managerial adoption guidance this annex provides suggestions for managerial adoption of ieee std', 'annex informative integration of ieee std into existing processes ieee std should be used as part of existing processes or on its own', 'annex informative annex informative example annex informative ieee std value annex informative integration of ieee std into existing annex informative notional examples for clause annex informative managerial adoption annex informative']"
4,32,4_vehicles_residents_transportation_ownership,"['vehicles', 'residents', 'transportation', 'ownership', 'grocery', 'developers', 'decide', 'pedestrians', 'stakeholders', 'credits']","['unintended users children of residents and other family members who do not have license to drive tourists and guests of residents people with suspended licenses who are curious to try out the ai vehicles stakeholders taxi bus and rideshare drivers delivery service providers grocery store deliveries etc', 'they will use their personal vehicles for transportation off the island', 'unintended users of the island who are curious to try out the ai vehicles unintended stakeholders taxi bus and rideshare drivers unintended stakeholders delivery service providers grocery store deliveries etc']"
5,31,5_baseline_data_stakeholders_population,"['baseline', 'data', 'stakeholders', 'population', 'collect', 'frequency', 'continually', 'repositories', 'prior', 'purposes']","['baseline data and data over time should be collected', 'the data collection plan should include descriptions of the following what data is to be collected how the data will be collected the frequency with which the data is collected how data will be time stamped and other means of identification when it is collected how baseline data is collected when baseline data is collected the description of the data collection process should be very detailed or more general as fits the circumstance', 'has baseline data been collected for stakeholders']"
6,29,6_stakeholder_creators_organization_processes,"['stakeholder', 'creators', 'organization', 'processes', 'stakeholders', 'crowdsourcing', 'stage', 'experts', 'surveys', 'engaging']","['see for stakeholder engagement resources', 'it is recommended that creators learn about processes and models for user engagement before conducting this task if user engagement processes are novel to them', 'table activity task stakeholder engagement checklist were methods of stakeholder engagement identified']"
7,27,7_workplace_index_balance_survey,"['workplace', 'index', 'balance', 'survey', 'governance', 'values', 'global', 'oecd', 'employment', 'indicators']","['sense that the conditions of one job allows one to be about as productive as one could be from the department of health and human services sense that current work life is interesting from general social survey round module smith et al', 'table indicator examples description of app employee hiring for increased efficiency long term success and candidate quality level users stakeholder societal indicators measure the impact on hr departments job seekers psychological feeling that the things one does are worthwhile from uk ons measuring national domains and measures sense one is capable and good at what they do adapted from the european social survey europeans personal and social community sense of discrimination adapted from the world values survey wave economy jobs degree to which one is worried about losing their job or not finding job world values survey round unemployment rate by sex age and persons with disabilities from there un sdg indicators government equality of opportunity and the absence of economic exploitation from freedom house work sense of independence one has in performing tasks at work from the world values survey wave satisfaction with job from smith et al', 'sense that one supervisor has respect for and cares about one welfare adapted from the department of health and human services sense that one gets support and help from coworkers european social survey round work family module satisfaction with opportunities for professional development and promotion in one current primary job from the world values survey wave sense that the conditions of one job allows one to be about as productive as one could be from the department of health and human services sense of independence one has in performing tasks at work from the world values survey wave workers representation in formal joint health and safety committees from the global reporting initiative satisfaction with salary and benefits in current primary job from the world values survey wave ratio of basic salary and remuneration of women to men from the global reporting initiative expected earnings loss measured as the percentage of the previous earnings associated with unemployment from the oecd better life index percentage of employees receiving regular performance and career development reviews from the global reporting initiative average hours of training per year per employee from global reporting initiative types of injury and rates of injury occupational diseases lost days and absenteeism and number of fatalities from the global reporting initiative work life balance work life balance is situation in which you are able to give the right amount of time and effort to your work and to your personal life outside work for example to your family or to other lexico']"
8,27,8_indicators_evaluation_tool_scientific,"['indicators', 'evaluation', 'tool', 'scientific', 'instruments', 'topics', 'researchers', 'gather', 'measurement', 'environmental']","['for example economic researchers might use certain indicators to measure specific topics whereas positive psychology researchers or environmental researchers might use other indicators for other topics', 'indicators that have been tested to help ensure they measure what they intend to measure are scientifically validated', 'prior to the deployment of an evaluation tool go indicators and potential misuse of scoring or evaluation tool should be thoroughly considered and addressed in any development of scoring or evaluation system or tool']"
