Topic,Count,Name,Representation,Representative_Docs
-1,58,-1_quality_organization_dataset_analytics,"['quality', 'organization', 'dataset', 'analytics', 'processes', 'requirements', 'dq', 'governance', 'feature', 'framework']","[""source iso/iec 23751:2022 3.4 3.4 data user party that is authorized to perform processing of data under the legal control of data holder 3.3 source iso/iec 23751:2022 3.5 3.5 data quality characteristic of data that the data meet the organization 's data requirements for specified context 3.6 data quality characteristic category of data quality attributes 3.13 that has bearing on data quality 3.5 source iso/iec 25012:2008 4.4 modified definition revised"", ""source iso/iec 2382:2015 modified preferred term swapped with admitted term note to entry removed 3.19 machine learning project ml project project that utilizes analytics 3.12 and machine learning and is responsible for the associated data throughout the data entire life cycle 3.20 data architecture description of the structure and interaction of the enterprise 's major types and sources of data logical data assets physical data assets and data management resources note to entry logical data entities can be tied to applications repositories and services and may be structured according to implementation considerations"", 'therefore to help organization ensure that data for analytics and ml meet requirements the iso/iec series identifies data quality characteristics data quality measures data quality management requirements and representative process to manage data quality over the data life cycle along with the concepts data record and data item for applying to data quality management in addition to governance framework to direct and oversee the implementation and operation of all that']"
0,22,0_data_pii_users_application,"['data', 'pii', 'users', 'application', 'downstream', 'originators', 'requirements', 'rights', 'decommissioning', 'benefit']","['this potentially reduces the workload for data users and reduces the risk of introducing downstream inconsistencies in the data from the application of different transforms', 'note to entry rights can include the right to publicity right to display name right to identity right to prohibit data use in way that offends honourable mention', 'de-identification techniques can be used to remove pii but production data used to make predictions about individuals can still contain or be linkable to pii']"
1,20,1_guidance_organizations_quality_methods,"['guidance', 'organizations', 'quality', 'methods', 'analytics', 'edition', 'references', 'tools', 'requirements', 'ml']","['iso/iec 5259-52 provides data quality governance framework for analytics and machine learning to enable the governing bodies of organization to direct and oversee the implementation and operation of data quality measures management and related processes with adequate controls throughout the dlc model according to iso/iec 5259-1', 'iso/iec 5259-4 provides general common organizational approaches regardless of type size or nature of the applying organization to ensure data quality for training and evaluation in analytics and ml', 'iso and iec maintain terminology databases for use in standardization at the following addresses iso online browsing platform available at iec electropedia available at 3.1 data life cycle life cycle of data stages in the process of data usage from idea conception to its discontinuation 3.2 data originator party that created the data and that can have rights note to entry data originator can be an individual person']"
2,19,2_ml_performance_results_training,"['ml', 'performance', 'results', 'training', 'models', 'trained', 'analytical', 'experience', 'techniques', 'transparency']","['these reports can help determine the root cause for poor performance of ml models and other analytical tasks and can be helpful for transparency and explainability of ml', 'in this case data quality has an impact on the quality of the analysis results and the performance of the ml model', 'if the analysis results or performance of the ml model do not meet expectations the following steps can be carried out for analytics and ml determine the extent to which training data or the algorithm can be the root cause']"
3,16,3_quality_characteristics_measures_dataset,"['quality', 'characteristics', 'measures', 'dataset', 'requirements', 'figure', 'assessment', 'framework', 'degree', 'refers']","['key data life cycle for analytics and ml see 5.3 figure example of applying data quality characteristics from iso/iec 5259-2 in figure the data user has selected six data quality characteristics based on data quality requirements for their data quality model out of all the data quality characteristics defined in iso/iec 5259-2', '5.2.2 data quality management 5.2.2.1 data quality model for the purposes of this document data quality model is defined set of data quality characteristics which provides framework for specifying data quality requirements and evaluating data quality', 'data quality reports can include intended use of the dataset data quality thresholds relative to the organization needs and requirements for the dataset data quality characteristics selected for the data quality model explanations for specific data quality characteristics not included in the data quality model data quality measures used for each data quality characteristic results of data quality measurements data quality trends e.g']"
4,13,4_ml_training_testing_validation,"['ml', 'training', 'testing', 'validation', 'supervised', 'labelling', 'data', 'process', 'technologies', 'annotation']","['example training an ml algorithm to produce trained ml model is mathematical process that iterates over set of training data that represents attributes of an object or event', 'data labelling and annotation training validation and testing data for supervised ml requires values for one or more target variables', 'in supervised ml an ml model is created by training an ml algorithm with training data']"
5,13,5_step_engineer_data_quality,"['step', 'engineer', 'data', 'quality', 'service', 'requirements', 'pipeline', 'managing', 'purpose', 'warehouse']","['step when the data quality meets data quality requirements data engineer finalizes the data pipeline', 'for this step data engineer service developer analyses the service requirements and derives the data requirements from them step data quality manager creates data quality model for the data requirements step data engineer accesses data lake and retrieves usable data according to the data requirements step data engineer processes data into the form required for deep learning including data quality enhancement step data engineer chooses trains and evaluates model step service developer implements and launches the service and evaluates its effectiveness', 'for this step system engineer implements the functions for collecting user event data step data quality manager creates general-purpose data quality model for the collected dataset step data engineer builds pipeline to preprocess data including data cleaning etl and segmenting into time units and storing them in data warehouse step data quality manager data engineer implements the measurement functions for each data quality characteristic based on the data quality model created in step and adds the functions to the pipeline step data warehouse data quality management system reports the data set quality evaluation results step if the assessed data quality does not meet the data quality requirements data quality manager analyses the cause and suggests plan to improve the data quality step data engineer modifies the data pipeline to reflect the plan created in step']"
6,12,6_provenance_information_governance_records,"['provenance', 'information', 'governance', 'records', 'origin', 'dataset', 'manipulated', 'gather', 'proof', 'authenticity']","['data provenance records can be used to gather and maintain data provenance information which can provide basis for determining whether the data have been intentionally manipulated or altered', 'note for more information on data provenance records see iso/iec 8000-120', ""source iso/iec 3.3.3 3.15 data quality management coordinated activities to direct and control an organization with regard to data quality 3.5 source iso 8000-2:2020 3.8.2 3.16 data governance governance of data system by which the current and future use of data is governed 3.17 data provenance provenance information on the place and time of origin derivation or generation of dataset proof of authenticity of the dataset or record of past and present ownership of the dataset source iso/iec 11179-33:2023 3.11 modified the term `` data provenance '' added as preferred term definition revised""]"
7,10,7_analytics_dlc_stages_project,"['analytics', 'dlc', 'stages', 'project', 'model', 'arrows', 'pathway', 'development', 'processes', 'progression']","['this document defines dlc for analytics and ml through the six-stage dlc model see 5.3.2 processes across the multiple stages of the dlc model see 5.3.3', 'defining the full nature and extent of the data needed and how the data will be used estimating the effort required to acquire and prepare data to support the analytics or ml project which can include any required restructuring of the data time to transfer or collect the data and building data quality model for the analytics or ml project', 'key data life cycle for analytics and ml see 5.3 iteration primary development pathway feedback pathway figure data life cycle model for analytics and ml 5.3.2.2 stage data requirements the data requirements stage involves determining what data are required for an analytics or an ml project checking the availability of the data for an analytics or an ml project instantiating data quality model with relevant data quality characteristics']"
8,9,8_analytics_ml_projects_quality,"['analytics', 'ml', 'projects', 'quality', 'scenarios', 'objectives', 'models', 'requirements', '02_5259_1_modified', 'aspect']","['data users can establish data quality models for analytics and ml according to their business objectives', '5.1.4 data sharing data re-use and data quality for analytics and machine learning the same data can be used for different analytics or ml projects', 'data users establish data quality models for analytics and ml according to their business objectives']"
