Topic,Count,Name,Representation,Representative_Docs
-1,62,-1_factors_organization_confidence_hardware,"['factors', 'organization', 'confidence', 'hardware', 'risks', 'values', 'ethical', 'considerations', 'mitigation', 'backup']","['if fi the set of the significant life cycle factors .. =1 for specific ai system is the probability density function of', 'the description of the context of use can be formed as set of significant life cycle factors with specified estimates of the statistical characteristics probability density functions of each factor throughout the life cycle of an ai system', 'an ai system should generate representative outputs under abnormal environmental conditions by leveraging confidence score or confidence intervals to decide whether to act on the output generated or if backup workflow should be triggered calibrating confidence score or confidence intervals to be representative of the uncertainty relative to the output being true by using calibration measurements validated on testing data integrating backup workflow such as manual queue heuristics model statistical model or separate ai system to overwrite outcomes from an ai system that are considered abnormal or too uncertain based on their confidence scores or confidence intervals implementing robust backup workflow that should be operational when an ai system fails to generate outputs']"
0,24,0_ml_model_validation_testing,"['ml', 'model', 'validation', 'testing', 'deployment', 'datasets', 'phase', 'training', 'resource', 'process']","['the ml engineer can suggest new ml model deployment options', 'the organization should take into consideration resource trade-offs when selecting the best ml model for deployment as the most accurate ml model can be prohibitively expensive to computationally evaluate', 'in separate back-testing phase the selected ml model should be tested once again with new data the testing dataset for consistency']"
1,21,1_quality_software_evaluation_coverage,"['quality', 'software', 'evaluation', 'coverage', 'square', 'engineering', 'ieee', 'requirements', 'formula', 'definitions']","['iso and iec maintain terminology databases for use in standardization at the following addresses iso online browsing platform available at iec electropedia available at overview to ensure that relevant facets of an ai system quality are covered by the quality evaluation guidance this document references systems and software quality requirements and evaluation square product quality and quality in use models characteristics for an ai system see iso/iec', 'iso/iec ts information technology artificial intelligence assessment of machine learning classification performance iso/iec information technology artificial intelligence artificial intelligence concepts and terminology iso/iec 23053:2022 framework for artificial intelligence ai systems using machine learning ml iso/iec 25059:2023 software engineering systems and software quality requirements and evaluation square quality model for ai systems iso/iec/ieee 29119-1 software and systems engineering software testing part general concepts iso/iec/ieee systems and software engineering life cycle processes requirements engineering terms and definitions for the purposes of this document the terms and definitions given in iso/iec ts iso/iec iso/iec iso/iec iso/iec/ieee 29119-1 and iso/iec/ieee apply', 'vi technical specification systems and software engineering systems and software quality requirements and evaluation square guidance for quality evaluation of artificial intelligence ai systems scope this document provides guidance for evaluation of artificial intelligence ai systems using an ai system quality model']"
2,20,2_domain_weights_input_conceptual,"['domain', 'weights', 'input', 'conceptual', 'components', 'adjustments', 'target', 'training', 'knowledge', 'retraining']","['an ai system embeds knowledge in its learned weights but the meaning of those weights requires contextualization by both the input and output components', 'transfer learning for an ml-based ai system ml model weights within the system are carefully tuned on small set of data comprising the new conceptual domain to reuse weights already in the system to identify useful features', 'possible approaches for changing the target domain of an ai system include the following retraining for an ml-based ai system the system is retrained in its entirety using fresh training set inclusive of the new conceptual domain']"
3,17,3_interoperability_modifiability_installability_aesthetics,"['interoperability', 'modifiability', 'installability', 'aesthetics', 'testability', 'analysability', 'learnability', 'adaptability', 'maintainability', 'portability']","['portability 13.1 adaptability quality of the adaptability sub-characteristic should be measured against quality measures according to iso/iec 25023:2016 8.9.1', '12.2 reusability quality of the reusability sub-characteristic should be measured against quality measures according to iso/iec 25023:2016 8.8.2', '9.2 learnability quality of the learnability sub-characteristic should be measured against quality measures according to iso/iec 25023:2016 8.5.2']"
4,16,4_adaptability_retraining_functional_strategy,"['adaptability', 'retraining', 'functional', 'strategy', 'learning', 'adaptation', 'adapted', 'resources', 'selects', 'incremental']","['consider as part of this adaptability strategy that inference and retraining can happen simultaneously', 'for example an adaptability strategy consisting of retraining an ai system hourly takes few resources during inference but several resources during the retraining', '6.4 functional adaptability an ai system should have mechanism to adapt dynamically to changes in the production data by using one of the following deploying continuous or reinforcement learning modelling approach implementing an automated retraining workflow']"
5,12,5_workflows_duration_functionality_operations,"['workflows', 'duration', 'functionality', 'operations', 'task', 'production', 'processes', 'retraining', 'organization', 'resources']","['number of operations needed by control functionality total number of operations controller should carry out such that the entire control functionality process can complete and return results', 'duration of control functionality length of time needed by sub-process or the entire process to complete control functionality', 'the organization should calculate time behaviour during the training evaluation and inference workflows under normal conditions as part of normal workflows in production using the production environment infrastructures and computing resources as time behaviour depends on resource utilization']"
6,12,6_testing_functionalities_controllability_robustness,"['testing', 'functionalities', 'controllability', 'robustness', 'adversarial', 'operational', 'functionality', 'metamorphic', 'instruction', 'augmentation']","['for an evaluation the following should be considered and prepared in advance ai system that is runnable and with control functionalities implemented according to requirements test items that are designed specifically for the test of control functionalities toolkits capable of issuing controllability instructions receiving or observing system appearance or internal parameter changes as well as computing concerned measures e.g', 'the following actions should be considered to measure the ai system robustness against the bounded domain assess training validation and testing dataset to ensure they cover normal operational conditions develop specific test scenarios to test the system performance under wide range of normal operational conditions use simulation as test data generator to address the full range of operation consider regularization techniques data augmentation or introduction of random noise to maximize robustness of an ai system under normal operating conditions evaluate functional correctness see 6.2 for the recommended guidance on functional correctness and iso/iec tr 24029-1:2021 5.2 for robustness metrics', 'functional correctness should also be evaluated using functional testing methods such as metamorphic testing technique that establishes relationships between inputs and outputs of the system expert panels technique used when an ai system is built to replace the judgement of experts which consists of establishing panel to review the test results benchmarking an ai system technique used when an ai system is replacing existing approaches or when similar ai system can be used as benchmark testing an ai system behaviours against various scenarios or test cases defined by stakeholders testing in simulated environment technique used when an ai system is characterized by physical action on the environment field trials technique used when there is potential difference or evolution between testing environments and actual operation conditions risk management testing ai system behaviour against identified risk scenarios']"
7,11,7_quality_measures_accountability_satisfaction,"['quality', 'measures', 'accountability', 'satisfaction', 'usefulness', 'effectiveness', 'utilization', 'appropriateness', 'behaviour', 'performance']","['functional suitability 6.1 functional completeness quality of the functional completeness sub-characteristic should be measured against quality measures according to iso/iec 25023:2016 8.2.1', '18.2 context completeness quality of the context completeness sub-characteristic should be measured against quality measures according to iso/iec 25022:2016 8.6.2', 'efficiency quality of the efficiency sub-characteristic should be measured against quality measures according to iso/iec 25022:2016 8.3']"
8,11,8_quality_tolerance_availability_capacity,"['quality', 'tolerance', 'availability', 'capacity', 'authenticity', 'trust', 'integrity', '61508', 'security', 'failures']","['11.5 authenticity quality of the authenticity sub-characteristic should be measured against quality measures according to iso/iec 25023:2016 8.7.5', '11.2 integrity quality of the integrity sub-characteristic should be measured against quality measures according to iso/iec 25023:2016 8.7.2', 'security 11.1 confidentiality quality of the confidentiality sub-characteristic should be measured against quality measures according to iso/iec 25023:2016 8.7.1']"
