Topic,Count,Name,Representation,Representative_Docs
-1,42,-1_knowledge_training_facilitate_prepare,"['knowledge', 'training', 'facilitate', 'prepare', 'outlook', 'assessments', 'management', 'programmes', 'diseases', 'digitalisation']","['future outlook prepare for the future through foresight and innovation assessments', 'future outlook prepare for the future through foresight and innovation assessments', 'future outlook prepare for the future through foresight and innovation assessments']"
0,27,0_roadmap_digital_implementation_vision,"['roadmap', 'digital', 'implementation', 'vision', 'planning', 'mission', 'strategic', 'monitoring', 'objectives', 'account']","['the digital roadmap will support the implementation of strategy by providing the required digital solutions during the period to', 'from strategy to the digital roadmap digital vision and mission contribution to the strategic objectives', 'implementation of roadmap the digital roadmap will support the implementation of strategy providing the required digital solutions during the period to']"
1,25,1_skills_digital_workplace_staff,"['skills', 'digital', 'workplace', 'staff', 'literacy', 'needs', 'etiquette', 'security', 'capabilities', 'technologies']","['digital workplace culture and literacy this area of activity supports the strategic objectives', 'cyber resilience the ability of to recover quickly from any type of adversity is one of the main factors for increasing the compliance of furthermore it is vital to raise the awareness of employees and collaborators in order to increase the security of european commission digital workplace strategy available here digital vision for this area of activity digital transformation will be implemented with the necessary velocity quality sustainability and security', 'digital vision for this area of activity staff are digitally empowered in digital workplace guided by common digital etiquette and trained with the necessary digital skills']"
2,18,2_intranet_formats_integrated_centre,"['intranet', 'formats', 'integrated', 'centre', 'management', 'stakeholders', 'facilitate', 'collaboration', 'internal', 'capabilities']","['digital solutions for integrated support steering and communication', 'digital solutions for integrated support steering and communication', 'as part of the wider will also dver new information centre to replace the current intranet and support more holistic approach to internal communication practices']"
3,16,3_content_scientific_target_audiences,"['content', 'scientific', 'target', 'audiences', 'dissemination', 'accessibility', 'external', 'website', 'digitalisation', 'facilitate']","['this will involve the implementation of tools to find and solve accessibility quality performance and search engine optimisation issues on the websites easily and audience customisations on user search and traffic patterns keyword research reduction of duplicate content and tagging', 'dvers risk crisis external and internal communication through wide array of digital tools and translates complex scientific content into formats that are easily accessible and understandable for its target audiences', 'enhances the experience of its target audiences and their access and understanding of complex scientific content through improved digital communication tools and outputs']"
4,15,4_transparency_governance_management_internal,"['transparency', 'governance', 'management', 'internal', 'stakeholders', 'strategic', 'organisation', 'initiatives', 'communication', 'involvement']","['with to internal communication must focus on increasing internal transparency and employee engagement with aim of creating positive effect on performance and improved organisational culture', 'is managed effectively through the integrated management framework for governance organisational performance internal control quality assurance and support functions such as procurement human resources meetings organisation and finance', 'the integrated management framework enhances the centre organisational excellence through standards and processes designed to engage and motivate employees to dver products and services that meet stakeholder requirements using the organisation resources']"
5,14,5_available_fax_figure_table,"['available', 'fax', 'figure', 'table', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['available at', 'available at', 'available at']"
6,14,6_cybersecurity_agencies_offices_security,"['cybersecurity', 'agencies', 'offices', 'security', 'cloud', 'draft', 'documents', 'legislation', 'comply', 'provision']","['proposal for regulation of the european parliament and of the council on security in the institutions bodies offices and agencies of the union', 'european parliament and council proposal for cybersecurity regulation laying down measures for high common level of cybersecurity at the institutions bodies offices and agencies of the union brussels march', 'related documents list of standards legislation and documents regulation ec no establishing european centre for disease prevention and control decision no of the european parliament and of the council of october on serious threats to health world health organization global strategy on digital health european commission people first digitalising the commission european commission cloud strategy european parliament and council proposal for cybersecurity regulation laying down measures for high common level of cybersecurity at the institutions bodies offices and agencies of the union proposal for regulation of the european parliament and of the council on security in the institutions bodies offices and agencies of the union world health organization european region']"
7,13,7_health_digital_management_roadmap,"['health', 'digital', 'management', 'roadmap', 'global', 'documt', 'epidemiology', 'sustainable', 'access', 'data']","['world health organization global strategy on digital health', 'areas of activity contributing to the achievement of strategic objectives digital roadmap corporate documt iv abbreviations artificial intelligence bring your own device document management system digital public health digital transformation services unit enterprise content management platform european economic area european federation gateway service european health data space electronic health record epidemic intelligence intervention epidemiology path of the fellowship programme electronic passenger locator form escde european scientific conference on applied infectious disease epidemiology european union phem public health microbiology path of the fellowship programme virtual academy early warning and response system identity and access management integrated digital surveillance system information and knowledge management integrated management framework information security management system kpi key performance indicators machine learning natural language processing prect initiation request qm quality management scientific advice repository and management system surveillance system reengineering programme the european surveillance system world health organization corporate documt digital roadmap executive summary this digital roadmap describes how digital transformation will support the implementation of the strategy', 'source strategic objectives for digital roadmap activity areas the vision of global strategy on digital health is to improve health for everyone everywhere by accelerating the development and adoption of appropriate accessible affordable scalable and sustainable digital health solutions to prevent detect and respond to epidemics and pandemics developing infrastructure and applications that enable countries to use health data to promote health and and to achieve the sustainable development goals and the triple billion targets of thirteenth general programme of work digital vision develop and adopt digital solutions that improve lives in europe support scientific excellence and empower member states the european commission and other partners to drive public health policy and practice']"
8,12,8_surveillance_data_epidemic_diseases,"['surveillance', 'data', 'epidemic', 'diseases', 'national', 'pandemic', 'exchange', 'interoperable', 'portal', 'prediction']","['it is crucial to be able to unlock existing and new data sources in order to achieve more comprehensive surveillance prevention and control of infectious diseases in the', 'the surveillance and tools will be further integrated and digitalised so that they can be used in combination with the european health data space to extract collect exchange validate analyse and disseminate data in order to support member states in responding to public health threats from infectious diseases', 'will unlock enhance the usability of existing and new data sources via european surveillance portal for infectious diseases the platform epipulse to timely surveillance outbreak detection and pandemic preparedness and to facilitate coordinated response across member states']"
9,12,9_countries_capacities_cooperation_policies,"['countries', 'capacities', 'cooperation', 'policies', 'capabilities', 'health', 'security', 'support', 'strengthen', 'empower']","['support the countries to strengthen their capacities and capabilities to make decisions on public health policies and practice', 'support the countries to strengthen their capacities and capabilities to make decisions on public health policies and practice', 'support the countries to strengthen their capacities and capabilities to make decisions on public health policies and practice']"
10,11,10_visualisation_analytics_intelligence_digital,"['visualisation', 'analytics', 'intelligence', 'digital', 'tools', 'interactive', 'excellence', 'literacy', 'preparedness', 'workplace']","['digital areas of activities digital solutions for surveillance preparedness and response to support member states in responding to public health threats digital solutions for scientific excellence digital solutions for smart analytics artificial intelligence and data visualisation digital solutions for knowledge management digital solutions for integrated support steering and communication digital workplace culture and literacy common digital capabilities references annex', 'digital solutions for smart analytics artificial intelligence and data visualisation', 'digital solutions for smart analytics artificial intelligence and data visualisation']"
11,11,11_protection_privacy_safeguarding_security,"['protection', 'privacy', 'safeguarding', 'security', 'compliance', 'tools', 'standards', 'safeguard', 'rights', 'principles']","['the digital roadmap will also be an opportunity to align existing tools and develop any future tools with the highest standards of personal data protection', 'every time using innovative technologies including pose potential risk to the protection of personal data data protection impact assessments will be carried out to that appropriate measures are taken to prevent or mitigate such risk', 'this includes fulfilling the principles of data protection by design and default and ensuring that technological solutions are always in terms of personal data protection both when designed and during their lifecycle']"
