Topic,Count,Name,Representation,Representative_Docs
-1,120,-1_domain_development_operational_aviation,"['domain', 'development', 'operational', 'aviation', 'devops', 'processes', 'requirements', 'certiﬁcation', 'security', 'developers']","['first the operational domain od is deﬁned in the automotive domain as the set of all possible operating conditions', 'sae and iso deﬁne the operational domain as set of operating conditions including but not limited to environmental geographical and restrictions the requisite presence or absence of certain trafﬁc or roadway characteristics and the operational design domain as the operating conditions under which an ads is designed to operate safely', 'it extends the process by the conops deﬁnition operational domain deﬁnition and operational design domain deﬁnition steps and their corresponding tests acceptance test operational domain veriﬁcation and operational design domain veriﬁcation']"
0,35,0_verification_training_process_implementation,"['verification', 'training', 'process', 'implementation', 'feedback', 'requirements', 'iterative', 'plan', 'explainability', 'testing']","['dev ops release plan sub requirements and design constituent requirements management data management leaning process management model training sub requirements verification constituent requirements verification data and learning verification of verification inference model verification and integration model implementation learning process verification plan test build code figure', 'iterations during implementation iterations during training sub requirements and design constituent requirements management data management leaning process management model training sub requirements verification constituent requirements verification data and learning verification of verification inference model verification and integration model implementation learning process verification figure', 'aerospace of release monitor deploy operate iterations during implementation iterations during training sub requirements design operational design domain definition constituent requirements management data management leaning process management operational domain verification sub requirements verification operational design domainverification constituent requirements verification data and learning verification of verification inference model verification and integration model implementation model training learning process verification operational domain definition acceptance test conops definition iterations during training figure']"
1,24,1_monitoring_safety_safeops_operation,"['monitoring', 'safety', 'safeops', 'operation', 'runtime', 'logging', 'od', 'failures', 'boundaries', 'standards']","['furthermore aspects such as od monitoring the safety and rability of the', 'safeops emphasizes continuous monitoring feedback loops and integration across both development and operational phases ensuring that autonomous remain compliant with safety standards during operation', 'however only continuous monitoring can future improvements as without monitoring no data from operations will be available for the developer to improve the']"
2,24,2_dal_certiﬁcation_rating_recommendation,"['dal', 'certiﬁcation', 'rating', 'recommendation', 'table', 'safety', 'aircraft', 'fatalities', 'requirements', 'regulations']","['dal failure condition failure rate effect on aircraft effect on passengers catastrophic normally with hull loss multiple fatalities hazardous large reduction in capabilities some fatalities major signiﬁcant tion in capabilities possibly injuries minor slight reduction in capabilities physical discomfort no safety effect no effect inconvenience table', 'the collision avoidance for example with its dal rating has way more certiﬁcation requirements than dal for example an movie recommendation for the ife', 'the highest dal dal is reserved for with catastrophic failure condition while dal is reserved for with no safety effect on the aircraft']"
3,22,3_machine_ml_standardization_rocae,"['machine', 'ml', 'standardization', 'rocae', 'lifecycle', 'development', 'mlops', 'framework', 'trained', 'compatible']","['after proposing this updated framework comparison with the machine learning development lifecycle as deﬁned by the standardization working group is presented in section', 'nevertheless the proposed framework has been shown to be compatible with the machine learning development lifecycle mldl developed by the standardization working group joint effort between rocae and sae', 'another proposed framework is currently being developed under the standardization working group joint effort between rocae and sae for the machine learning development lifecycle mldl']"
4,22,4_mldl_model_requirements_architecture,"['mldl', 'model', 'requirements', 'architecture', 'process', 'framework', 'development', 'objectives', 'acceptance', 'easa']","['in addition the results from the architecture phase are utilized to deﬁne the ml model architecture in the mldl and correspondingly in the proposed framework the requirements allocated to constituent are derived', 'at this stage the ml requirements process is divided into ml data requirements and ml model requirements', 'the ml data requirements guide the ml data management while the ml model requirements guide the ml model design process']"
5,19,5_testing_activities_software_levels,"['testing', 'activities', 'software', 'levels', 'expressive', 'idea', 'development', 'process', 'steps', 'exercises']","['here the process is more expressive as it clearly deﬁnes multiple levels of testing one for every abstraction layer within the scope of the full product ensuring that all assurance objectives are met at every layer', 'therefore the idea was to bridge the gap between development and testing for software applications by introducing an early testing phase as illustrated by the second aerospace of placed on top', 'as to of the activities in software development are related to testing initiating testing activities early is crucial']"
6,18,6_framework_differences_frameworks_visualized,"['framework', 'differences', 'frameworks', 'visualized', 'implementing', 'speciﬁc', 'investment', 'factors', 'upfront', 'topic']","['to better understand the history and reasoning of these two frameworks the section formally introduces them and highlights their differences', 'but as the proposed framework is built upon common frameworks no new procedures are required limiting the time necessary to train people to use the framework', 'proposition of the novel framework finally bringing everything together the proposed new framework is visualized in figure']"
7,18,7_od_conops_parameter_tests,"['od', 'conops', 'parameter', 'tests', 'operational', 'constituent', 'ranges', 'steps', 'allocated', 'requirements']","['based on the conops the od and the sub requirements of the step before an odd can be derived ﬁnally leading to the actual requirements for the constituent', 'as the odd depends on the od which in turn depends on the conops any change requests to the conops will most likely inﬂuence both the od and odd even if only to verify that the existing od and odd are still valid', 'as every step on the side of process requires ing tests on the side so do the proposed steps for the odd od and conops conops deﬁnition and acceptance test operational domain deﬁnition and operational domain veriﬁcation and operational design domain deﬁnition and operational design domain veriﬁcation']"
8,17,8_aviation_aerospace_safety_security,"['aviation', 'aerospace', 'safety', 'security', 'development', 'dlr', 'agency', 'secure', 'frameworks', 'automotive']","['established engineering frameworks such as the are not quately addressing the novel challenges associated with consequently the european union aviation safety agency easa introduced the process an advancement of the to set regulatory framework for the novel challenges of engineering', 'discussion this work showed that future need rigorous development process on novel engineering methodologies to both the safety and security of such to combat this problem the european union aviation safety agency easa has already provided the process an advancement of the meant for it is intended to be used in parallel with the development of traditional and hardware items in the development process of complete', 'aerospace article formulating an engineering framework for future certiﬁcation in aviation johann maximilian christensen thomas stefani akshay anilkumar girija elena hoemann andrea vogt viktor werbilo umut durak frank köster thomas krüger and sven hallerbach institute for safety and security german aerospace center dlr sankt augustin germany']"
