Topic,Count,Name,Representation,Representative_Docs
-1,138,-1_ethics_development_technologies_ethical,"['ethics', 'development', 'technologies', 'ethical', 'issues', 'conduct', 'principles', 'professional', 'rights', 'code']","['much of the ethical assessment of emerging technologies concerns the question of what is good and bad about the products services and processes that they may bring about and what is right and wrong about ways in which these may be some explorations such as for example discussions of cars have specifically focused on utilitarian concerns of minimizing harm and maximizing benefits for all affected while grappling with the difficulties of how to define harm or benefit and how to identify boundaries around who ought to be included in such in general terms ethics concerns the frameworks and principles that define individual ability to have good life and to clearly conceptualize individual rights obligations and responsibilities', 'many have argued that the glaring lack of diversity in technical occupations is significant problematic and for example is one reason that hampering efforts to address problems of bias in algorithmic focusing on the role of human decisions in the creation of technologies is way to retain responsibility and to care for each other since technologies don care such considerations of responsibility are necessary in the face of technological changes that reconfigure power dynamics in our social structures leaving ethical rules unrable and our ability to predict the potential consequences of design and implementation limited', 'while engineers and their organizations will need to shoulder much of the growing responsibilities in the design and implementation of the governing bodies of the nordic countries and at level must acknowledge their own responsibilities and opportunities for recommdations for governmt bodies to address issues of and ethics where specific implementations of particular ethical engineering conduct in practice is best left to companies and the engineers themselves issues such as the necessary changes in education implementation of new forms of legislation and regulation remain the purview of governance activities at the national and regional level']"
0,31,0_harm_risks_violations_responsibility,"['harm', 'risks', 'violations', 'responsibility', 'vulnerable', 'behaviour', 'prioritize', 'consequences', 'environment', 'assessment']","['support and facilitate internal reporting of risk and violations establishing rules for clear action in response', 'develop ways for accepting organizational responsibility for potential harm for example by establishing ways to address the harm inflicted on others by the that the organization has produced', 'develop ways for accepting organizational responsibility for potential harm for example by establishing ways to address the harm inflicted on others by that the organization has built']"
1,31,1_responsibilities_engineer_responsibility_develop,"['responsibilities', 'engineer', 'responsibility', 'develop', 'stakeholders', 'professional', 'obligations', 'subjects', 'education', 'priorities']","['for example at the turn of the last century canadian engineers instituted ceremony known as the ritual of the calling of an engineer where young engineers are conferred an iron ring that they must wear on their little finger throughout their professional career to remind them of their obligations and while not marker of qualification the ring has strong symbolic meaning of the power of engineers and that it must be used for good', 'many engineers insisted that in the work with it is important to adhere to the golden rule when imagining the intended users and keeping in mind that most stakeholders may not be able to make decision that is quite as informed as the developer avoiding harm harm and efforts to avoid it is deeply connected to the engineer responsibility towards society', 'as google argues engineers must responsibly share knowledge by publishing educational materials best practices and research that enable more people to develop useful beyond enabling more people to develop applications many have raised concerns about enabling people to understand existing applications without the need for extensive background in computer science and computational methods']"
2,28,2_transparency_trust_design_accountability,"['transparency', 'trust', 'design', 'accountability', 'visible', 'development', 'process', 'consent', 'concerns', 'leading']","['these issues are transparency accountability and trust avoiding harm and addressing bias', 'in working towards transparency maintain awareness that transparency has its own ethical pitfalls and limits', 'in working towards transparency maintain awareness that transparency has its own ethical pitfalls and limits']"
3,22,3_technology_group_intelligent_ministry,"['technology', 'group', 'intelligent', 'ministry', 'adaptability', 'machines', 'automation', 'institute', 'autonomy', 'awareness']","['the finnish ministry of economic affairs and employment states that there is need for an artificial intelligence literacy that is the basic understanding of how things will function in the age of artificial the question here is what kind of literacy is necessary more broadly in society what basic concepts must everyone know and is it possible to achieve this', 'for example google provides seemingly simple definition at its heart is computer programming that learns and adapts while ibm does not define the term at all ing instead to the proliferation of what they term the algorithm which is an essential tool for present in every teaching book rather than calling the variety of increasingly autonomous in the world ibm sees proliferation of the use of techniques in design be that machine learning deep learning or adversarial neural networks gans', 'some suggested that in sense could be defined as that combines automated automation machine learning with general notion of context awareness and participants agreed that whatever the definition is not single type of technology but group of technologies all of which display some form of awareness autonomy and adaptability in automation of tasks and processes']"
4,22,4_guidnes_practices_commitment_organizational,"['guidnes', 'practices', 'commitment', 'organizational', 'backing', 'efforts', 'disciplines', 'document', 'constitutes', 'ethics']","['there are plenty of guidnes for what constitutes ethical conduct for engineers and some of the guidnes below can be taken on board by individuals and organizations alike as additions to those that are already in existence in the nordic countries', 'however many of the guidnes are oriented towards organizational practices rather than individual responsibility because efforts towards ethical practices need strong institutional backing to be effective and therefore organizational commitment is requirement for addressing ethics in', 'however many of the guidnes are oriented towards organizational practices rather than individual responsibility because efforts towards ethical practices need strong institutional backing to be effective and therefore organizational commitment is requirement for addressing ethics in']"
5,20,5_makers_ethical_ethics_platform,"['makers', 'ethical', 'ethics', 'platform', 'responsibility', 'code', 'guides', 'discussions', 'academia', 'nspe']","['ethical obligations have two dimensions professional and the former codifies decision making and behavior in expert practice while the latter that individual reflection and action are present when professional codes of conduct fall professional ethics dneates how broader ethical standards such as responsibility integrity fairness transparency and avoidance of harm apply to the particular types of work that engineers do', 'this could be accomplished through the creation of platform meeting space that would engage decision makers business academia civil society and professionals including engineers to come up with stable and transparent solutions for through joint discussions', 'this could be accomplished through the creation of platform meeting space that would engage decision makers business academia civil society and professionals including engineers to come up with stable and transparent solutions for through joint discussions']"
6,20,6_facilitated_political_support_forms,"['facilitated', 'political', 'support', 'forms', 'funding', 'sustained', 'advance', 'workplaces', 'questions', 'efforts']","['these need to be facilitated and supported by both workplaces and civil society organizations', 'these need to be facilitated and supported through funding and other forms of support', 'these need to be facilitated and supported through funding and other forms of support']"
7,19,7_biases_bias_ought_auditing,"['biases', 'bias', 'ought', 'auditing', 'implementations', 'society', 'educational', 'issues', 'gender', 'eradicated']","['thus such definitions reproduce subtle shortcomings that can lead to serious adverse consequences when used implemented technically as objective solutions goel the problem with bias is that not all biases ought to be eradicated', 'implementations of such also raised concerns about incorporating biases when early recommendations suggested that such should only be used in an advisory capacity to human decision although much of the current discussion of may still be futuristic the reality is that at least in the western world we already have many autonomous deployed across many functions of society from hospitals to government to executive siri is not the first to enter the home although she is perhaps the first that is rather communicative', 'auditing biases many participants commented that it ought to be possible to audit repeatedly by an external neutral entity such as for example model testing institute tested on carefully selected data and granted approval only in case no major biases are detected']"
8,14,8_ethical_beginning_ethics_discussions,"['ethical', 'beginning', 'ethics', 'discussions', 'create', 'process', 'design', 'tools', 'develop', 'essence']","['ethical discussion and evaluation in other words is not something that can be merely bolted on at the beginning or the end of prect as check to make sure whatever is produced qualifies as ethical', 'invest into and develop tools that enable ethical discussions questions and decision making throughout the design process and not only at the beginning and the end', 'invest into and develop tools that enable ethical discussions questions and decision making throughout the design process and not only at the beginning and the end']"
