Topic,Count,Name,Representation,Representative_Docs
-1,19,-1_clinical_development_medicines_regulatory,"['clinical', 'development', 'medicines', 'regulatory', 'trials', 'icmra', 'cta', 'applications', 'guidnes', 'collaborations']","['such requirements could compromise patient privacy ip rights trade secrets and commercially confidential information cci downstream for example through ema policy policy or the clinical trials information system in relation to clinical trial applications cta associated with the', 'in addition efpia beves that flexible regulatory framework for drug development tools aligned with existing tools and guidnes such as the guidne on computerised and electronic data modified to include specific considerations for and tools will that terms and requirements for will not quickly become outdated given the fast pace of evolution in this field', 'in addition applicants and developers can already discuss applications in the context of the lifecycle of medicinal product with regulators via existing types of interactions including scientific advice procedures for product specific development the qualification pathway for novel methodologies innovation task force meetings for early interaction on innovation or exchange with ctcg clinical trials coordination group ahead of cta clinical trial application review and others']"
0,16,0_ema_regulatory_risk_application,"['ema', 'regulatory', 'risk', 'application', 'lifecycle', 'frameworks', 'development', 'biopharmaceutical', 'assessments', 'guidance']","['clarity to be provided on ema approach to the use of in the context of the regulatory framework for medicines', 'these existing and future regulatory frameworks and policies include but are not limited to the creation of regulatory sandboxes regulatory frameworks that allows the testing of innovative technologies in the context of the european pharmaceutical legislation the emrn approach to as outlined in the upcoming ema guidance on the use of in the medicines lifecycle and industry engagements with the ema quality innovation group qig', 'clarity on ema approach to the use of in the context of the medicines regulatory framework efpia supports the ema suggestion in the reflection paper on in medicines that approach considering risk to patient safety and potential impacts on regulatory decisions should be adopted for the oversight of drug development tools']"
1,15,1_medicines_development_lifecycle_regulatory,"['medicines', 'development', 'lifecycle', 'regulatory', 'authorisation', 'oversight', 'approval', 'guidance', 'applying', 'manufacturing']","['in this position paper efpia is presenting policy recommendations in relation to the use of in the medicines lifecycle defined as including research and development manufacturing and approval activities such as ema regulatory oversight applicability of existing regulatory frameworks and global harmonization', 'in the medicines lifecycle regulator remit efpia considers used in the medicines lifecycle to be any tool or model developed and utilized to support the research development manufacturing use monitoring of medicine', 'existing regulations guidance and frameworks for medicines should be leveraged when applying efpia considers that the existing regulatory and policy environment which governs medicine development and authorisation consisting of legislation regulatory guidance and frameworks can also be leveraged for the use of as tool in the medicines lifecycle']"
2,15,2_oversight_technology_governance_regulatory,"['oversight', 'technology', 'governance', 'regulatory', 'guidance', 'purpose', 'support', 'policy', 'focused', 'forerunner']","['efpia beves that the ultimate goal for governance of should be duplicative globally aligned regulatory frameworks for oversight which are calibrated to the regulatory status and context of use', 'our goal for governance is to have suitable and guidance for oversight that is tailored to the regulatory status and specific context of use', 'our ultimate goal for governance is to have suitable and guidance for oversight that is tailored to the regulatory status and specific context of use']"
3,11,3_development_publishing_tools_role,"['development', 'publishing', 'tools', 'role', 'health', 'methodologies', 'research', 'heath', 'incorporating', 'predictability']","['similarly the world health organization who contributes to the healthcare sector by publishing related that serve as reference for countries looking to establish similar recommendations', 'within the innovative pharmaceutical industry there are currently significant efforts under way to optimise medicine development using range of methodologies and tools including those incorporating', 'the application of these innovative approaches builds on existing methods good research practices and requirements which currently apply such as traditional statistical methods and approaches including drug development']"
4,11,4_medicines_globally_collaboration_collaborations,"['medicines', 'globally', 'collaboration', 'collaborations', 'development', 'regulatory', 'stakeholders', 'innovation', 'trust', 'outcomes']","['fostering trust and capability in use in medicines research and development through close collaborations among industry regulators patients and other stakeholders', 'globally aligned regulatory approaches through collaboration among health authorities to foster innovation and support development of safe and efficacious medicines', 'globally aligned regulatory approaches through collaboration among health authorities to foster innovation and support development of safe and efficacious medicines']"
5,11,5_establishing_significance_initiative_cooperation,"['establishing', 'significance', 'initiative', 'cooperation', 'oecd', 'alignment', 'stakeholders', 'objectives', 'levels', 'organisation']","['we strongly urge early alignment on establishing platform to meet at least twice year to enable sharing of experience on the applications of in this space to foster more rapid learning on all sides', 'we strongly urge early alignment on establishing platform to drive the proposal forward ensuring cooperation among national competent authorities avoiding fragmentation and advancing the capabilities of member states', 'efpia aligns with the organisation for economic cooperation and development oecd definition of an which the act also adopted designed to operate with varying levels of autonomy that may exhibit adaptiveness after deployment and that for explicit or implicit objectives infers from the input it receives how to generate outputs such as predictions content recommendations or decisions that can influence physical or virtual environments']"
6,11,6_ema_innovation_regulatory_stakeholders,"['ema', 'innovation', 'regulatory', 'stakeholders', 'implement', 'intends', 'interoperability', 'partnerships', 'methodology', 'ethical']","['under the leadership of ema the icmra has released which includes recommendations to assist regulators in navigating the opportunities and challenges presented by', 'efpia supports the futureproofing of the qonm action plan that was published in september in line with the ema network strategy to and ema regulatory science strategy to', 'ema innovation task force quality innovation group and methodology working party to promote technical discussions and enhanced alignment among stakeholders around technical issues including explainability or transparency bias and sustainable practices ethical development and deployment lifecycle management of models interoperability and standardization etc']"
7,9,7_training_protection_transparency_datasets,"['training', 'protection', 'transparency', 'datasets', 'sharing', 'proprietary', 'submissions', 'validation', 'publicly', 'sponsors']","['policies that balance transparency and protection of innovation when sharing related to models', 'policies that balance transparency and protection of innovation when sharing related to models and datasets', 'however requiring model architecture logs from modelling validation and testing training data and description of the data processing pipne be submitted as part of regulatory submission or publicly disclosed in certain other situations is not proportionate']"
8,8,8_international_devices_applying_regulations,"['international', 'devices', 'applying', 'regulations', 'patients', 'mdr', 'gxp', 'safer', 'imdrf', 'guide']","['nevertheless whether medicines is in scope of the act under the exemption or not industry will still be applying the stringent existing regulations guidance and policies which apply to medicines development as appropriate especially in gxp areas such as clinical development and pharmacovigilance and include oversight of the use of innovative drug development tools including', 'this would mirror ongoing efforts in the medical device area such as those led by the international medical device regulators forum imdrf to accelerate international medical device regulatory harmonization and convergence', 'such devices are subject to the medical device regulation mdr vitro medical device regulation ivdr frameworks in addition to the act']"
