Topic,Count,Name,Representation,Representative_Docs
-1,46,-1_models_validation_medical_explainability,"['models', 'validation', 'medical', 'explainability', 'datasets', 'methodology', 'integration', 'training', 'technical', 'vitro']","['key principle is that it is the responsibility of the clinical trial sponsor marketing authorisation or manufacturer to that all algorithms models datasets and data processing pipnes used are fit for purpose and are in line with legal ethical technical scientific and regulatory standards as described in legislation gxp standards and current ema guidnes', 'training dataset data used specifically in the context of machine learning it serves as the raw material from which the machine learning algorithm extracts its model to address the given task transformation change between different representations of data transparency the possibility to fully trace flow within model validation dataset data used by the developer to make or validate some algorithmic choices hyperparameter search rule design etc', 'data analysis and inference when models are used for transformation analysis or interpretation of data within clinical trial of medicinal product they are part of the statistical analysis and should follow applicable guidnes on statistical principles for clinical trials see related methodology guidance and include analysis of the impact on downstream statistical inference']"
0,47,0_regulatory_clinical_risk_performance,"['regulatory', 'clinical', 'risk', 'performance', 'impact', 'pivotal', 'models', 'trials', 'assessment', 'development']","['thresholds for performance metrics that can be related to the context of use and considerations on performance requirements depending on level of patient risk and regulatory impact further support the credibility of model performance', 'this paper uses the term high patient risk for affecting patient safety while the term high regulatory impact is used for cases where impact on regulatory is substantial', 'of note if the use could be of high regulatory impact or high patient risk in clinical trial and the method has not been previously qualified by the ema for the specific context of use the full model architecture logs from model development validation and testing training data and description of the data processing pipne would likely be parts of the clinical trial data or trial protocol dossier and thus may be requested for comprehensive assessment at the time of market authorisation clinical trial application or gcp inspection']"
1,24,1_medicinal_lifecycle_software_mdr,"['medicinal', 'lifecycle', 'software', 'mdr', 'classification', 'consultation', 'mdcg', 'medicine', 'icmra', 'ivdr']","['september committee for medicinal products for human use committee for medicinal products for veterinary use reflection paper on the use of artificial intelligence in the medicinal product lifecycle draft agreed by committee for medicinal products for human use methodology working party july draft adopted by for release for consultation july draft adopted by for release for consultation july start of public consultation july end of consultation deadline for comments december final version agreed by september final version adopted by september final version adopted by september keywords artificial intelligence machine learning ml regulatory medicine human medicinal product veterinary medicinal product reflection paper on the use of artificial intelligence in the medicinal product lifecycle page reflection paper on the use of in the medicinal product lifecycle table of contents', 'reflection paper on the use of artificial intelligence in the medicinal product lifecycle page assessment accessed may', 'reflection paper on the use of artificial intelligence in the medicinal product lifecycle page']"
2,19,2_guidne_trials_clinical_guidnes,"['guidne', 'trials', 'clinical', 'guidnes', 'pharmaceutical', 'products', 'statistical', 'medicinal', 'covariates', 'estimands']","['european commission expert group on ethics guidnes for trustworthy april ai accessed june', 'june accessed may guidne on computerised and electronic data in clinical trials march guidne on computerised and electronic data in clinical trials accessed july guidne on studies september guidne on studies accessed may guidne on reporting the results of population pharmacokinetic analyses june guidne on pop pk reports adopted accessed may guidne on the investigation of subgroups in confirmatory clinical trials january guidne on the investigation of subgroups in confirmatory clinical trials accessed may points to consider on application with', 'guidance concerning human medicines the guidnes and other documents may provide useful recommendations for implementing applications in the product lifecycle of human medicines the international council for harmonisation of technical requirements for pharmaceuticals for human use ich draft ich guidne on pediatric extrapolation step april accessed may ich statistical principles for clinical trials september statistical principles for clinical trials accessed may ich addendum on estimands and sensitivity analysis in clinical trials to the guidne on statistical principles for clinical trials february step addendum on estimands and sensitivity analysis in clinical trials to the guidne on statistical principles for clinical trials accessed may ich choice of control group in clinical trials january choice of control group in clinical trials accessed may ich on pharmaceutical development june step pharmaceutical development accessed may ich on quality risk management july ich guidne on quality risk management accessed may ich on pharmaceutical quality june ich guidne on pharmaceutical quality step accessed may reflection paper on the use of artificial intelligence in the medicinal product lifecycle page european medicines agency committee for medicinal products for human use formerly the european agency for the evaluation of medicinal products committee for proprietary medicinal products cpmp draft guidne on multiplicity issues in clinical trials december guidne on multiplicity issues in clinical trials for publication accessed may guidne on adjustment for basne covariates in clinical trials february guidne on adjustment for basne covariates in clinical trials accessed may guidne on missing data in confirmatory clinical trials rev']"
3,15,3_test_dataset_overfitting_environment,"['test', 'dataset', 'overfitting', 'environment', 'training', 'memorisation', 'leakage', 'risk', 'parameters', 'integrity']","['integrity aspects and data protection new and not yet fully characterised risks emerge when data is transformed into model representations as these can contain similar level of granularity as the training data but with limited insight into the data representation', 'if test performance is unsatisfactory and further model development is needed the current test data set can not be for this purpose and completely new and independent test dataset is required to repeat the test procedure for an updated model', 'more problematic cause of overfitting is data leakage from the test dataset into the environment see training validation and test datasets']"
4,14,4_glp_compliance_laboratory_directorate,"['glp', 'compliance', 'laboratory', 'directorate', 'biotechnology', 'advisory', 'integrity', 'privacy', 'accountability', 'transparency']","['organisation for economic and development oecd environment directorate chemicals and biotechnology committee series on principles of good laboratory practice glp and compliance monitoring accessed june', 'organisation for economic and development oecd environment directorate chemicals and biotechnology committee series on principles of good laboratory practice glp and compliance monitoring advisory document of the working party on good laboratory practice on glp data integrity no', 'organisation for economic and development oecd environment directorate chemicals and biotechnology committee series on principles of good laboratory practice glp and compliance monitoring advisory document of the working party on good laboratory practice application of glp principles to computerised systems no']"
5,14,5_veterinary_medicines_clinical_medicinal,"['veterinary', 'medicines', 'clinical', 'medicinal', 'gcp', 'trials', 'ethical', 'guidne', 'immunological', 'pharmaceuticals']","['dedicated reflections will be necessary to identify data quality issues and potential biases applicable to veterinary medicines considering the difference in target populations and regulatory requirements between veterinary and human medicines', 'guidance concerning veterinary medicines the guidnes and other documents may provide useful recommendations for implementing applications in the product lifecycle of veterinary medicines the international cooperation on harmonisation of technical requirements for registration of veterinary medicinal products vich vich on good clinical practices july vich topic gcp accessed june reflection paper on the use of artificial intelligence in the medicinal product lifecycle page european medicines agency committee for veterinary medicinal products guidne on statistical principles for clinical trials for veterinary medicinal products pharmaceuticals july gl on statistical principles for clinical trials for vmps pharmaceuticals accessed june guidne on clinical trials with immunological veterinary medicinal products january guidne on clinical trials with immunological veterinary medicinal products accessed june', 'phase it is foreseen that tools can effectively support activities such as authorisation efficacy and safety studies paes and pass for human medicines and surveillance studies for veterinary medicines as well as pharmacovigilance activities including adverse event report management and signal detection in line with current good pharmacovigilance practices requirements available for both human and veterinary medicines']"
6,13,6_discussion_technical_aspects_definitions,"['discussion', 'technical', 'aspects', 'definitions', 'conclusion', 'phase', 'manufacturing', 'scope', 'governance', 'development']","['technical aspects', 'discussion', 'discussion']"
7,13,7_medicines_precision_sawp_apply,"['medicines', 'precision', 'sawp', 'apply', 'genotype', 'revision', 'biostatistics', 'gmp', 'biomarker', 'individualise']","['it should be noted that many recommendations best practices and previous learnings within areas of informed drug development and biostatistics also apply to the field of', 'scientific advice and of novel methodologies in medicines development is provided by the scientific advice working party sawp of the and the scientific advice working party sawp of the', 'precision medicines in this context applies to human medicines only']"
8,10,8_lifecycle_medicinal_products_manufacturing,"['lifecycle', 'medicinal', 'products', 'manufacturing', 'methodologies', 'process', 'timing', 'enhancing', 'scale', 'optimisation']","['in the lifecycle of medicinal products the sections are structured along the lifecycle of medicinal products from drug discovery and development to settings such as pharmacovigilance and effectiveness studies', 'general considerations in the lifecycle of medicinal products', 'this reflection paper provides considerations on the use of in the lifecycle of medicinal products including medicinal products development authorisation and']"
9,9,9_augmentation_imaging_attention_supervised,"['augmentation', 'imaging', 'attention', 'supervised', 'vision', 'maps', 'transformations', 'trained', 'reinforcement', 'saliency']","['data acquisition and augmentation models are intrinsically as they extract or adapt their parameters from training data', 'the source of data and the process of data acquisition along with any processing such as cleaning transformation imputation annotation normalisation and augmentation should be documented in detailed and fully traceable manner in line with gxp requirements', 'computer vision models and extensions into other modalities where attention mechanisms are used should whenever possible be supported by class activation saliency or attention maps to verify that features are extracted from positions in the image or sequence']"
10,9,10_development_deployment_approaches_modelling,"['development', 'deployment', 'approaches', 'modelling', 'validity', 'improved', 'refine', 'translatability', 'assessment', 'logs']","['development applications in development may strive not only to achieve improved performance in data analysis and interpretation but could potentially also include modelling approaches to replace reduce and refine the use of animals and improve human translatability', 'model development', 'it is the responsibility of the sponsor applicant or mah to that sops promote development practice that favours model generalisability and robustness particularly for settings where models can not be updated during deployment and to keep traceable documentation and development logs to allow secondary assessment of development practices']"
11,8,11_regulatory_impact_balance_product,"['regulatory', 'impact', 'balance', 'product', 'safety', 'efficacy', 'medicinal', 'development', 'application', 'assessed']","['if model or service is to be used within the medicinal product lifecycle with high regulatory impact or high patient risk it is expected that the manufacturer of the has provided such details through methodology qualification process see regulatory interactions covering the specific context of use', 'applications that affect patient safety such as efficacy and safety modelling that inform the design of studies that are potentially for assessment of the balance of medicinal product or have high regulatory impact in another manner should be developed and tested accordingly', 'if an is planned for use in the context of medicinal product development evaluation or monitoring and is expected to impact even potentially on the balance of medicinal product early regulatory interaction is advised see regulatory interactions']"
12,8,12_ema_posology_scientific_classify,"['ema', 'posology', 'scientific', 'classify', 'aid', 'regulations', 'experimental', 'itf', 'assessment', 'qualify']","['it is not in the remit of the ema to qualify or classify software under the above regulations', 'similarly if device is used to provide recommendations in the summary of product characteristics on posology or monitoring the ema will assess all aspects of the proposed combined use', 'it is crucial to identify aspects of that would fall within the remit of ema or the national competent authorities of the member states as the level of scrutiny during assessment will depend on this remit']"
