Topic,Count,Name,Representation,Representative_Docs
-1,63,-1_rights_risks_literacy_consent,"['rights', 'risks', 'literacy', 'consent', 'democracy', 'responsibility', 'strasbourg', 'data', 'healthcare', 'ethics']","['all council of europe member states have signed up to the european convention on human rights treaty designed to protect human rights democracy and the rule of law', 'health professionals healthcare have the responsibility to provide guidance and training on what and how to inform patients about the use of in their treatment and and who can be supported when needed by more specific technical collaborators inform patients in clear and simple language why and how are being used benefits and risks review procedures to facilitate informed consent when are red upon promote health literacy including literacy and facilitate public dialogues where appropriate', 'health professionals healthcare providers have the responsibility to that are clearly identifiable and distinguishable from human care that any tiered or blended options for access to health services are transparently explained mitigate bias in all its forms for example human impact assessments of efforts to the representativeness of training datasets bias benchmarking frameworks and diversity in those tasked with assessing data quality that medically prescribed apps do not act as gatekeepers in determinations about access to healthcare maintain patient not dilute it with offerings devoid of human interaction']"
0,43,0_application_healthcare_report_imaging,"['application', 'healthcare', 'report', 'imaging', 'augmented', 'européens', 'policy', 'intelligce', 'mammography', 'fda']","['page report on the application of artificial intelligence in healthcare recommended action it is necessary to establish clear guidnes and regulations for the development and use of this includes ensuring that developers are held accountable for errors that the may have and that users are educated on the potential risks and ethical considerations when using in healthcare should be governed through human meaningful control and the assertion of human values with recourse to verified evidence approval and guidance by regulatory bodies on transparent and adequate quality controls that is validating certifying and regulating medical devices', 'comité permanent de médecins européens cpme policy on in health care american medical association augmented intelligence in health care content derived from augmented intelligence in health care annual meeting world medical association wma statement on augmented intelligence in medical care adopted by the wma general assembly tbilisi georgia october available at www', 'page report on the application of artificial intelligence in healthcare purpose the report is intended for decision makers health providers health professionals and patients including patient associations to consider how are used in healthcare having to their human rights implications develop and strengthen the therapeutic relationship especially in supporting doctors and where appropriate other healthcare professionals in promoting the agency and autonomy of patients patient welfare and equitable access to healthcare']"
1,31,1_bias_equitable_healthcare_benefits,"['bias', 'equitable', 'healthcare', 'benefits', 'racial', 'discrimination', 'resources', 'groups', 'validation', 'datasets']","['there is problem of bias throughout the design development and training of there may be bias in algorithms powering there may also be bias in the data used to train test and validate many other types of bias such as contextual bias should also be', 'summary patients need access to human doctor equitable access to the benefits of health services with assurances that they promote patient the choice of opting for blend of access to human doctor health services as well as support when using them', 'access to healthcare must be equitable']"
2,27,2_data_protection_privacy_hardware,"['data', 'protection', 'privacy', 'hardware', 'storage', 'computing', 'healthcare', 'providers', 'patients', 'genetic']","['without patients knowledge or consent this deal resulted in with data protection while the protection of data is crucial degree of openness in the data collected from databases and aggregated into data platforms used to train and validate may be crucial as it would help to evaluate potential biases in the patterns and findings generated by thereby mitigating any unfair treatment discrimination of different populations', 'health data are personal data that should be afforded greater protection especially when healthcare providers pioneer the use of new technologies like healthcare providers and healthcare professionals act as gatekeepers in what health data are collected and therefore have responsibilities in safeguarding patient data and preserving the medical confidentiality of the relationship', 'summary patients need to decide what personal health data are being collected by assurances that privacy and personal data are being safeguarded including not being subject to automatic decision making by health professionals healthcare providers have the responsibility to provide patients with options for consent in the collection and processing of their data by review what how and when patient data are safeguarded in with data protection standards train health professionals in understanding and managing the benefits and risks associated with including the safeguarding of patient data']"
3,25,3_relationship_therapeutic_trends_care,"['relationship', 'therapeutic', 'trends', 'care', 'understanding', 'focus', 'effects', 'trust', 'guidance', 'development']","['introduction purpose scope understanding the relationship with to what is and why is it important in the relationship', 'understanding the relationship with to the therapeutic relationship is critical component of good patient care which have the potential to improve or affect adversely', 'doctors will need guidance in dealing with incidental findings that duce especially on whether and how to communicate these to trends and examples that have bearing on the relationship have the potential to bring about significant transformation of the relationship although the effects of its deployment are yet to be seen']"
4,17,4_yuqi_muehlematter_miguel_kiluk,"['yuqi', 'muehlematter', 'miguel', 'kiluk', 'farina', 'böhnke', 'beriain', 'ahmed', 'zachi', 'adleberg']","['muehlematter et al', 'ahmed et al', 'see de miguel beriain']"
5,17,5_standards_quality_risk_doctors,"['standards', 'quality', 'risk', 'doctors', 'assessment', 'trustworthiness', 'clinical', 'patient', 'justice', 'misguided']","['responsible approach to should place humans that is patients at the centre and should align with stakeholder expectations as well as applicable regulations and algorithms can undergo updates or changes so it will be necessary to determine which version of the was deployed in the clinical trial in question', 'that said there must be trustworthiness in the professional standards that scrutinise the safety quality and efficacy of should this falter for example when are to be inscrutable inconclusive and even misguided patient autonomy will be weakened', 'action taken is on competence scientific knowledge and clinical experience which includes the assessment of risk of in the it is noteworthy that any intended to be used for medical purpose shall comply with the regulation on medical which determines different levels of compliance taking into account the vulnerability of the patient and the risks associated with the the regulation and similarly the fda classify medical devices according to their intended use and risk into three main classes lowest risk and and highest risk']"
6,14,6_technology_safer_sclerosis_instructions,"['technology', 'safer', 'sclerosis', 'instructions', 'guidnes', 'healthcare', 'mazumdar', 'intraoperative', 'manufacturers', 'huygens']","['this requires attention to the design development and application of used in health so that the interests and welfare of the human being shall prevail over the sole interest of society or science there should be synergy in the progress and protections advanced by', 'health professionals healthcare providers have the responsibility to use them in way that aligns with ethical and legal guidnes and in with the intended uses and instructions provided by manufacturers of including what oversight and control by humans is possible to fairness and accuracy of results the adoption of new technology can result on the one hand in loss of skills deskilling which should not happen too fast', 'early health technology assessments of are way forward for example as undertaken in the netherlands in the field of multiple sclerosis have the potential to inter alia support doctors with diagnostics and health personnel with administrative workflows']"
7,14,7_hand_wish_oppose_case,"['hand', 'wish', 'oppose', 'case', 'patients', 'indicate', 'identified', 'impediment', 'removal', 'predisposition']","['furthermore it may be of vital importance for patients to know certain facts about their health even though they have expressed the wish not to know them', 'the right to know goes hand in hand with the right not to know', 'the patient exercise of the right not to know this or that fact concerning his health is not ed as an impediment to the validity of his consent to an intervention for example he can validly consent to the removal of cyst despite not wishing to know its nature']"
8,13,8_accessed_nations_mit_babylon,"['accessed', 'nations', 'mit', 'babylon', 'app', 'triage', 'united', 'goals', 'tools', 'review']","['available at accessed october', 'available at via accessed october', 'available at accessed october']"
9,13,9_convention_rights_biomedicine_healthcare,"['convention', 'rights', 'biomedicine', 'healthcare', 'standards', 'equitable', 'private', 'autonomy', 'professionals', 'patient']","['convention on human rights and biomedicine of otherwise known as the oviedo convention article', 'aimed at decision makers health providers health professionals and patients including patient associations the report focuses on selected human rights principles of particular relevance to the doctor relationship namely consent article european convention on human rights and biomedicine oviedo convention professional standards article oviedo convention private life and the right to article oviedo convention and equitable access to healthcare article oviedo convention', 'scope the report focuses on selected human rights principles of particular relevance to the therapeutic relationship namely consent article of the european convention on human rights and biomedicine or the oviedo convention professional standards article oviedo convention private life and right to article oviedo convention and equitable access to healthcare article oviedo convention']"
10,12,10_patients_pain_patient_needs,"['patients', 'pain', 'patient', 'needs', 'doctor', 'autonomy', 'success', 'task', 'usefulness', 'heal']","['the patient must be put in position through the use of terms he or she can understand to weigh up the necessity or usefulness of the aim and methods of the intervention against its risks and the discomfort or pain it will cause', 'everyone involved needs to consider the different logics of treatment directed to the individual needs and research that primarily aims at producing knowledge that serves the interests of future patients', 'it is the essential task of the doctor not only to heal patients but also to take the proper steps to promote health and reve pain taking into account the psychological of the patient']"
11,12,11_vol_chest_medical_journal,"['vol', 'chest', 'medical', 'journal', 'ehr', 'electronic', 'dysfunctions', 'cardiac', 'sepsis', 'records']","['prediction models for sirs sepsis and associated organ dysfunctions in paediatric intensive care study protocol for diagnostic test accuracy study bmj paediatrics open vol', 'these are designed to reduce the workload of nurses and other medical personnel while providing more accurate clinical decision support can assist clinicians in everyday problem solving for ic inflammatory response syndrome sepsis and associated organ dysfunctions in paediatric intensive care as they summarise analyse and present clinically data at the of wearable medical devices use machine learning algorithms to track and monitor health data', 'predicting patient demographics from chest radiographs with deep learning journal of the american college of radiology vol']"
12,12,12_professionals_skills_training_collaboration,"['professionals', 'skills', 'training', 'collaboration', 'transition', 'multidisciplinary', 'acquisition', 'developers', 'practice', 'healthcare']","['introducing this in undergraduate education and specialised training for health professionals for example to enable specialised medical teams to embrace new in their work will be important', 'this requires multidisciplinary teams of experts sociologists psychologists philosophers and representative groups patients clinicians who can detect and mitigate potential problems in applications for example by developing user interfaces that encourage critical thinking and assessment in the netherlands guidnes for diagnostic and prognostic applications of in are an example of good professional conduct in the development testing and implementation of health professionals should know about the risks of as assessed by providers of for example the sources of possible bias when interpreting the plausibility of outputs', 'health professionals healthcare providers have the responsibility to support and empower health professionals in the transition towards healthcare reinforcing their place purpose and accountability this includes maintaining and adapting professional standards and training that help to understand and overcome shortcomings in the results and operations of providing guidance ing the essential elements of encouraging discretion to distance themselves otherwise oppose outputs should there be sufficient degree of uncertainty for example false positives in radiology incidental findings in genomics foster multidisciplinary collaboration with developers towards the establishment of shared responsibility and liability for healthcare promote minimum standards of and explainability for ing the acquisition authorisation practical use and iterative learnings of']"
13,11,13_devices_insulin_monitoring_lenses,"['devices', 'insulin', 'monitoring', 'lenses', 'medical', 'diagnosis', 'implant', 'incubators', 'instrument', 'manufacturer']","['for example pacemakers prosthetic heart valves surgical mesh breast implants and other devices that require permanent monitoring throughout their lifetimes', 'global tech companies such as apple are developing device that detects tremors afflicting sufferers of parkinson disease and samsung has introduced breast screening solutions', 'regulation of medical devices for the purposes of this regulation the definitions apply medical device means any instrument apparatus appliance software implant reagent material or other intended by the manufacturer to be used alone or in combination for human beings for one or more of the specific medical purposes diagnosis prevention monitoring prediction prognosis treatment or alleviation of disease diagnosis monitoring treatment alleviation of or compensation for an injury or disability available at']"
14,10,14_inputs_cases_algorithms_technologies,"['inputs', 'cases', 'algorithms', 'technologies', 'mimic', 'possibilities', 'recognition', 'intrinsic', 'objects', 'learns']","['deep neural networks are among the most discussed and expanding subclasses of within machine learning algorithms to their intrinsic black box structure and possibilities to learn during computations they can be trained on large datasets to calibrate millions or billions of internal parameters and then be applied to new input data to identify new correlations and', 'the model can be taught to the algorithm via inputs supervised learning in other cases the algorithm itself defines models to make sense of set of inputs unsupervised learning', 'in both cases the algorithm defines rules to handle new inputs']"
15,10,15____,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['pp', 'pp', 'pp']"
16,10,16_consent_research_informed_countries,"['consent', 'research', 'informed', 'countries', 'clinical', 'legal', 'interventions', 'providing', 'ethical', 'participation']","['notably in research for example in the development of clinical decision support the borderline between clinical care and medical research becomes increasingly blurred generating need for new legal and ethical frameworks for ensuring informed consent dynamic consent human rights implications of in the relationship page models are commonly used in such circumstances in addition there is more and more online research for which obtaining appropriate informed consent poses challenges patients may find it difficult to understand what are why they are being red on and how they are being used in the realisation of their care', 'the most common type of consent is informed consent for treatment intervention research consent biomedical consent consent for the processing of personal data and safeguard consent for the processing of health data', 'there are also other types of consent as follows explicit consent consent required by the gdpr for the processing of special categories of personal data implied consent used in some countries also in healthcare granular consent general consent used for various things at the same time conditional consent ongoing consent also can be to be wide consent and used in some countries in healthcare and secondary use presumed consent used in some countries for the processing of health data when providing healthcare revocable consent and dynamic consent which is the most consent model for changing situations']"
