Topic,Count,Name,Representation,Representative_Docs
-1,173,-1_decisions_data_courts_processing,"['decisions', 'data', 'courts', 'processing', 'design', 'discrimination', 'appeal', 'objective', 'social', 'rights']","['however the data subject may not exercise this right if the automated decision is provided for by the law to which the controller is subject which provides for appropriate measures to safeguard the rights and freedoms and legitimate interests of the data subject', 'article of regulation the data subject shall have the right not to be subject to decision solely on automated processing exceptions are provided for such as the data subject consent but suitable measures to safeguard the data subject rights and freedoms and legitimate interests must be implemented by the controller including the right of the data subject to obtain human intervention on the part of the controller to express his or her of view and to contest the decision', 'experiments conducted in france at the initiative of the ministry of justice the two courts of appeal in rennes and at the initiative of the ministry of justice the two courts of appeal in rennes and douai agreed to test predictive justice software on various litigation appeals in douai agreed to test predictive justice software on various litigation appeals in spring which in reality was an analysis of civil social and commercial spring which in reality was an analysis of civil social and commercial sions of all french courts of appeal']"
0,54,0_judicial_justice_charter_cyberethics,"['judicial', 'justice', 'charter', 'cyberethics', 'ethical', 'search', 'environment', 'rights', 'principles', 'algorithms']","['the urgent need for cyberethics to provide framework for the development of artificial intelligence algorithms while respecting fundamental rights page european commission for the efficiency of justice cepej appdix ii which uses of in ropean judicial systems', 'cepej ethical commission for the efficicy of justice cepej european ethical charter on the use of artificial intelligence in judicial and their environment adopted at the plenary meeting of the cepej strasbourg december adopted at the plenary meeting of the cepej strasbourg december council of europe ropean commission for the efficicy of justice cepej european ethical charter on the use of artificial intelligence in judicial systems and their environment french edition commission européenne pour efficacité de la justice cepej charte éthique européenne utilisation de intelligence artificielle dans les systèmes judiciaires et leur environnement the opinions expressed in this work are the responsibility of the authors and do not necessarily reflect the official policy of the council of europe', 'page the five principles of the ethical charter on the use of artificial intelligence in judicial systems and their environment principle of respect for fundamental rights that the design and implementation of artificial intelligence tools and services are compatible with fundamental rights']"
1,54,1_crime_police_prevention_urban,"['crime', 'police', 'prevention', 'urban', 'recidivism', 'offences', 'conducted', 'algorithms', 'predictive', 'background']","['see ales zavrsnik big data crime and social control page et which lists in detail series of instruments used by police services in europe and the united states', 'use of algorithms in criminal investigation in order to identify where criminal offences are being committed this type of application could concern not only the police but also prosecutors in the crime prevention bodies of which they are part', 'in addition one of their weaknesses is the effect of vicious circles and cies neighbourhoods at risk attract more police attention and police detect more crime which leads to excessive police surveillance of the communities living in lastly questions about possible tyranny of the algorithm that could minimise or even progressively replace human judgment are not totally absent within the police services themselves even']"
2,35,2_reinforcement_supervised_deep_categorisations,"['reinforcement', 'supervised', 'deep', 'categorisations', 'refine', 'cat', 'video', 'neuron', 'recognition', 'scores']","['machine learning methods include neural networks or their more complex version known as deep learning which have been quite widely publicised in view of their autonomy and their quite striking applications such as the one succeeding in obtaining high scores on old atari video solely on pixel positioning and scores', 'the graph below illustrates the different categories of machine learning decisions robot navigation learning tasks skill acquisition game reinforcement learning clustering recommender systems targetted marketing customer segmentation dimensionality reduction meaningful compression big data visualisation feature elicitation structure discovery unsupervised learning advertising popularity prediction weather forecasting market forecasting estimating life expectancy population growth prediction regression classification diagnostics customer retention image classification idenity fraud detection supervised learning machine learning appendix iii study on the use of in judicial page metadata data that make it possible to define contextualise or describe other data', 'for ple in image recognition they might learn to identify images that contain cats by analyzing example images that have been manually labeled as cat or no cat and using the results to identify cats in other images']"
3,34,3_judges_bias_factors_childcare,"['judges', 'bias', 'factors', 'childcare', 'behaviour', 'causative', 'personality', 'disciplinary', 'fathers', 'impartiality']","['an posteriori explanation of judge behaviour in particular the revelation of bias would require all the potentially causative factors to be identified through an bias would require all the potentially causative factors to be identified through an interpretative framework and contextualised analysis', 'for example the fact that family court tically decides more often that children should live with their mother does not necessarily reflect the judge bias in favour of women but rather the existence of psychosocial economic and even cultural factors specific to the jurisdiction such as the working time of each of the parents their income the local availability of collective childcare whether or not the child is in school whether or not one of the parents is in new relationship or even simply the lack of interest by either parent to take care of young child', 'the fact that statistically childcare is more often entrusted to mothers than fathers does not demonstrate childcare is more often entrusted to mothers than fathers does not demonstrate bias on the part of judges but reveals the need to mobilise different disciplines bias on the part of judges but reveals the need to mobilise different disciplines from the social sciences to shed light on this phenomenon']"
4,34,4_france_judicial_court_courts,"['france', 'judicial', 'court', 'courts', 'judges', 'judgments', 'research', 'publication', 'databases', 'site']","['while this response rate should be put into perspective since some answers fused public access to decisions with open data armenia belgium nia and herzegovina luxembourg russian federation spain turkey it reveals on the one hand desire for transparency on the part of european judicial institutions and on the other hand desire on the part of many countries to make court decisions public and thus make it possible to deal with them later using tools', 'furthermore how can we account for two distinct philosophical and cultural approaches to judicial decisions whereby in some european tries including france there is culture of precedent and detailed edge by judges of the factual databases of all and instance decisions appendix study on the use of in judicial page ariane database in the field of administrative justice while other countries or favour the intellectual independence of each court along with desire to deal with each situation on basis', 'page appendix study on the use of in judicial notably applications processing judicial decisions and data prepared by mr xavier ronsin first president of the court of appeal of rennes scientific expert france and mr vasileios lampos principal research fellow at the computer science department of university college london ucl scientific expert united kingdom and with the contribution of ms agnès maîtrepierre judge member of the consultative committee of the convention for the protection of uals with to automatic processing of personal data of the council of europe france the experts also contributed to fintune the study mr francesco contini senior researcher at the research institute on judicial systems national research council bologna italy mr francesco de santis professor of human rights procedures university of naples italy mr jean lassègue philosopher and epistemologist research fellow at the tre national de recherche scientifique cnrs and associate researcher at the institut des hautes etudes sur la justice ihej france ms dory reiling honorary senior judge independent expert on information technology and judicial reform netherlands mr aleš završnik chief researcher at the institute of criminology associate professor at the faculty of law university of ljubljana slovenia and rias researcher at collegium helveticum in zürich switzerland page european commission for the efficiency of justice cepej introduction']"
5,33,5_data_protection_identifiable_political,"['data', 'protection', 'identifiable', 'political', 'names', 'anonymisation', 'ethnic', 'befs', 'sensitive', 'health']","['these include sensitive data relating to genetic data biometric data uniquely identifying an individual data relating to offences criminal proceedings and convictions and related security measures and any data for they reveal on racial or ethnic origin political opinions trade union membership rgious or other befs health or sex life', 'specific questions relating to the protection of personal data the use of algorithms raises the question of the protection of personal data when being processed', 'as defined by the in its guidnes on the protection of individuals with to the processing of personal data in world of big data pseudonymisation refers to the processing of personal data in such manner that the personal data can no longer be attributed to specific data subject without the use of provided that such is kept separately and is subject to technical and organisational measures to that the personal data are not attributed to an identified or identifiable natural']"
6,31,6_study_judicial_form_database,"['study', 'judicial', 'form', 'database', 'jurisdiction', 'questions', 'terms', 'weightings', 'sorting', 'firms']","['appendix study on the use of in judicial page', 'appendix study on the use of in judicial page', 'appendix study on the use of in judicial page']"
7,27,7_efficiency_justice_cases_lexisnexis,"['efficiency', 'justice', 'cases', 'lexisnexis', 'search', 'application', 'analytics', 'document', 'database', 'administrative']","['page european commission for the efficiency of justice cepej fig', 'page european commission for the efficiency of justice cepej', 'page european commission for the efficiency of justice cepej']"
8,25,8_online_alternative_litigants_disputes,"['online', 'alternative', 'litigants', 'disputes', 'mediation', 'contracts', 'arbitration', 'proceedings', 'divorce', 'settlement']","['furthermore in view of the requirements of articles and of the echr forms of review of the online dispute resolution procedure and its outcome by state courts should always be especially where the litigant has consented to fully automated online dispute resolution', 'dispute resolution when litigants go onto an online dispute resolution platform they should be informed in clear and hensible manner whether the processing of their dispute is done in an entirely automated way or with the involvement of mediator or arbitrator', 'online dispute resolution']"
9,23,9_charter_ethical_evaluating_principles,"['charter', 'ethical', 'evaluating', 'principles', 'certification', 'glossary', 'framework', 'appdix', 'compatibility', 'integrated']","['page appendix iv checklist for integrating the charter principles into your processing method in order to assess the compatibility of your processing method with the ter there is scale available for each of the principles listed', 'uses to be encouraged possible uses requiring considerable methodological precautions uses to be scientific studies uses to be with the most extreme reservations appdix iii glossary appdix iv checklist for integrating the charter principles into your processing method checklist for evaluating your processing methods page introduction cknowledging the increasing importance of artificial in our modern societies and the expected benefits when it will be fully used at the service of the efficiency and quality of justice the cepej mally adopts the fundamental principles entitled european ethical charter on the use of in the judicial and their environment', 'principle integrated principle not integrated page checklist for evaluating your processing methods principle of fundamental rights ensure that the design and implementation of artificial intelligence tools and services are compatible with fundamental rights including the right to tection of personal data principle of specifically prevent the development or intensification of any discrimination between individuals or groups of individuals principle of quality and security with to the processing of judicial decisions and data use certified sources and intangible data with models elaborated in secure cal environment principle of transparency impartiality and fairness make data processing methods accessible and understandable authorise external audits principle under user control preclude prescriptive approach and that users are informed actors and in control of their choices compatible with the charter measures to be taken to be compatible not compatible with the charter total checklist for evaluating your processing methods checklist for evaluating your processing methods checklist for evaluating your processing methods checklist for evaluating your processing methods prems the council of europe is the continent leading human rights organisation']"
