Topic,Count,Name,Representation,Representative_Docs
-1,77,-1_liability_products_rights_safety,"['liability', 'products', 'rights', 'safety', 'legislative', 'framework', 'technical', 'regulated', 'assessments', 'development']","['character maximum the current legislative framework should be amended considering the fundamental differences that exist between traditional products and when it comes to the notions of product fault and defect', 'despite the approach adopted it is clear that certain important changes will need to be made to the current legislative framework considering the fundamental differences that exist between traditional products and in particular when it comes to the notions of product fault and defect', 'safety and liability implications of iot and robotics certain important changes will need to be made to the current legislative framework considering the fundamental differences that exist between traditional products and in particular when it comes to the notions of product fault and defect']"
0,29,0_tools_judicial_proceedings_principles,"['tools', 'judicial', 'proceedings', 'principles', 'architecture', 'justice', 'process', 'courts', 'trial', 'judges']","['in particular tools must be properly adapted to the justice environment taking into account the principles and procedural architecture underpinning judicial proceedings', 'operational rules and principles it is therefore important that tools are properly adapted to the justice environment taking into account the principles and procedural architecture underpinning judicial proceedings', 'the use of tools by courts could therefore severely undermine the current procedural architecture underpinning judicial proceedings especially if it were accepted that the judge could access such tools alone during the dberation process']"
1,24,1_approach_response_consultation_respondents,"['approach', 'response', 'consultation', 'respondents', 'sectors', 'questionnaire', 'structurally', 'criteria', 'requirements', 'defective']","['the ccbe is concerned that an exercise of categorising risk as high or low on the basis of abstract criteria is too simplistic and will lead to structurally defective regulation', 'possible adjustments to existing legislative framework relating to approach the ccbe is concerned that an exercise of categorising risk as high or low on the basis of abstract criteria is too simplistic and will lead to structurally defective regulation', 'as an alternative to the proposed approach the ccbe calls for more targeted approach which sets legal requirements tailored to the needs of the specific sectors and circumstances after more detailed evaluation of risks and assessment of legal or other appropriate measures']"
2,22,2_legislation_sectors_requirements_voluntary,"['legislation', 'sectors', 'requirements', 'voluntary', 'values', 'labelling', 'guide', 'ensuring', 'ethical', 'public']","['in your opinion how important are the mandatory requirements of possible future regulatory framework for as section of the white paper is not important at all is very important', 'current legislation is fully sufficient current legislation may have some gaps there is need for new legislation other no opinion other please specify character maximum for some areas there might be need for new legislation whereas for others not or only further clarifications are needed as to how existing rules apply to new circumstances resulting from the use of', 'in your opinion how important are the six actions proposed in section of the white paper on is not important at all is very important']"
3,22,3_data_risks_privacy_persons,"['data', 'risks', 'privacy', 'persons', 'scrutiny', 'used', 'security', 'rights', 'provide', 'conversations']","['also there are grave concerns that the trigger words which are used by national security agencies are not sufficiently refined and thus the phone conversations of millions of people are monitored without legal basis', 'for the sake of transparency and in order to enable individuals to defend their rights persons impacted by the use of an should be duly informed that is being used and that data concerning him or her matter may be by an automated', 'for the sake of transparency and in order to enable individuals to defend their rights it seems appropriate that the persons impacted by the use of an should be duly informed that is being used and that data concerning the matter put in issue by him or her may be by an automated']"
4,20,4_technologies_liability_group_digital,"['technologies', 'liability', 'group', 'digital', 'things', 'use', 'consultation', 'rights', 'ethical', 'document']","['european commission report from the expert group on liability and new technologies new technologies formation liability for artificial intelligence and other emerging digital technologies pp', 'european commission report from the expert group on liability and new technologies new technologies formation liability for artificial intelligence and other emerging digital technologies', 'annex draft ccbe response consultation questionnaire european commission report from the expert group on liability and new technologies new technologies formation liability for artificial intelligence and other emerging digital technologies pp']"
5,16,5_biometric_identification_widespread_endanger,"['biometric', 'identification', 'widespread', 'endanger', 'freedom', 'public', 'guidnes', 'races', 'face', 'anonymity']","['further the widespread use of biometric identification may pose severe risks for an open and pluralistic society if not used proportionately with proportionate intended aim such as ensuring public safety', 'biometric identification should never be allowed in publicly accessible spaces no opinion please specify your answer biometric identification technologies tend have serious flaws that endanger civil rights', 'face recognition and other technologies which may be used in public spaces need to be subject to further guidnes or regulation no further guidnes or regulations are needed biometric identification should be allowed in publicly accessible spaces only in certain cases or if certain conditions are fulfilled please specify other special requirements in addition to those mentioned in the question above should be imposed please specify use of biometric identification in publicly accessible spaces by way of exception to the current general prohibition should not take place until specific guidne or legislation at level is in place']"
6,15,6_compliance_enforcement_applications_market,"['compliance', 'enforcement', 'applications', 'market', 'measures', 'secure', 'trustworthy', 'considerations', 'values', 'respect']","['compliance framework as the question how to that is trustworthy secure and in respect of european values and rules the ccbe considers that combination of compliance and enforcement mechanisms is needed', 'character maximum instead of adhering to very generic and abstract compliance framework the appropriate compliance measures must be and tailored to the needs in specific sectors and circumstances', 'compliance of applications with the identified requirements should be prior to putting the on the market compliance of applications should be assessed by means of an external conformity assessment procedure market surveillance after the product or service has been put on the market and where needed enforcement by competent authorities combination of compliance and enforcement mechanisms other enforcement no opinion please specify any other enforcement character maximum do you have any further suggestion on the assessment of compliance']"
7,15,7_burden_liability_insurance_defences,"['burden', 'liability', 'insurance', 'defences', 'damage', 'reversal', 'victims', 'compensation', 'issues', 'allocation']","['questions of to whom liability might be extended the burden of proof and defences must also be re', 'all of those suffering loss whether natural or legal persons should have claim for damages with no restriction to for example only consumers or those using in the course of their business trade or profession rule of evidence and the reversal of burden of proof in certain situations issues ing the burden of proof also need to be re in the context of since and deep learning features of will necessarily lead to decrease in predictability', 'issues to be when the current legislative framework include the notion of product lack of foreseeability in the functioning of addressee of liability defences type of damage and victims rule of evidence and the reversal of burden of proof in certain situations and the question of mandatory insurance']"
8,15,8_defect_liability_damages_fault,"['defect', 'liability', 'damages', 'fault', 'conditions', 'defects', 'producer', 'concept', 'foreseeability', 'business']","['thus liability for damages can not easily be attributed to fault on the part of person whether natural or legal nor by the existence of defect in product in the sense of specific malfunction in that product', 'in this it can also be noted that the existing product liability directive although on the existence of defect defines defect not in the traditional sense but in relation to outcome', 'in this the ccbe agrees with the consideration expressed in the expert group report that development risk defence should not apply in the context of emerging digital technologies the producer should be strictly liable for defects even if said defects appear after the product was put into circulation as long as the producer was still in control of updates to or upgrades of the type of damage and victims when it comes to damages it is necessary to as losses for which damages should be available under specific conditions not only physical and material damage but also the destruction of the victim data as the risks inherent in and damage which may be caused by are not as such foreseeable the damage being covered should not be limited to foreseeable damage']"
9,14,9_research_excellence_innovation_smes,"['research', 'excellence', 'innovation', 'smes', 'eco', 'promote', 'development', 'sector', 'enterprises', 'partnership']","['not very no not important neutral important important opinion important at all strengthen excellence in research establish testing facilities for promote the uptake of by business and the public sector increase the financing for innovating in develop skills for and adapt existing training programmes build up the european data space are there other areas that that should be', 'not very no not important neutral important important opinion important at all support the establishment of lighthouse research centre that is world class and able to attract the best minds network of existing research excellence centres set up partnership for industrial research are there any other actions to strengthen the research and innovation community that should be given priority', 'not not very no important important neutral important important opinion at all help to raise sme awareness about potential benefits of provide access to testing and reference facilities promote knowledge transfer and support the development of expertise for smes support partnerships between smes larger enterprises and academia around prects provide about equity financing for startups these are further explained in the separate ccbe paper attached to the response of this consultation are there any other tasks that you consider important for specialised digital innovations hubs']"
10,11,10_justice_risk_trial_fairness,"['justice', 'risk', 'trial', 'fairness', 'outcomes', 'courts', 'example', 'undermines', 'incentives', 'targets']","['this may undermine citizens ability to seek advise contest or reverse decisions', 'this may undermine citizens ability to seek advice or to contest or seek to reverse decisions', 'please specify character maximum may lead to unfair legally binding outcomes may hamper access to justice may undermine fair trial rights in general the use of in automated processes may reshape the interaction between citizens and']"
11,10,11_lawyers_professional_role_competence,"['lawyers', 'professional', 'role', 'competence', 'client', 'topics', 'expertise', 'practice', 'defence', 'justice']","['in this the most obvious principles to respect in the use of tools concern the duty of competence the duty to inform the client maintaining lawyers independence in terms of defence and advice the duty to preserve professional professional privilege and the obligation to protect the confidentiality of clients data', 'the parts below are structured along the topics addressed in the consultation questionnaire and address the main issues an eco of excellence funding should be made available for sectoral regulators including bars and law societies in order to train lawyers on topics such as the use of novel technologies and in the justice area while respecting ethical principles and data protection requirements', 'the ccbe therefore strongly supports the idea that funding should be made available for sectoral regulators including bars and law societies as they are best positioned to understand and address the training needs for their respective sectors such as lawyers particularly as how can be used in way which is compatible with their ethical codes and professional duties']"
