Topic,Count,Name,Representation,Representative_Docs
-1,146,-1_software_court_jurisdictions_vehicles,"['software', 'court', 'jurisdictions', 'vehicles', 'results', 'developers', 'bias', 'competence', 'trial', 'transparency']","['possibility to verify the data input and reasoning of the tool in cases where the decision is likely to be in whole or in part on the data or outcomes provided by an tool the parties their lawyers should be given the opportunity to access that tool and assess its characteristics the data used and the relevance of the outcomes it provides', 'for instance it may be impossible to include in the program certain data that could be in resolving of the case competence also means not simply accepting the results produced by the software or rather by machine learning but verifying those results using one own knowledge', 'although it is of course necessary to be aware of these limitations atic examination of the different stages of criminal and civil legal processes should nevertheless make it possible to identify the services that could be provided at each stage of the judicial process by automatic it will be useful to try to imagine the tools that could be used in the future on knowledge of the current capabilities of computing which remain limited']"
0,57,0_liability_technologies_issues_defect,"['liability', 'technologies', 'issues', 'defect', 'damage', 'fault', 'responsibility', 'expert', 'defences', 'operation']","['liability issues the notion of fault and liability might struggle to find its place in this new environment as an may cause damage as consequence of its own autonomous actions determined by data and algorithms without any defect in the traditional sense', 'liability issues', 'for example as the latter the could be either pure strict liability regime where there is liability whether or not there is defect and where no defences nathalie nevejans traité de droit et éthique de la robotique civile european commission report from the expert group on liability and new technologies new technologies formation liability for artificial intelligence and other emerging digital technologies december']"
1,56,1_algorithms_programmed_autonomous_program,"['algorithms', 'programmed', 'autonomous', 'program', 'dataset', 'automated', 'process', 'human', 'computers', 'example']","['whether program is run by programmable computer or it performs the functions of narrowly specialised device like an automatic sensor the use of algorithms is at the heart of all computer processes', 'these algorithms allow the to analyse its own experiences and make corrections for improved future performance as opposed to automated upon conventional even if complex algorithms which are programmed by human to run an algorithm that is not designed to improve on set of algorithms on computer or other device', 'it runs on computer or device which has been programmed by human to run particular algorithm or set of algorithms']"
2,44,2_algorithms_crimes_predictive_defendant,"['algorithms', 'crimes', 'predictive', 'defendant', 'offenders', 'assessment', 'gender', 'offences', 'nuisance', 'neighbourhoods']","['use of in risk assessmt as described under algorithms for predicting crimes are being used on macro level by police forces on the one hand and on the other hand similar algorithms can be used on micro level for predicting the probability of person committing future offences', 'the police in durham use an algorithm called harm assessment risk tool hart to divide offenders into three groups on an assessment of whether the risk of the offender committing further offences within the next two years is low moderate or high', 'predictive use by police forces the use of predictive tools is part of so called predictive policing and is used to visualise and analyse crime incident patterns in order to be able to make forecasts as to the locations at which there is higher probability that criminal acts will be committed and where thus the allocation of police intervention officers or television cctv may have positive impact']"
3,39,3_considerations_legal_paper_rights,"['considerations', 'legal', 'paper', 'rights', 'drones', 'executive', 'practices', 'humanly', 'weapons', 'liability']","['ccbe considerations on the legal aspects of artificial intelligence', 'ccbe considerations on the legal aspects of artificial intelligence', 'ccbe considerations on the legal aspects of artificial intelligence made']"
4,31,4_justice_judicial_courts_architectures,"['justice', 'judicial', 'courts', 'architectures', 'access', 'proceedings', 'tools', 'judge', 'debate', 'trial']","['therefore tools must be properly adapted to the justice environment taking into account the principles and procedural architecture underpinning judicial proceedings', 'increasing access to justice by reducing the cost of judicial proceedings may sound like desirable outcome but there is little value in increasing access to justice if the quality of justice is undermined in doing so', 'the use of by courts fundamental debate is needed to critically assess what role if any tools should play in our justice increasing access to justice by reducing the cost of judicial proceedings through the use of tools may sound like desirable outcome but there is little value in increasing access to justice if the quality of justice is undermined in doing so']"
5,24,5_arguments_judges_dberation_hearings,"['arguments', 'judges', 'dberation', 'hearings', 'trial', 'conditions', 'decisions', 'court', 'process', 'tools']","['one of the conditions of fair trial is that the judge decides on the documents and arguments presented to by the parties', 'decisions are made an adversarial process and the judge decides in the light of the arguments and evidence provided by the parties', 'the subject matter of the judge decision is found in the evidence provided by the parties and previously discussed before the judge']"
6,24,6_data_lawyers_tools_texts,"['data', 'lawyers', 'tools', 'texts', 'categories', 'unstructured', 'analytics', 'practices', 'files', 'legislation']","['at the same time most of the law practices in europe are sole practitioners and small firms with either no infrastructure or at any rate an infrastructure which is too small to generate meaningful data about how the lawyer works or ii to capture important metadata about documents created by the lawyer', 'gathering and analysis of evidence the use of in the field of lawyers work is at present largely limited to research tools simplification of data analytics and in some jurisdictions predicting possible court decisions', 'mn categories of tools tools for legal use as seen by lawyers just as in many other aspects of our society lawyers are also affected by the increase in the amount of data which is being generated']"
7,22,7_training_lawyers_skills_needs,"['training', 'lawyers', 'skills', 'needs', 'competent', 'resources', 'experience', 'ethics', 'competence', 'provide']","['training should therefore be used to extend lawyers general competence to understand the technological environment in which they are likely to be working while keeping focus on the principles of lawyers ethics and human rights', 'therefore training should be used to extend lawyers general competence in understanding the technological environment that they are likely to be working in while keeping focus on the principles related to lawyers ethics and human rights', 'training of lawyers and']"
8,21,8_developments_consultations_charter_policy,"['developments', 'consultations', 'charter', 'policy', 'committees', 'guidnes', 'membership', 'guide', 'respective', 'platforms']","['in the near future the ccbe may therefore wish to comment on and respond to consultations concerning upcoming policy developments on at the and council of europe level', 'therefore and also taking into account the upcoming policy developments on at the and council of europe level the ccbe may wish further to articulate its views on aspects of the use of on the basis of further studies and reflections by its respective committees and working groups', 'therefore and also taking into account the upcoming policy developments on at the and council of europe level the ccbe may wish further to articulate its views on aspects of the use of on the basis of further studies and reflections by its respective committees and working groups']"
