Topic,Count,Name,Representation,Representative_Docs
-1,90,-1_documents_register_provider_implementing,"['documents', 'register', 'provider', 'implementing', 'data', 'paragraphs', 'requirements', 'administrative', 'oversight', 'laws']","['paragraphs to shall also apply mutatis mutandis to the data provider', 'paragraphs to shall also apply mutatis mutandis to the data provider', 'article shall apply mutatis mutandis to documents in the public register']"
0,60,0_supervisory_authorities_scoping_complaint,"['supervisory', 'authorities', 'scoping', 'complaint', 'powers', 'handling', 'tasks', 'board', 'complainant', 'investigate']","['supervisory authority means the public authority deﬁned in article', 'the supervisory authority shall oversee the application of these rules and provisions adopted under these rules monitor developments concerning the use of by public authorities promote public awareness and understanding of the risks rules safeguards and rights in relation to the use of by public authorities upon request provide to any aﬀected person on the rules for impact assessment and the use of by public authorities advise public authorities on the impact assessment and the use of in particular on the scoping according to article that suﬃcient experts are available for audits under article keep public register according to paragraph handle to the extent appropriate complaints according to article after the has been in use for six months where it has not been reviewed in with paragraph during the last three months and every two years after the last review and amend the article report or if applicable the extended report', 'notwithstanding powers accorded by other articles in these rules the supervisory authority shall have the power to investigate on its own initiative or on complaint under article the application of these model rules by the implementing authorities the aped experts and the or data providers without limitation by article to obtain from implementing authorities aped experts and or data providers all necessary for the performance of its tasks to make recommendations to implementing authorities to initiate after an unsuccessful recommendation either legal proceedings before court of law or issue binding order to stop an implementing authority using that in violation of these rules has not been subject to proper impact assessment or proper repeat impact assessment to issue on its own initiative or on request opinions to parliament and the government or to other institutions and bodies as well as to the public on any issue related to the use of by public authorities']"
1,53,1_independent_diversity_expertise_considerations,"['independent', 'diversity', 'expertise', 'considerations', 'nationality', 'vocation', 'disability', 'orientation', 'membership', 'gender']","['independent expert group on', 'independent expert group on', 'independent expert group on']"
2,51,2_assessment_impact_report_procedure,"['assessment', 'impact', 'report', 'procedure', 'assessments', 'gdpr', 'coordination', 'participation', 'questionnaire', 'authorities']","['in contrast to most impact assessment proposals and article gdpr the draft does not focus on risks alone but also asks how the implementing authority can optimise the beneﬁts of the the assessment criteria are not binding standards that any must fulﬁl the model rules provide for an impact assessment not for material standards', 'chapter standard impact assessment procedure black letter rules article impact assessment report', 'table of contents table of contents executive summary list of sources annexes article purpose and scope article deﬁnitions chapter standard impact assessment procedure chapter additional provisions for high risk systems chapter conclusion of the assessment chapter accountability acknowledgements reporter preface chapter general provisions eli model rules on impact assessment of algorithmic systems used by public administration black letter rules eli model rules on impact assessment of algorithmic systems used by public administration with comments and sources article purpose of scope sources sources article screening annex systems always subject to an impact assessment article applicability of this chapter article publication article supervisory authority article deﬁnitions article scoping annex systems not requiring an impact assessment article expert audit and expert board article review and repetition of the assessment article complaints and legal protection article cooperation and communication with the system provider and data provider annex questionnaire for the impact assessment report standard version article evaluation and extended report article coordination with other procedures article impact assessment report annex screening questionnaire article public participation article transparency and protection of secrets general remarks general remarks comments comments annex questionnaire for the impact assessment report extended version sources sources sources sources sources sources sources sources sources sources sources comments comments comments comments comments comments comments comments comments comments comments comments comments article coordination with other procedures article scoping article cooperation and communication with the system provider and data provider article transparency and protection of secrets article applicability of this chapter article expert audit and expert board article public participation article evaluation and extended report article publication article review and repetition of the assessment article supervisory authority article complaints and legal protection article impact assessment report article screening timne of development of the impact assessment procedure role of bodies involved in the impact assessment procedure public bodies have made decisions and rules from time immemorial']"
3,44,3_value_negative_questions_measures,"['value', 'negative', 'questions', 'measures', 'minimisation', 'management', 'outcomes', 'risks', 'mitigation', 'gamed']","['risk score reduction by yes with similar', 'risk score reduction by yes with very similar', 'very easily not at all question type risk reduction measures some answers to questions of either type could also be assigned negative value when they indicate that the implementing authority has taken risk management measures that go beyond what can be reasonably expected']"
4,43,4_annexes_risk_content_assessment,"['annexes', 'risk', 'content', 'assessment', 'screening', 'political', 'impact', 'transport', 'dberation', 'questionnaire']","['annex would contain diﬀerent types of that are obviously low risk such as common chatbots that are already so widely established that their risks are and easily manageable and that are unsuitable for the high degree of public scrutiny that an impact assessment provides mainly used in the area of national security', 'annexes annexes annex systems always subject to an impact assessment comment annex has not been drafted because the content should be left to political dberation by the competent legislative bodies', 'article provides for screening procedure to determine whether not listed in annexes or will be subject to an impact assessment']"
5,30,5_implementing_authority_public_intends,"['implementing', 'authority', 'public', 'intends', 'cooperation', 'participation', 'instructs', 'voluntarily', 'critically', 'particularities']","['if details are included that are not generally understandable the implementing authority shall provide generally understandable summary', 'implementing authority', 'public authority means any government or other public administration including public advisory bodies at european union national regional or local level any natural or legal person performing public administrative functions under european union or national law and any natural or legal person having public responsibilities or functions or black letter rules providing public services under the control of body or person falling within or']"
6,29,6_characteristics_software_nature_technical,"['characteristics', 'software', 'nature', 'technical', 'intend', 'hardware', 'design', 'speciﬁcation', 'motivation', 'edge']","['the nature and technical characteristics of the', 'the nature and technical characteristics of the', 'the nature and technical characteristics of the']"
7,29,7_auditability_logging_measures_processes,"['auditability', 'logging', 'measures', 'processes', 'traceability', 'accountability', 'governance', 'practices', 'caused', 'reproducibility']","['did you put in place measures to that the data used in the is of high quality complete and representative of the environment the will be deployed in accuracy across groups precision and sensitivity', 'did you put in place measures that address the traceability of the during its entire lifecycle eg logging of the processes and outputs can you trace back which algorithms rules data were used by the to make certain decision or recommendation did you put in place measures to continuously assess the quality of the output of the did you put adequate logging practices in place to record the decision or recommendation of the', 'accountability in particular oversight auditability clear allocation of responsibilities benchmarking and the possibility of redress for injury or harm caused by the unless the is listed as always high risk in annex concluding determination of the risk level an overall assessment of the necessity and proportionality of the processing operations in relation to the purposes in particular between diﬀerent factors set out in this article and whether there are reasonable alternatives to the envisaged reasoned statement on the legality of the use of the under the applicable law in particular data protection law administrative procedure law and applicable sectoral legislation any mandated by other articles of these model rules']"
8,24,8_screening_risk_procedure_questionnaire,"['screening', 'risk', 'procedure', 'questionnaire', 'assessment', 'impact', 'constitutes', 'levels', 'consultations', 'apply']","['the implementing authority shall publish its answers to the screening questionnaire screening results at least online within two weeks after completion of the screening', 'article screening', 'the screening procedure can have three diﬀerent outcomes described by three diﬀerent levels of risk low risk where an impact assessment is not necessary substantial risk where an impact assessment is necessary but chapter does not apply high risk where an impact assessment including public and expert consultations under chapter is necessary']"
