Topic,Count,Name,Representation,Representative_Docs
-1,172,-1_consumer_digital_supplier_assistant,"['consumer', 'digital', 'supplier', 'assistant', 'relations', 'contract', 'contractual', 'terms', 'paragraph', 'contracts']","['as minimum such parameters should include insofar as for the range of transactions for which the digital assistant can be used price range price criteria and other pricing elements or any other such as permitting access to data types and characteristics of products or services identity or characteristics of businesses with which to enter contractual relations ratings and reviews duration of the time window for preventing the conclusion of contract dvery arrangements and times geographical location of the business and sustainability criteria', 'as minimum such parameters should include insofar as for the range of transactions for which the digital assistant can be used price range price criteria and other pricing elements or any other such as permitting access to data types and characteristics of products or services identity or characteristics of businesses with which to enter contractual relations chapter design requirements ratings and reviews duration of the time window for preventing the conclusion of contract dvery arrangements and times geographical location of the business and sustainability criteria', 'this prect is by the european union table of contents acknowledgements list of abbreviations prminary observations guiding principles the eli model rules on digital assistants for consumer contracts chapter general provisions article scope and purpose article deﬁnitions article use of digital assistants chapter design requirements article design requirements article functionality to select and modify parameters article functionality for preventing the conclusion of contract article functionality to deactivate the digital assistant temporarily or permanently article functionality for disclosure article of consumers when using digital assistant article documentation of chapter contracts for the supply of digital assistant article information to be provided to consumers article disclosure of conﬂict of interests article deactivation of the digital assistant article conformity article supplier duty to warn article liability chapter algorithmic contracts article legal recognition of algorithmic contracts article application of consumer law article disclosing the use of digital assistant article contractual disclosures article compliance with the obligation to provide article attribution and its limits article manipulation of digital assistants article consequence of not acting to prevent the conclusion of contract chapter additional liability of the supplier of digital assistant article liability of the supplier of digital assistant to third parties prminary observations these were drafted by christiane wendehorst']"
0,51,0_dacc_principles_contracts_protection,"['dacc', 'principles', 'contracts', 'protection', 'consumer', 'adm', 'provisions', 'blockchain', 'contractual', 'digital']","['the european law institute guiding principles and model rules on digital assistants for consumer contracts eli dacc model rules were developed to provide the necessary legal rules for automating contractual relations through algorithmic particularly those relying on artificial intelligence algorithms to as digital assistants for all the stages of the of consumer contract', 'commentary the european law institute guiding principles and model rules on digital assistants for consumer contracts eli dacc model rules provide the necessary additions to consumer and contract law rules to accommodate the use of digital assistants', 'black letter rules the eli model rules on digital assistants for consumer contracts chapter general provisions article scope and purpose the purpose of the eli dacc model rules is to provide set of rules that enhance legal certainty and for high level of consumer protection in contracts between business and consumer ing the use of digital assistants by one or both parties for their contractual relations']"
1,28,1_algorithmic_contracts_contracting_journal,"['algorithmic', 'contracts', 'contracting', 'journal', 'term', 'contract', 'applications', 'agent', 'guiding', 'legal']","['eg samir chopra and laurence white artificial agents and the contracting problem solution via an agency analysis university of illinois journal of law technology and policy lauren henry scholz algorithmic contracts stanford technology law review eliza mik from automation to autonomy some problems in contract law journal of contract law vincent ooi contracts formed by software an approach from the law of mistake journal of business law friedemann kainer and lydia förster autonome systeme im kontext des vertragsrechts zeitschrift für die gesamte privatrechtswissenschaft louisa specht and sophie herold roboter als vertragspartner', 'algorithmic contracts where one party is consumer are consumer contracts', 'chapter algorithmic contracts article legal recognition of algorithmic contracts an algorithmic contract is not to be denied validity or enforceability solely because digital assistant was used irrespective of whether only one party or both parties used digital assistants']"
2,26,2_parameters_settings_range_assistant,"['parameters', 'settings', 'range', 'assistant', 'select', 'digital', 'interface', 'inputs', 'pods', 'record']","['consumers should be able to adjust parameters which have default settings except where the particular business model for the digital assistant means that some parameters can not be changed', 'article functionality to select and modify parameters digital assistant intended for use by consumers for their contractual relations must allow the consumer to select and modify at any time range of the parameters and their relative importance to be used by the digital assistant in performing its functions', 'article functionality to select and modify parameters digital assistant intended for use by consumers for their contractual relations must allow the consumer to select and modify at any time range of the parameters and their relative importance to be used by the digital assistant in performing its functions']"
3,25,3_mlac_automated_international_intervention,"['mlac', 'automated', 'international', 'intervention', 'refers', 'contracts', 'actions', 'transactions', 'neutrality', 'commerce']","['for comparison the mlac also aims to cover all the stages of the contractual life cycle but in line with traditional uncitral terminology refers to the use of automated to form or to perform contracts article mlac', 'in contrast nothing in the mlac refers to the contract for the supply of the automated as its model rules exclusively refer to what in the eli dacc model rules is to as algorithmic contract and to any action in connection with the formation or the performance of contract article mlac', 'in contrast the mlac neither uses specific term nor specifically defines the contract formed using automated instead the international text refers to such contract as contract formed or performed using an automated article and mlac and separately to any action in connection with the formation or performance of contract article mlac such as an invitation to offer an offer counteroffer performance of any contractual obligation proposal to modify the contract actions related to renegotiation or termination']"
4,24,4_deactivation_subscription_contract_reactivation,"['deactivation', 'subscription', 'contract', 'reactivation', 'charges', 'payments', 'notwithstanding', 'changes', 'deactivating', 'recurring']","['subject to rules in the applicable consumer law and contract law ing contract modifications any modifications made to the contract for the supply of the digital assistant during the period of deactivation are binding on consumer and will apply to the use of the digital assistant on reactivation', 'term in the contract for the supply of the digital assistant which directly or indirectly prohibits the deactivation of the digital assistant by the consumer or imposes any charges on the consumer who does so is not binding on the consumer', 'term in the contract for the supply of the digital assistant which directly or indirectly prohibits the deactivation of the digital assistant by the consumer or imposes any charges on the consumer who does so is not binding on the consumer']"
5,24,5_paragraphs_addressed_effective_requirement,"['paragraphs', 'addressed', 'effective', 'requirement', 'sources', 'disclosure', 'matters', 'social', 'phrase', 'intelligibility']","['disclosure of this is particularly important for article paragraphs and', 'paragraphs do not apply where there are legitimate grounds recognised by the applicable law in respect of the matters addressed in these paragraphs', 'paragraphs do not apply where there are legitimate grounds recognised by the applicable law in respect of the matters addressed in these paragraphs']"
6,22,6_chatbot_paragraphs_voice_spaces,"['chatbot', 'paragraphs', 'voice', 'spaces', 'circumstances', 'threshold', 'risk', 'extent', 'assistant', 'understood']","['the operation of paragraph would extend to situation where digital assistant makes misleading representations to person or another digital assistant interacting with that digital assistant as was the situation in moffat air canada bccrt where chatbot gave incorrect about airline fares', 'paragraphs do not apply where the use of digital assistant is obvious to reasonable person in the circumstances', 'paragraphs do not apply where the use of digital assistant is obvious to reasonable person in the circumstances']"
7,21,7_factors_errors_breaches_external,"['factors', 'errors', 'breaches', 'external', 'cybersecurity', 'adaptive', 'obligations', 'digital', 'consumer', 'assistant']","['factor considers the relevance of external factors on the performance of the digital assistant for instance consumer would generally not reasonably expect to be bound by transactions on data loss or errors in the data provided by sources nor for cybersecurity breaches beyond the consumer control', 'the factors to be applied in determining whether the actions of the digital assistant deviated from those consumer could reasonably expect include any given to the consumer about the adaptive capability of the digital assistant whether the operation of any adaptive functionality of the digital assistant was inconsistent with such external factors such as loss of access to data supplies errors in that data or cybersecurity breaches and whether in the specific circumstances the consumer could not reasonably have expected that the action in question would be taken', 'the factors to be applied in determining whether the actions of the digital assistant deviated from those consumer could reasonably expect include any given to the consumer about the adaptive capability of the digital assistant whether the operation of any adaptive functionality of the digital assistant was inconsistent with such external factors such as loss of access to data supplies errors in that data or cybersecurity breaches and whether in the specific circumstances the consumer could not reasonably have expected that the action in question would be taken']"
8,21,8_disclose_disclosure_assistant_digital,"['disclose', 'disclosure', 'assistant', 'digital', 'contractual', 'provide', 'consumer', 'inform', 'obligation', 'disclosing']","['article functionality for disclosure digital assistant used by consumer or business for its contractual relations must disclose that the digital assistant is used', 'article compliance with an obligation to provide where the applicable law requires that business must provide to consumer at any during its contractual relations with that consumer and the use of the digital assistant has been disclosed by the consumer in with article business can comply with such requirement by making the available to the digital assistant instead provided that the digital assistant has the functionality to receive this and ii either transmit this or an accurate summary thereof to the consumer or to store the and make it available permanently to the consumer through the digital assistant user interface and black letter rules the functionality in paragraph has been disclosed to the business either through an appropriate functionality of the digital assistant or otherwise made known to the business', 'article compliance with the obligation to provide where the applicable law requires that business must provide to consumer at any during its contractual relations with that eg andreas oehler and stefan wendt good consumer information the information paradigm at its dead end journal of consumer policy ognyan seizov alexander wulf and joasia luzak the transparent trap multidisciplinary perspective on the design of transparent online disclosures in the journal of consumer policy consumer and the use of the digital assistant has been disclosed by the consumer in with article business can comply with such requirement by making the available to the digital assistant instead provided that the digital assistant has the functionality to receive this and ii either to transmit this or an accurate summary thereof to the consumer or to store the and make it available permanently to the consumer through the digital assistant user interface and the functionality in paragraph has been disclosed to the business either through an appropriate functionality of the digital assistant or otherwise made known to the business']"
