Topic,Count,Name,Representation,Representative_Docs
-1,139,-1_lawyers_tools_software_list,"['lawyers', 'tools', 'software', 'list', 'management', 'database', 'results', 'court', 'document', 'clients']","['relying on results without proper explanation and understanding and others risks to the performance of tools based on the index of after cybersecurity and regulatory relevance the third most important risk in adopting tools that organisations consider is the lack of explainability of the results of such the commission has also highlighted that in order to increase transparency and minimise the risk of bias or error should be developed in manner which allows humans to understand the basis of their actions one has to be aware of the problem that explainability has very different meaning for technical people for lay people and for court use', 'human expert with human understanding of the full context of client is able to provide much higher quality of service to clients compared with automated assistance in restricted set of piecemeal activities that can be fully automated by software but where clients have to rely on their own judgement and', 'human expert with human understanding of the full context of client is able to provide much higher quality of service to clients compared with automated assistance in restricted set of piecemeal activities that can be fully automated by software but where clients have to rely on their own judgement and']"
0,85,0_evidence_beta_client_agreement,"['evidence', 'beta', 'client', 'agreement', 'lease', 'court', 'consultation', 'template', 'breach', 'changes']","['she checks how the statement of facts relates to the list of existing evidence what evidence she will need to acquire prior to creating the first draft of the claim and how these pieces of evidence relate to the causes of action compensation for privacy breach and refund for the early termination of the subscription', 'the court case is about unfair contractual terms in consumer contract and related compensation on privacy breach and mr beta would prefer fixed fee arrangement', 'at the end of the consultation the lawyer gives mr beta the list of evidence at his disposal to send to her and she promises mr beta that she will come back to him with the offer within two further working days']"
1,56,1_guide_lawyers_tools_registry,"['guide', 'lawyers', 'tools', 'registry', 'categories', 'administrative', 'sections', 'lawful', 'need', 'providing']","['guide on the use of tools by lawyers and law firms in the', 'guide on the use of tools by lawyers and law firms in the', 'guide on the use of tools by lawyers and law firms in the']"
2,55,2_firms_opportunities_access_hours,"['firms', 'opportunities', 'access', 'hours', 'processes', 'advantage', 'automation', 'services', 'technologies', 'markets']","['guide on the use of tools by lawyers and law firms in the this guide aims to provide on how lawyers will be able to use the opportunities provided by tools and how such tools could help the business processes of small firms', 'such privileged entities could be courts or other government bodies such as the prosecution service tax authority or police but when compared to small law firms which can only access publicly available services on publicly available and by nature have access to much smaller corpus of even larger commercial entities such as insurance companies or large law firms may have considerable competitive advantage', 'moreover when compared to small law firms which can only access publicly available services on publicly available and have by nature smaller corpus of own even larger commercial entities such as insurance companies or large law firms may have considerable competitive advantage']"
3,48,3_provisions_documents_extracting_classifiers,"['provisions', 'documents', 'extracting', 'classifiers', 'lease', 'contractual', 'classifying', 'classified', 'labels', 'words']","['it is also to be classification when the task is to find the existence of certain clause in contract such as provision on the limitation of liability or classification can serve to make suggestion on complex legal issues such as classifying provision as probably unfair or based on the complexity and characteristics of the classification sought this task could rely on predefined rules such as regular expressions which find matching text or different types of machine classifiers trained on machine learning classifiers take into account different features identified in the text such as document or word or simple frequencies or even deeper grammatical structures within the classifiers often rely on features identified by the previous runs of simpler classifiers', 'combining classification and extraction for document understanding and analysis purposes classification and extraction tools often rely on each other as an extraction tool is trained and run only on those provisions that have been classified as', 'analysis on extraction extracting time relations citations content of contractual provisions and facts another major type of approach for document analysis is extraction where rules are defined or machine learning solutions are trained to extract certain important from the text such as monetary amounts date and of time in the document or even extracting the text of specific contractual provisions such as term of lease software tools for extraction are designed to find and copy provisions from body of text and use these parts as output']"
4,43,4_benchmark_benchmarks_performance_claims,"['benchmark', 'benchmarks', 'performance', 'claims', 'tools', 'review', 'architecture', 'compare', 'tasks', 'upload']","['it is important for every lawyer to understand that promising result for given benchmark does not mean that tool using model built on the same architecture will perform well in real life scenarios', 'benchmarks and claims on the performance of tool', 'as long as these simpler tools work rably whole new area of automated analysis and generation becomes possible including finding the subject or the predicate in it is important for every lawyer to understand that promising result for given benchmark does not mean that tool using model built on the same architecture will perform well in real life scenarios if you are faced with claim for the performance of an tool do check out the details of such claims']"
5,38,5_assembly_document_drafting_template,"['assembly', 'document', 'drafting', 'template', 'authoring', 'tools', 'interface', 'automation', 'customisation', 'microsoft']","['the first category relates to drafting support tools itself divided into writing assistance tools document assembly tools and more generic division of text generation from data', 'document assembly tools', 'document assembly tools']"
6,36,6_chatbots_chatbot_intent_messaging,"['chatbots', 'chatbot', 'intent', 'messaging', 'social', 'presence', 'integrated', 'customers', 'platform', 'chat']","['of course currently this functionality is not common at all rable online identification tools are not readily integrated with chatbot platforms which means that customer service by chatbots will be limited to providing the contact details and opening hours of the law firm and also possibly booking an apment', 'chatbots', 'in summary chatbots can serve as foundation for many online channels to keep in touch with customers or even to presence in virtual chatbots can not be used in vacuum the stronger the online presence of the firm and the more the firm spends on online marketing the more it makes sense for that firm to invest in chatbot tools as well']"
7,33,7_cloud_privacy_providers_security,"['cloud', 'privacy', 'providers', 'security', 'confidentiality', 'unauthorised', 'protected', 'platforms', 'client', 'lawyers']","['getting the data out of the cloud is much harder than putting it in the more successful cloud provider becomes in terms of it tools for lawyers the stronger the cloud service provider becomes lawyers word embedding language models are becoming dominant in the legal use of', 'one of the biggest risks in using these new tools is related to the manner in which such tools are generally dvered cloud computing largely because obtaining data from the cloud is much harder than putting the data in and the more successful cloud provider becomes for lawyers with integrated offerings the stronger such service providers become when facing lawyers', 'risks arising from using cloud computing and online platforms to provide access to tools the first risk of technological nature that we require to mention is not specific to tools per se but to the most popular way of deploying tools using cloud services intended to be used by everyone public cloud services the very same risks apply to lawyers using online platforms because these platforms also rely on public cloud and from this of view the source of the risk is the deployment model and not']"
8,29,8_representation_knowledge_linguistic_interpretability,"['representation', 'knowledge', 'linguistic', 'interpretability', 'lawyers', 'barriers', 'offices', 'practices', 'standards', 'software']","['this guide is the third in the prect the overview on average state of the art it capabilities and comparison with best practices united kingdom usa and canada and the dverable of the second phase report on the barriers and opportunities in the use of natural language processing tools in small legal offices', 'why are linguistic nlp tools and knowledge representation important for lawyers', 'why are linguistic nlp tools and knowledge representation important for lawyers']"
