Topic,Count,Name,Representation,Representative_Docs
-1,17,-1_application_administration_lead_fairness,"['application', 'administration', 'lead', 'fairness', 'impartiality', 'external', 'transparency', 'biases', 'justice', 'freedoms']","['principle of transparency impartiality and fairness the principle of transparency impartiality and fairness refers to making data processing methods accessible and understandable and being able to authorize external audits', 'intended for the administration of justice have potentially significant impact on democracy rule of law individual freedoms as well as the right to an effective remedy and to fair trial and could lead to potential biases errors and opacity', 'where question listed in the assessment tool is only applicable to number of these application areas there is an explicit reference to the specific application areas concerned']"
0,27,0_rights_charter_discrimination_risks,"['rights', 'charter', 'discrimination', 'risks', 'security', 'process', 'trial', 'principles', 'ensuring', 'design']","['risk of misleading results this risk refers to the principle of the cepej charter namely principle of respect for fundamental rights with to the judges independence in their process', 'risk of grounds for the judgment this risk refers to the principle of the cepej charter namely principle of respect for fundamental rights with to the right of access to the judge and the right to fair trial', 'the cepej charter lays out five key principles that should be respected in the design and use of artificial intelligence by the judiciary principle of respect for fundamental rights ensuring that the design and implementation of tools and services are compatible with fundamental rights principle of specifically preventing the development or intensification of any discrimination between individuals or groups of individuals principle of quality and security with to the processing of judicial decisions and data using certified sources and intangible data with models elaborated in disciplinary manner in secure technological environment principle of transparency impartiality and fairness making data processing methods accessible and understandable authorising external audits under user control principle precluding prescriptive approach and ensuring that users are informed actors and in control of the choices made']"
1,22,1_deploying_documentation_guide_equality,"['deploying', 'documentation', 'guide', 'equality', 'infringe', 'awareness', 'training', 'provided', 'trial', 'interactive']","['yes no if your answer is yes you should reconsider deploying this', 'yes no if your answer is no you should reconsider deploying this', 'if your answer is no you should reconsider deploying this']"
2,21,2_profiling_exclusion_judges_judicial,"['profiling', 'exclusion', 'judges', 'judicial', 'anonymization', 'search', 'jurors', 'criteria', 'procedures', 'judiciary']","['is the likely to enable or facilitate the profiling of parties in lawsuit', 'anonymization of data related to juror exclusion of search criteria facilitating such profiling other', 'anonymization of data related to judge anonymization of data related to court and its members exclusion of search criteria facilitating such profiling other']"
3,18,3_measures_mitigation_management_space,"['measures', 'mitigation', 'management', 'space', 'implemented', 'mechanisms', 'procedures', 'emerge', 'benefits', 'topics']","['if yes which risk mitigation or management measures are envisaged', 'if yes which risk mitigation or management measures are envisaged', 'yes no if your answer is yes please describe mitigation or management measures implemented in the space below']"
4,16,4_charter_ethical_assessment_principles,"['charter', 'ethical', 'assessment', 'principles', 'judicial', 'operationalisation', 'compliance', 'designing', 'rights', 'judiciary']","['introduction in the european commission for the efficiency of justice hereafter cepej adopted its european ethical charter on the use of artificial intelligence in judicial and their environment hereafter the cepej charter', 'cepej assessment tool for the operationalisation of the european ethical charter on the use of artificial intelligence in judicial systems and their december cepej ropean commission for the efficicy of justice cepej assessment tool for the operationalisation of the european ethical charter on the use of artificial intelligence in judicial systems and their environment document adopted by the cepej at its plenary meeting december cepej council of europe', 'would benefit from more practical guidance on how to apply the five principles laid down in the cepej charter therefore detailed operationalisation of the principles was deemed as result the present assessment tool for operationalisation of the european ethical charter on the use of artificial intelligence in judicial systems and their environment hereafter the in the working group on quality of justice took decision to move forward with designing an appropriate support tool to put the cepej charter into practice in consultation with the working group on cyberjustice and artificial intelligence and within the mandate of the artificial intelligence advisory board ab recently set up to support the cepej on the technical aspects of']"
5,15,5____,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['yes no', 'yes no', 'yes no']"
6,14,6_risk_training_influence_context,"['risk', 'training', 'influence', 'context', 'example', 'misleading', 'generative', 'hallucinations', 'methodology', 'presenting']","['it is caused by failure to take into account the purpose of data processing and by the unsuitability of the trained model for other purposes or in different context notably in another legal', 'this risk can also be seen in the influence of the first training context on the reuse context which can imply for example the influence of one legal culture on another through the', 'the risk of misleading results can be caused by falsely presenting results as certain or with high percentages of rability and also the hallucinations of generative']"
7,14,7_audit_reinforcement_auditable_conducted,"['audit', 'reinforcement', 'auditable', 'conducted', 'code', 'trained', 'models', 'testing', 'annotations', 'oversight']","['are the data used to train the model auditable', 'source code audit model explanation audit data audit testing of the results by slightly changing prompt or parameter audit other', 'yes no if your answer is no please specify the sources of or not certified data used to train the model including user or data in case of reinforcement of the model and explain why these data are important']"
8,13,8_online_automated_outcomes_litigation,"['online', 'automated', 'outcomes', 'litigation', 'court', 'application', 'proceedings', 'search', 'document', 'justice']","['applicable only to document search review and discovery automated online dispute resolution prediction of litigation outcomes decision support and and natural language processing areas of application is the likely to provide an advantage data processing during witness interviews to its user in legal proceedings', 'document search review and discovery automated online dispute resolution prediction of litigation outcomes decision support and anonymization triaging allocation and workflow automation natural language processing services', 'the areas of application concerned by the assessment tool are those listed in the resource centre on cyberjustice and of the document search review and discovery these solutions create searchable collection of descriptions legal text and other insights to be shared with legal experts for further analysis and discovery on high volumes of electronic documents automated online dispute resolution these solutions cover technologies used for the resolution of disputes between parties with limited human intervention which can be achieved through hardware software prediction of litigation outcomes these solutions learn from large datasets to identify patterns in the data that are consequently used to visualize simulate or predict new litigation outcomes decision support and these solutions facilitate or fully automate decision making processes in the justice anonymization these solutions are used for removing identifying such as personal data of court users these technological solutions facilitate access to justice by establishing digital channel that enables the interaction and exchange of data and between courts and court users triaging allocation and workflow automation these solutions are used to facilitate or complete some tasks and activities during the lifecycle of the proceedings within the case management system minimising the need for human input']"
