Topic,Count,Name,Representation,Representative_Docs
-1,219,-1_public_protected_copyright_rights,"['public', 'protected', 'copyright', 'rights', 'content', 'framework', 'laws', 'cases', 'communication', 'compensation']","['concerning the exclusive right of communication to the public copyright holder retains the right to authorise or prohibit communication of the work via outputs especially if it reaches new public that was not originally intended to access the work', 'the right of reproduction is the exclusive right of an author to authorise the reproduction of content hence it is an essential concept in discussion of copyright and over time its scope was broadened to include various forms of digital copying making it ever more challenging for any online operator to ignore the obligation to obtain the copyright holders consent to use their works in any form of digital activities', 'christophe geiger vincenzo iaia the forgotten creator towards statutory remuneration right for machine learning of generative computer law security review volume from data to gerative processors would typically rely on legitimate as the legal basis for the data thus the lawfulness for data processing with to the input of gen requires balancing of legitimate interests lie both in the economic interests of the providers and in the public broader interest in accessing whether balancing of interests can serve as valid basis depends among other factors on the extent of the data processed and whether this goes beyond the that user would typically access on the internet']"
0,44,0_cdsm_dir_exceptions_purposes,"['cdsm', 'dir', 'exceptions', 'purposes', 'infosoc', 'reserve', 'terms', 'ocr', 'optical', 'extractions']","['tdm is permitted if the use of works has not been expressly reserved by their rights holders in an appropriate manner such as means in the case of content made publicly available depending on whether the content was publicly available online or not rightsholders should either reserve their rights using means including and terms and conditions of website or service or use contractual agreements such as unilateral declaration recital of the cdsm dir', 'the tdm exception introduced in article of the cdsm directive the article tdm exception is statutory authorisation to reproduce lawfully accessed copyrighted materials to perform tdm activities for commercial purposes unless right holders reserve the use of their works in an appropriate manner', 'tdm exception of the cdsm dir']"
1,43,1_copyright_creativity_copyrightability_authorship,"['copyright', 'creativity', 'copyrightability', 'authorship', 'office', 'influence', 'creators', 'engineer', 'productions', 'copyrightable']","['this ruling was upheld by district court judge beryl howell emphasising that works created solely by do not meet the necessary criteria for copyright protection other productions can result from more complex interactions and entanglements between genand human input and in practice it can be difficult to identify whether the threshold of human creativity or free and creative choice necessary for originality in the copyright sense has been met', 'in sum this approach appears to still give significant weight to the role of human creativity and the emerging role of the prompt engineer recognising that human input and influence over final product will still influence whether an generated work is echoes the way photographers were recognised authorship of copyrighted photos when cameras first emerged as creative medium', 'regarding the copyrightability of works report from the copyright office indicates that work may be copyrightable if it involves creative contributions from human user such as the level of instruction provided or the selection of generated outputs that reflect creative choices']"
2,35,2_consent_appi_transfer_processing,"['consent', 'appi', 'transfer', 'processing', 'subjects', 'gdpr', 'form', 'foreign', 'transferring', 'withdrawn']","['data protection under the appi the use of personal also sensitive personal generally requires the consent of the data subjects', 'data protection gdpr requires legal basis for the processing of the personal data consent legitimate interest', 'data subjects have the right to withdraw their consent at any this withdrawal must be as easy as it was to give consent once consent is withdrawn the data controller must cease processing the data that was on that consent unless there is another legal basis for the processing']"
3,33,3_japanese_copyright_tdm_cultural,"['japanese', 'copyright', 'tdm', 'cultural', 'subcommittee', 'amendment', 'strategic', 'concepts', 'limitations', 'remuneration']","['although the question was hotly debated during the early days of photography over time the creative choices behind the medium came to be widely recognised as deserving of copyright second the overview clarifies that if creative intention can be identified in person using as tool to creatively express thoughts or sentiments such material can be work and the use of the the author in the meaning of copyright right of remuneration contrary to the position suggested in the intellectual property strategy the japanese government explains in the report that even commercial uses of text and data mining tdm should not automatically be subject to exclusive rights or remuneration rights', 'ii the japanese tdm exception the japanese tdm exception is located under article ii of the japanese copyright law', 'according to japanese copyright office interpreting document titled general understanding on and copyright in japan overview the overview published in may enjoyment under the article refers to the act of obtaining the benefit of having the viewer intellectual and emotional needs satisfied through using the copyrighted therefore when work is used for text and data mining permission from the copyright holder is required if the use also involves purpose of enjoyment of the this requirement is controversial and some uncertainty remains as to how japanese courts will enforce it in practice especially in relation to cases where the use of works could be some acts of training could be for enjoyment and some could not which could lead to selective application of the exception for certain fragments of the act of exploitation']"
4,33,4_moral_integrity_attribution_author,"['moral', 'integrity', 'attribution', 'author', 'exploitation', 'creators', 'copyright', 'reputational', 'vara', 'authorship']","['moral rights persist integrity attribution', 'copyright at least in the continental european tradition of author rights also includes moral rights such as the right to claim authorship and the right to integrity', 'the rights falling within the author moral rights where they exist moral rights particularly the rights to attribution paternity and the protection of the integrity of work safeguard the personal and reputational interests of human creators']"
5,31,5_copyrighted_infringement_unlicensed_uses,"['copyrighted', 'infringement', 'unlicensed', 'uses', 'teaching', 'google', 'innovation', 'digitisation', 'applicability', 'judicial']","['whether this constitutes infringement depends on the fair use doctrine which allows some unlicensed uses of copyrighted works for purposes like research and education', 'the office further estimates that whether this constitutes copyright infringement will generally be determined by considering the applicability of the fair use doctrine which is defence for use of copyright works that promotes freedom of expression by permitting the unlicensed use of works in certain circumstances for example news reporting teaching etc', 'whether this reproduction constitutes copyright infringement depends on the fair use doctrine which allows unlicensed use of copyrighted works under certain conditions such as for teaching or news reporting']"
6,31,6_consumer_ccpa_vcdpa_california,"['consumer', 'ccpa', 'vcdpa', 'california', 'disclosure', 'cpra', 'restricted', 'lawfully', 'laws', 'violation']","['right to the ccpa and vcdpa require businesses that collect or use consumers personal data to inform consumers about the kinds of personal data being collected the reasons for collecting it and details about any sharing of that data with third additionally the ccpa contains right to consumer has the right to request that business collecting personal disclose the categories of personal collected the sources from which the is gathered the business or commercial purpose for collecting selling or sharing the the categories of third parties to whom the business discloses personal and the specific pieces of personal it has collected about that the business is obliged to provide the specific pieces of personal obtained from the consumer in format that is easily understandable to the average consumer and to the extent technically feasible in structured commonly used format that may also be transmitted to another entity at the consumer request without iv right to correct inaccurate personal the ccpa as well as other state also contains right to consumer has the right to request business that maintains inaccurate personal about the consumer to correct that inaccurate personal taking into account the nature of the personal and the purposes of the processing of the personal business is obliged to correct inaccurate cal', 'similarly the vcdpa contains right to data portability ing the data that the consumer has provided to the vi right to limit the of sensitive personal the california privacy rights act cpra led to completely new data right in california namely the consumers right to limit use and disclosure of sensitive personal consumer shall have the right at any time to direct business that collects sensitive personal about the consumer to limit its use of the consumer sensitive personal to that use which is necessary to perform the services or provide the goods reasonably expected by an average consumer who requests those goods or services to perform the services and as authorised by similar rights are provided by vcdpa and the colorado privacy business that has received direction from consumer not to use or disclose the consumer sensitive personal from using or disclosing the consumer sensitive personal for any other purpose after its receipt of the consumer direction unless the consumer subsequently provides consent for the use or disclosure of the consumer sensitive personal for', 'from data to gerative the consumer has disclosed the unless the consumer has restricted the to specific audience personal information does not include publicly available or lawfully obtained truthful that is matter of public thus the ccpa excludes personal from its scope of application that business has reasonable basis to beve is lawfully made available to the general public by the consumer or from widely distributed media or made available by person to whom the consumer has disclosed the if the consumer has not restricted the to specific data scraping that concerns such data would be within the scope of both the ccpa and vcdpa even though it has been stated that it can be difficult to determine whether personal data published to the general public by third party was originally restricted to specific when processing personal data the ccpa and the vcdpa primarily rely on obligations and the consumer ability to opt out of data sharing or disclosure to third parties to protect personal they require businesses to inform consumers of plans to collect and use personal for gen purposes prior to data collection']"
7,30,7_principle_party_profits_economic,"['principle', 'party', 'profits', 'economic', 'granting', 'public', 'rights', 'interests', 'balancing', 'service']","['according to the principles this is the case when party contribution to the generation of the data was particularly unique or on an extraordinary investment and the denial of participating in the profits would be inconsistent with doctrines such as unjust enrichment because the profits were exceptionally high and the party seeking the economic share could not efficiently bargain see principle', 'principles the principles for data economy set out factors to be taken into account in determining whether and to what extent data is to be treated as in the priority in its principle the extent to which that party is the subject of the coded in the data or is the owner or operator of an asset that is the subject of that the principles for data economy available via', 'the principles assert individuals who play role in generating data whether through active participation passive observation or even unintentional capture the data rights the right to be provided access to data by means that may in appropriate circumstances include porting the data principle the right requiring the controller to desist from data activities principle the right requiring the controller to correct incorrect or incomplete data principle the right to receive an economic share in profits derived from the use of data principle']"
8,30,8_copyright_ip_protected_database,"['copyright', 'ip', 'protected', 'database', 'pirated', 'grant', 'fulfilment', 'scraping', 'companies', 'licence']","['it dispenses the need to obtain consent from copyright holders for exploitation for using the work in data analysis meaning the extraction comparison classification or other statistical analysis of language sound or image data or other elements of which large number of works or large volume of data is composed provided that the exploitation is aimed neither at enjoying nor causing another person to enjoy the work', 'this omission could potentially allow for the use of pirated content to train the agency for cultural affairs clarified in its report that knowingly collecting data from site hosting pirated content increases the risk that developers or service providers could be held liable for infringement as it would breach their general duty of care', 'copyright and data according to data science data proceeds by abstracting the world into categories measures and other representational forms numbers characters symbols images sounds electromagnetic waves bits that constitute the building blocks from which and knowledge are created data is always framed by the instruments practices contexts used to generate select represent and analyse them for example the celsius or fahrenheit grading for temperatures']"
9,29,9_art_furthermore__,"['art', 'furthermore', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['art', 'art', 'art']"
10,26,10_gdpr_sentence_recital_alongside,"['gdpr', 'sentence', 'recital', 'alongside', 'given', 'significant', 'role', 'applies', 'art', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['gdpr', 'gdpr', 'gdpr']"
11,25,11_générative_strowel_françois_larcier,"['générative', 'strowel', 'françois', 'larcier', 'juristes', 'alain', 'artificielle', 'senftleben', 'martin', 'consumer']","['para', 'para', 'para']"
12,24,12_audio_video_outputs_copyright,"['audio', 'video', 'outputs', 'copyright', 'images', 'form', 'communication', 'model', 'training', 'ministry']","['works is defined as new outputs of gen models in the form of data or content such as text image audio or video', 'copyright office refers to gen as an application of used to generate outputs in the form of expressive material such as text images audio or video', 'for before the placing on the market model means an model including where such an model is trained with large amount of data using at scale that displays significant generality and is capable of competently performing wide range of distinct tasks less of the way the model is placed on the market and that can be integrated into variety of downstream or applications except models that are used for research development or prototyping activities before they are placed on the market shorter definition focusing on the output is used by the japanese ministry of internal affairs and communications and the ministry of economy trade and generative general term representing developed from an model that can generate texts images programs we do not aim at establishing separate definition of gen but rather to work within the framework of existing definitions']"
13,22,13_input_output_rights_model,"['input', 'output', 'rights', 'model', 'purview', 'commands', 'minors', 'assess', 'similarities', 'individuals']","['the rights also apply to the output of gen models if the model is able to remember the input', 'these rights also apply to the output of gen models if the model is able to remember the input', 'rights in input and output']"
14,22,14_reproduction_phase_training_tdm,"['reproduction', 'phase', 'training', 'tdm', 'output', 'autonomous', 'completion', 'inapplicability', 'analogue', 'temporary']","['under japanese law the right of reproduction is defined as an exclusive right of the individuals have right to oppose the reproduction of their works unless the tdm exception applies', 'output of gen copyright right of reproduction at the output level rightholders retain their right of reproduction in the same way as under the training phase', 'the right of reproduction at the training level right of reproduction']"
15,20,15_civ_preprint_arxiv_,"['civ', 'preprint', 'arxiv', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['civ', 'civ', 'civ']"
16,19,16_code_ann_given_,"['code', 'ann', 'given', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['code ann', 'code ann', 'code ann']"
17,17,17_ip_property_intellectual_innovation,"['ip', 'property', 'intellectual', 'innovation', 'cybersecurity', 'liability', 'competitiveness', 'development', 'entrepreneurship', 'lawmakers']","['generative in law liability privacy intellectual property and cybersecurity march available via', 'generative in law liability privacy intellectual property and cybersecurity march available via', 'the japanese reform was first initiated by an ip strategy in which quite early on aimed at promoting intellectual property innovation for the industrial revolution by constructing next generation ip system adapted to digitization and the intervention significantly emphasises the fair balance between intellectual property and competitiveness as well as the need to redefine an intellectual property in line with innovation goals']"
18,16,18_copyrighted_trademark_patent_similar,"['copyrighted', 'trademark', 'patent', 'similar', 'cases', 'challenges', 'creators', 'trained', 'labelling', 'algorithms']","['this provision applies to training acts of gen very recently the patent and trademark office described the process of training as one that will almost by definition involve the reproduction of entire works or substantial portions thereof', 'past court cases like the google books case found transformative uses of copyrighted works to be fair use but the use of copyrighted content for training tools may present more challenges to the economic value of generated outputs and the substitution effect the output appearing as good substitute for the works used for training', 'notably the patent and trademark office which issued public communication on and ip challenges has noted that training involves reproducing significant portions of copyrighted works']"
19,16,19_ibid_intell_journal_ecli,"['ibid', 'intell', 'journal', 'ecli', 'meti', 'luxembourg', 'communications', 'industry', 'economy', 'business']","['ibid', 'ibid', 'ibid']"
20,15,20_times_litigation_economic_ongoing,"['times', 'litigation', 'economic', 'ongoing', 'agreements', 'players', 'negotiations', 'competition', 'discussions', 'studies']","['right to remuneration in addition to the ongoing litigation in the judicial landscape many of the same large defendants and gen operators are also entering into series of agreements with major content providers to gain access to their content and data to train open has signed licensing agreements with associated press the springer group le monde news corp the wall street journal the sun etc', 'in litigation involving open and the new york times the latter has argued that open outputs display times content by reproducing memorised copies or derivatives of its works', 'in the ongoing litigation between open and the new york times the times submitted only twice in its court arguments that part of the generated output provided by open product display times content by showing memorised copies or derivatives of times work retrieved from the models and by showing synthetic search results that are substantially similar to times the ongoing debate in gen more generally involves discussions around the right of reproduction but the right of public display could still be']"
21,15,21_remuneration_levy_collective_management,"['remuneration', 'levy', 'collective', 'management', 'compensation', 'mandate', 'payment', 'proportionate', 'incentivised', 'streaming']","['it would suffice that the tool to be subject to the remuneration can not produce results that resemble human literary and artistic works unless it has had the opportunity to analyse human the levy would be uniformly applied to all providers of gen tools', 'it would consist of levy on gen rather than be on their the generation of an output would suffice to serve as reference and to trigger the obligation to pay remuneration', 'this levy would be uniformly applied and managed through collective management society ensuring that creators receive compensation on an abstract assessment of the potential to replace works data protection']"
22,14,22_cal___,"['cal', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['cal', 'cal', 'cal']"
23,14,23_iot_facts_car_access,"['iot', 'facts', 'car', 'access', 'service', 'codifying', 'manufacturers', 'passengers', 'traffic', 'recognises']","['according to articles and users of internet of things iot products or related services shall have the right to access and use data generated by the use of an iot product or related service and to share the data with third parties', 'indeed several pieces of legislation adopted since contain definition of data data means any digital representation of acts facts or and any compilation of such acts facts or including in the form of sound visual or audiovisual recording art', 'furthermore the literature on data generated by connected cars an example of iot product suggests that the generation of data resulting from their use could raise issues of data access and data sharing with to its various stakeholders car owners drivers and passengers other traffic participants manufacturers service providers as well as car dealers and']"
24,14,24_art_processing_value_interests,"['art', 'processing', 'value', 'interests', 'editing', 'investigate', 'prosecute', 'semantics', 'wrongfulness', 'contributors']","['this obligation shall not apply to the extent the perform an assistive function for standard editing or do not substantially alter the input data provided by the deployer or the semantics thereof or where authorised by law to detect prevent investigate or prosecute criminal ii', 'act and it was even doubted that the latter provision will now bring any added value at all compared to art', 'act and it was even doubted that the latter provision will now bring any added value at all compared to art']"
25,13,25_west_code_ann_notification,"['west', 'code', 'ann', 'notification', 'requiring', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['code west', 'code west', 'code west']"
26,12,26_task_frameworks_views_exceptions,"['task', 'frameworks', 'views', 'exceptions', 'impact', 'discussions', 'challenges', 'strike', 'alignment', 'scrutiny']","['aim of this study the aim of this study is first to review the legal frameworks applying to scenarios considering at least of data as such of models and of content', 'in sum the views on this issue are diverse reflecting the need to cautiously strike over time and on basis the complex balance between protecting creators interests and accommodating advances in', 'the of models does not seem to involve similar legal issues at least if the development of an model is narrowly defined as covering steps such as structuring the problem classification task regression task etc']"
27,12,27_content_tool_input_trained,"['content', 'tool', 'input', 'trained', 'analysed', 'differentiate', 'hyperparameters', 'validation', 'semantic', 'standards']","['this is also because some models are able to remember certain data or content they have been trained in these scenarios it would mean that it is not possible to differentiate between the model and the data or content it was trained with and thus together with the training data and content the model is part of the input', 'the input phase covers every occurrence where data or content is fed into model to train it or predict the output it thus includes the training and validation data as well as the data provided later by the user of the tool such as the prompts and the data available online the tool is using in real time for generating the output', 'it is not possible or useful to distinguish between data and content as content used to train an tool input or produced by the tool output could include data and in reverse order the data used for training or produced as output could include protected content']"
28,11,28_prminary_remarks_protection_ruschemeier,"['prminary', 'remarks', 'protection', 'ruschemeier', 'unified', 'lacks', 'explanation', 'seq', 'framework', 'gerative']","['data protection prminary remarks', 'data protection prminary remarks', 'data protection prminary remarks']"
29,11,29_discussed_memorandum_interacting_physical,"['discussed', 'memorandum', 'interacting', 'physical', 'refinements', 'explanatory', 'expect', 'environments', 'consultation', 'amended']","['in this respect reference can generally be made to the above explanations', 'in this respect reference can generally be made to the above explanations', 'the explanatory memorandum on the updated oecd definition of an proposes the an is that for explicit or implicit objectives infers from the input it receives how to generate outputs such as predictions content recommendations or decisions that can influence physical or virtual environments']"
30,11,30_chatgpt_edpb_models_language,"['chatgpt', 'edpb', 'models', 'language', 'class', 'memorization', 'chen', 'ganguli', 'interface', 'predictability']","['edpb report of the work undertaken by the chatgpt taskforce may mn', 'edpb report of the work undertaken by the chatgpt taskforce may mn', 'edpb report of the work undertaken by the chatgpt taskforce may mn']"
31,11,31_erasure_processors_lead_models,"['erasure', 'processors', 'lead', 'models', 'restriction', 'resources', 'retrained', 'erase', 'wrongfully', 'sustainability']","['when it comes to the right to erasure it is still under discussion whether this right should lead to the erasure of the input used for training the model with the consequence that the model would have to be partly retrained', 'ii right to erasure the data subject is entitled to erasure in case of wrongful data processing under article gdpr', 'from data to gerative the request for poses major challenges for processors if the model can remember trained data or if the trained personal data can be extracted or inferred from the deleting the model raises concerns about balancing individual rights with the broader societal benefits of technologies as well as with aspects of environmental sustainability to the resources used to train these models especially because it remains unclear how processors should fully comply with the right to erasure in these right to irrespective of the lawfulness of the data processing the data subjects always have to be informed on the processing of their personal data']"
32,11,32_portability_relevance_guidnes_enable,"['portability', 'relevance', 'guidnes', 'enable', 'interoperability', 'embedded', 'scope', 'licensed', 'introduces', 'devices']","['from data to gerative vi right to data portability data subjects may also assert their right to data portability under art', 'the right to data portability in art', 'see working party guidnes on the right to data portability wp ff available via de the right to data portability in the gdpr towards interoperability of digital services computer law security review et seq']"
