Topic,Count,Name,Representation,Representative_Docs
-1,49,-1_algorithmic_design_judicial_judiciary,"['algorithmic', 'design', 'judicial', 'judiciary', 'process', 'audits', 'tools', 'principles', 'authenticity', 'auditability']","['conduct algorithmic audits and impact evaluations after deploying to that end the judiciary should explore the creation of guidnes for monitoring auditing and evaluating in the judicial the assessments should assess whether these comply with regulations or more targeted issues such as bias fairness transparency explainability security or they can also evaluate the effects of the on users affected populations and society', 'for example the european union act classifies as high risk those that are intended to be used by judicial authority or on their behalf to assist judicial authority in researching and interpreting facts and the law and in applying the law to concrete set of facts or to be used in similar way in alternative dispute resolution this classification triggers obligations for the deployers of these such as implementing risk management and ensuring human oversight of the additionally integrated into processes may have cascading effects on the whole judicial', 'ensure the developer or provider of the agrees to allow and collaborate with algorithmic audits carried out by the organisation or independent and external if the was developed internally facilitate the development of internal capacity to monitor and audit the tool with external guidance if needed for example by establishing mechanisms that facilitate the suitability such as ensuring traceability and logging of the processes and the judiciary should consider the role of civil society and independent auditors particularly in cases where tools can generate high risks of undermining fundamental rights']"
0,31,0_judiciary_organisations_guidance_benefits,"['judiciary', 'organisations', 'guidance', 'benefits', 'deployment', 'training', 'types', 'curriculum', 'governance', 'assess']","['specific guidance for individual members of the judiciary', 'specific guidance for individual members of the judiciary the recommendations of this section are for individuals who are part of the judiciary including magistrates judges justices prosecutors judicial officers and judicial support staff who intend to deploy and use the recommendations are divided in three categories figure no', 'types of recommendations for the deployment and use of by the individual members of the judiciary']"
1,26,1_prompts_models_accuracy_inputs,"['prompts', 'models', 'accuracy', 'inputs', 'verify', 'bsi', 'rability', 'code', 'deployment', 'adoption']","['language models lms generative models that process textual inputs known as prompts and generate text outputs on them', 'do not include personal data or confidential in prompts when using external generative be aware that any that you input into public chatbot as part of the prompt should be treated as being made available to everyone among others because the terms of service of most of the companies that provide free access to these indicate that the inputs will be used to train future', 'for example when the terms of use of generative tool indicate that the provider will use the user prompts to train its models or that third parties can access these prompts then the use of such tool should be prohibited or restricted to prevent that the judiciary loses control of who can access confidential or personal data']"
2,25,2_court_guidnes_courts_judicial,"['court', 'guidnes', 'courts', 'judicial', 'justice', 'ethics', 'derecho', 'proceedings', 'compliance', 'judicatura']","['similarly the federal court of canada issued principles and guidnes on the court use of artificial intelligence and notice to parties litigants and interveners on the use of in court proceedings', 'likewise the supreme court of singapore in september issued its guide on the use of generative artificial intelligence tools by court users that applies to court users any person who is involved in court case including prosecutors lawyers persons or witnesses in all matters in the supreme court the state courts and the family justice courts', 'for guidnes and policies issued by the bodies that govern the judiciary and by courts see uk courts and tribunals judiciary artificial intelligence guidance for judicial office holders united kingdom december conselho nacional de justiça dispõe sobre ética transparência governança na produção no uso de intgência artificial no poder judiciário dá outras providências conselho nacional de justiça cnj august courts of new zealand guidnes for use of generative artificial intelligence in courts and tribunals new zealand december federal court interim principles and guidnes on the court use of artificial intelligence federal court december federal court notice to the parties and the profession the use of artificial intelligence in court proceedings federal court may updated queensland courts the use of generative artificial intelligence guidnes for responsible use by may supreme court of victoria guidnes for litigants responsible use of artificial intelligence in litigation supreme court of victoria may canadian judicial council guidnes for the use of artificial intelligence in canadian courts canadian judicial council september supreme court of the state of delaware interim policy on the use of gen by judicial officers and court personnel supreme court of the state of delaware october supreme court of the republic of singapore guide on the use of generative artificial intelligence tools by court users supreme court of the republic of singapore september consejo superior de la judicatura lineamientos para el uso aprovechamiento respetuoso responsable seguro ético de la intgencia artificial en la rama judicial consejo superior de la judicatura de diciembre de conselho nacional de justiça cnj resolução de de março de']"
3,24,3_ethics_unesco_ethical_assessment,"['ethics', 'unesco', 'ethical', 'assessment', 'handbook', 'transparency', 'accountability', 'cultural', 'explainability', 'governance']","['for an explanation of the principle of transparency and explainability refer to section of unesco recommendation on the ethics of artificial intelligence', 'for an explanation of the principle of transparency and explainability refer to section of unesco recommendation on the ethics of artificial intelligence', 'for an explanation of the principle of fairness and refer to section of unesco recommendation on the ethics of artificial intelligence']"
4,23,4_guidnes_principles_applications_bangalore,"['guidnes', 'principles', 'applications', 'bangalore', 'protocols', 'judiciary', 'organisations', 'published', 'courts', 'standards']","['the bangalore principles propose the applications of the principle of equality that are pertinent for this guidnes', 'the bangalore principles propose the applications of the principle of impartiality that are pertinent for this guidnes', 'the bangalore principles propose the applications of the principle of judicial independence that are pertinent for this guidnes']"
5,23,5_rights_assessments_applications_justice,"['rights', 'assessments', 'applications', 'justice', 'discrimination', 'reports', 'authorities', 'sustainable', 'violations', 'groups']","['un human rights in the administration of justice report of the', 'see also un human rights in the administration of justice report of the', 'the judiciary should refrain from adopting that have the potential to adversely impact human civil rights by perpetuating discriminatory outcomes and other in the same vein as recommended by the report of the un human rights in the administration of justice the judiciary should refrain from or cease from using tools that are impossible to operate in compliance with international human rights law and these include predictive applications in judicial decisions in criminal cases and in recidivism risk assessments for bail and parole decisions unless and until the responsible authorities can demonstrate that such applications are in compliance with the right to fair trial including an independent judiciary and the rights to liberty and security discrimination freedom from torture and and privacy as well as other affected human rights and that the authorities have addressed the disproportionate negative impact that the use of these technologies can have on specific groups']"
6,21,6_guidnes_colombia_unesco_tribunals,"['guidnes', 'colombia', 'unesco', 'tribunals', 'constitutional', 'methodology', 'latina', 'derechos', 'published', 'andes']","['printed by unesco how to cite unesco guidnes for the use of systems in courts and tribunals may the guidnes have been developed as part of the european commission funded prect supporting member states in implementing unesco recommendation on the ethics of through innovative table of contents introduction objectives of the guidnes methodology guidnes for the use of in courts and tribunals', 'unesco draft guidnes for the use of in courts and draft guidnes for the use of systems in courts and tribunals may this is revised draft published after expert and open consultations', 'in the public consultation process of the draft guidnes between august and september unesco received individual feedback from individuals and organizations in argentina australia belgium brazil bulgaria cameroon canada colombia costa rica denmark dominican republic egypt el salvador france guatemala india ireland italy kenya lesotho liberia lithuania mexico nepal netherlands new zealand nigeria pakistan panama paraguay peru philippines poland senegal spain switzerland tanzania the netherlands united kingdom united states of america and yemen']"
7,21,7_proportionality_mitigate_organisation_measures,"['proportionality', 'mitigate', 'organisation', 'measures', 'necessity', 'management', 'intervention', 'objectives', 'deploying', 'impacts']","['the necessity proportionality and suitability of using an to perform tasks should be assessed and established from the outset and aligned with the objectives of the organization using the that protects human rights and the judiciary independence and autonomy', 'inform the organisation when there is suspicion of malfunctioning or potential or likely negative impacts and stop using the if you notice that it creates potential harm to human rights', 'furthermore establish processes for third parties suppliers consumers or workers to report potential vulnerabilities additionally the organisation that governs the judiciary should establish risk management that enables the organisation to identify detect monitor classify diagnose control prevent risks and mitigate harm']"
8,21,8_chatgpt_language_lexisnexis_weiser,"['chatgpt', 'language', 'lexisnexis', 'weiser', 'arbitration', 'software', 'lawyers', 'courts', 'cases', 'papers']","['to seek an end to court supervision the new york times december mark witten applying generative to law opportunities and risks queen law queen university october kieran the quiet revolution generative rise in canadian law firms myopencourt november nuria morcillo sentencias falsas leyes extranjeras filtrado de datos los riesgos de usar chatgpt se cuelan en los despachos de abogados el país february section economía sara merken lawyers in walmart lawsuit admit hallucinated case citations reuters february section legal industry sam harden you think lawyers would know by now team do something february kalliopi terzidou generative systems in legal practice offering quality legal services while upholding legal ethics international journal of law in context pp', 'adams parker forsyth no lessons for using for legal research michalsons july robert ambrogi four months after launching its homegrown gen tool law firm gunderson dettmer reports on results so far new features and surprise on cost lawsites december francesca bennetts and others responsible navigating the risks and embracing the possibilities allen overy november possibilities juan david gutiérrez judges and magistrates in peru and mexico have chatgpt fever tech policy press april juan david gutiérrez chatgpt in colombian courts why we need to have conversation about the digital literacy of the judiciary verfblog february juan david gutiérrez technologies in the judiciary critical appraisal of large language models in judicial in handbook on public policy and ed', 'for guidnes and recommendations issued by universities law societies bar associations and professional associations see bell and others and the courts guide for judges tribunal members and court administrators james baker laurie hobart and mathew mittelsteadt for judges framework center for security and emerging technology december juan corvalán and mariana sánchez caparrós guía de directrices para el uso de chatgpt ia generativa de texto en la justicia uba ialab november fédération des barreaux europe european lawyers in the era of chatgpt guidnes on how lawyers should take advantage of the opportunities offered by large language models and generative new technologies commission of the european bars association july the state bar of california recommendations from committee on professional responsibility and conduct on regulation of use of generative by licensees november the bar council considerations when using chatgpt and generative artificial intelligence software based on large language models january software queensland law society guidance statement no artificial intelligence in legal practice june new south wales bar association issues arising from the use of language models including chatgpt in legal practice july ciarb guidne on the use of in arbitration the chartered institute of arbitrators ciarb march']"
