Topic,Count,Name,Representation,Representative_Docs
-1,330,-1_innovation_services_development_funding,"['innovation', 'services', 'development', 'funding', 'children', 'social', 'ethics', 'procurement', 'ensuring', 'skills']","['the public sector can make strategic use of public procurement to foster responsible innovation as well as steering it towards tackling societal challenges and the development of trustworthy ai solutions', 'consider introducing legal age at which children receive clean data slate of any public or private storage of data related to them as for ai systems deployed by the private that have the potential to have significant impact on human lives for example by interfering with an individual fundamental rights at any stage of the ai system life and for applications consider the need to introduce mandatory obligation to conduct trustworthy ai assessment including fundamental rights impact assessment which also covers for example the rights of children the rights of individuals in relation to the state and the rights of persons with and stakeholder consultation including consultation with relevant authorities traceability auditability and oversight requirements and an obligation to ensure appropriate by default and by design procedures to enable effective and immediate redress in case of mistakes harms other rights infringement', 'encourage research and development on the impact of ai on individuals and society including the impact on jobs and work social systems and structures equality democracy fundamental rights the rule of law human intelligence the development of cognitive skills of children']"
0,44,0_access_interoperability_datasets_trusts,"['access', 'interoperability', 'datasets', 'trusts', 'industrial', 'property', 'share', 'requirements', 'copyright', 'cases']","['develop legally compliant and ethical data management and sharing initiatives in europe', 'support research on and development of industrial solutions for fast secure and legally compliant industry data sharing', 'whole set of policy actions are needed for european organisations to generate societal benefits and succeeding in global competition including provisions for data access data sharing use of data of data and data interoperability all the while ensuring high privacy and data protection standards for individuals']"
1,39,1_guidelines_ethics_trustworthy_rights,"['guidelines', 'ethics', 'trustworthy', 'rights', 'lawful', 'framework', 'consultation', 'safeguard', 'democracy', 'governments']","['the political institutions and the ai industry urgently need such experts for newly emerging technology legal ethical and social issues focusing in particular on the framework for trustworthy ai put forward in the ethics guidelines', 'to support the implementation of this vision the commission established the expert group on artificial intelligence ai hleg an independent group mandated with the drafting of two deliverables set of ai ethics guidelines and set of policy and investment in our first deliverable the ethics guidelines for trustworthy published on april ethics guidelines we stated that ai systems need to be with the goal of improving individual and societal and worthy of our trust', 'on april we published our ethics guidelines that set out three components for trustworthy ai lawful ai ethical ai and robust ai']"
2,36,2_investment_market_adjustment_kpmg,"['investment', 'market', 'adjustment', 'kpmg', 'venture', 'egf', 'globalisation', 'funding', 'investors', 'investeu']","['europe lucrative investment environment is the sum of number of enabling elements from its labour and immigration regime to the legal certainty created through its regulation that as an aggregate can provide the necessary level of attraction to bring in investors', 'in the current context of global trade uncertainties and protectionist actions by other world regions it is essential that the eu remains champion of free trade and investment in the world while taking decisive action to counter unfair practices by third kpmg venture pulse', 'monitor changes in labour markets and make the european social fund and the european globalisation adjustment fund egf more responsive by dedicating more programmes to strategies and making egf intervention more preventive and less for more information see']"
3,32,3_digital_skills_educators_literacy,"['digital', 'skills', 'educators', 'literacy', 'competences', 'prepare', 'forms', 'courses', 'competence', 'vocational']","['thus education systems have to prepare people not only with digital skills but also by strengthening people skills', 'continuous learning activities and vocational education have to be supported to cope with the challenges of digital skills as well as the new social and behavioural skills needed in working environment', 'digcompedu is directed towards educators at all levels of education from early childhood to higher and adult education including general and vocational education and training special needs education and learning contexts']"
4,32,4_centres_excellence_laboratories_leadership,"['centres', 'excellence', 'laboratories', 'leadership', 'maintain', 'innovation', 'capabilities', 'researchers', 'funding', 'strategic']","['ensuring research capabilities europe must aim for scientific ai leadership by focusing the power of its faceted and distributed research excellence with several worldwide renowned centres of excellence to establish and demonstrate its intellectual and commercial leadership in ai', 'such initiatives need to involve and interdisciplinary expertise connect and further develop existing centres of excellence strengthen smaller research centres and laboratories to become centres of excellence and provide specialised infrastructure for ai', 'nurture and support europe ai research centres and laboratories through research funding to scale up to worldwide competition and help them strive to become centres of excellence']"
5,31,5_ecosystems_sector_companies_growth,"['ecosystems', 'sector', 'companies', 'growth', 'alliances', 'ecosystem', 'smes', 'partnerships', 'stakeholders', 'opportunities']","['together these can help giving shape to vibrant ai ecosystems on sectoral basis which can enable more granular and analysis of the specific needs challenges and opportunities to seize the benefits of ai within those respective sectors', 'these ecosystems are comprised of different stakeholders including companies of different types and sizes facing and subcontracting companies scale ups smes large companies but also research institutions bringing latest innovation from lab to market as well as the public sector both as market actor and as', 'set up partnerships to foster sectoral ai ecosystems europe public sector as catalyst of sustainable growth and innovation']"
6,30,6_investment_sector_climate_institutions,"['investment', 'sector', 'climate', 'institutions', 'leveraging', 'policy', 'institutional', 'trust', 'governance', 'enablers']","['establish governance mechanisms for single market for trustworthy ai in europe raising funding and investment', 'establish governance mechanisms for single market for trustworthy ai in europe', 'european institutions and member states together with the private sector must create lucrative funding and investment climate for trustworthy ai in europe']"
7,29,7_revision_enforcement_legislative_measures,"['revision', 'enforcement', 'legislative', 'measures', 'impacts', 'institutional', 'competences', 'harmonisation', 'instance', 'governance']","['in addition new legal measures and governance mechanisms may need to be put in place to ensure adequate protection from adverse impacts as well as enabling proper enforcement and oversight without stifling beneficial innovation', 'ensure proportionate and effective protection we recommend systematic evaluation of the extent to which existing institutional structures competences capacities resources investigation and enforcement powers arising under existing legislation are capable of adequately ensuring meaningful and effective monitoring and enforcement of legal standards in ways that provide proportionate and effective protection', 'consider whether existing institutional structures competences and capacities need revision to ensure proportionate and effective protection']"
8,27,8_talent_education_training_youth,"['talent', 'education', 'training', 'youth', 'researchers', 'develop', 'industry', 'partners', 'attract', 'competitive']","['europe also needs to attract develop and retain comprehensive talent pool of entrepreneurs and data analysts and to create beacon for talent', 'develop and retain talent in european higher education systems', 'develop and retain talent in european higher education systems']"
9,25,9_civil_funding_collaboration_projects,"['civil', 'funding', 'collaboration', 'projects', 'public', 'academia', 'researchers', 'organisations', 'interdisciplinary', 'sector']","['it is only by joining forces and bringing all relevant actors from civil society industry the public sector and research and academia around the table that we can make difference', 'collaboration with the public sector and civil society research and academia as well as with is essential for gaining such understanding and generating solutions to the benefit of all', 'establish mixed transfer labs mainly funded by industry providing specific research for the companies while also providing funding for open research and collaboration in the broader research area']"
10,25,10_information_ritter_pastor_springer,"['information', 'ritter', 'pastor', 'springer', 'timmermans', 'ibáñez', 'østergaard', 'corbett', 'hoisl', 'heidelberg']","['available at', 'these are available at', 'available at']"
11,22,11_cybersecurity_vulnerabilities_attacks_cyberattacks,"['cybersecurity', 'vulnerabilities', 'attacks', 'cyberattacks', 'policies', 'malware', 'protect', 'centric', 'cyber', 'rights']","['the ai specific cybersecurity policy should be formulated to be user centric systemic and anchored in open and pluralistic process', 'develop ai cybersecurity policies to protect users rights online', 'develop an infrastructure for cybersecurity building on the cybersecurity act adopted by the eu in spring to protect our networks data and users from risks']"
12,22,12_regulatory_enforcement_laws_oversight,"['regulatory', 'enforcement', 'laws', 'oversight', 'governance', 'consumer', 'provisions', 'sectors', 'applications', 'regulations']","['establish comprehensive strategy for member state cooperation for the enforcement of regulation relevant to ai through enforcement authorities such as data protection consumer and competition authorities ensuring that they cooperate across sectors systematically and apply eu regulations in consistent manner throughout different member states and that they have adequate and equally effective resources and enforcement tools in place', 'for civil and accountability rules in the context of laws in areas significantly affecting individuals consider whether for and fundamental applications it is necessary or desirable to introduce traceability and reporting requirements for ai applications to facilitate their auditability external oversight before ai systems can be deployed systematic monitoring and oversight by competent authorities on an ongoing basis and the obligation for meaningful human intervention and oversight when using ai decision in specific sectors', 'this includes providing opinions for the assessment of the intensity probability and unacceptability of created risks oversee politically defined targets for ai applications that can significantly impact individuals and society considering systemic effects both in terms of benefits and risks help standard setting organisations define target outcomes for trustworthy ai in particular in the context of cooperation on standards at the same time we acknowledge that there may be specific sectors where additional regulatory requirements apply compared to the future horizontal policy framework for ai in the eu sectors such as banking insurance and healthcare are already exposed to significant regulatory requirements that are likely to overlap with the emerging policy framework for ai']"
