Topic,Count,Name,Representation,Representative_Docs
-1,183,-1_university_freedom_processes_training,"['university', 'freedom', 'processes', 'training', 'organisation', 'data', 'accountability', 'ethical', 'development', 'standards']","['in fact freedom of the individual means commitment to enabling individuals to wield even higher control over their lives including among other rights protection of the freedom to conduct business the freedom of the arts and science freedom of expression the right to private life and privacy and freedom of it should be noted that commitment to ai and its anchoring in fundamental rights requires collective societal and constitutional foundations in which individual freedom and respect for human dignity is both practically possible and meaningful rather than implying an unduly individualistic account of the human', 'the below list of requirements is it includes systemic individual and societal aspects human agency and oversight including fundamental rights human agency and human oversight technical robustness and safety including resilience to attack and security fall back plan and general safety accuracy reliability and reproducibility privacy and data governance including respect for privacy quality and integrity of data and access to data transparency including traceability explainability and communication diversity and fairness including the avoidance of unfair bias accessibility and universal design and stakeholder participation societal and environmental wellbeing including sustainability and environmental friendliness social impact society and democracy accountability including auditability minimisation and reporting of negative impact and redress', 'this document was prepared by the members of the expert group on ai listed here below in alphabetical order pekka chair of the ai hleg ai finland huhtamaki sanoma pierre lucas orgalim europe technology industries wilhelm bauer fraunhofer ieva martinkenaite telenor urs bergmann zalando thomas metzinger jgu mainz european university association mária bieliková slovak university of technology in bratislava catelijne muller allai netherlands eesc cecilia digitaleurope markus noga sap yann bonnet anssi barry sullivan of the ai hleg university college cork loubna bouarfa okra ursula pachl beuc stéphan brunessaux airbus nicolas petit university of liège raja chatila ieee initiative ethics of systems sorbonne university christoph peylo bosch mark coeckelbergh university of vienna iris plöger bdi virginia dignum umea university stefano quintarelli garden ventures luciano floridi university of oxford andrea renda college of europe faculty ceps gagné element ai francesca rossi ibm chiara giovannini anec cristina san josé european banking federation joanna goodey fundamental rights agency george sharkov digital sme alliance sami haddadin munich school of robotics and mi philipp slusallek german research centre for ai dfki gry hasselbalch the thinkdotank dataethics copenhagen university françoise soulié fogelman ai consultant fredrik heintz linköping university saskia steinacker bayer fanny hidvegi access now jaan tallinn ambient sound investment eric hilgendorf university of würzburg thierry tingaud stmicroelectronics klaus höckner hilfsgemeinschaft der blinden und sehschwachen jakob uszkoreit google orange aimee van wynsberghe tu delft leo kärkkäinen nokia bell labs thiébaut weber etuc sabine theresia köszegi tu wien cecile wendling axa robert kroplewski solicitor advisor to polish government karen yeung the university of birmingham elisabeth ling relx urs bergmann cecilia virginia dignum gagné thomas metzinger nicolas petit saskia steinacker aimee van wynsberghe and karen yeung acted as rapporteurs for this document']"
0,78,0_systems_democratic_learning_examples,"['systems', 'democratic', 'learning', 'examples', 'validate', 'interacting', 'knowledge', 'improve', 'environment', 'behaviour']","['the document final section lists examples of beneficial opportunities and critical concerns raised by ai systems which should serve to stimulate further debate', 'as scientific discipline ai includes several approaches and techniques such as machine learning of which deep learning and reinforcement learning are specific examples machine reasoning which includes planning scheduling knowledge representation and reasoning search and optimization and robotics which includes control perception sensors and actuators as well as the integration of all other techniques into systems', 'examples of opportunities and critical concerns raised by ai in the following section we provide examples of ai development and use that should be encouraged as well as examples of where ai development deployment or use can run counter to our values and may raise specific concerns']"
1,50,1_vulnerable_groups_factors_disabilities,"['vulnerable', 'groups', 'factors', 'disabilities', 'social', 'situations', 'children', 'education', 'exclusion', 'accessibility']","['particular attention should be paid to vulnerable persons or groups', 'pay particular attention to situations involving more vulnerable groups such as children persons with disabilities and others that have historically been disadvantaged or are at risk of exclusion and to situations which are characterised by asymmetries of power or information such as between employers and workers or between businesses and this is relates to the principle of proportionality reflected in the maxim that one should not use sledge hammer to crack nut', 'pay particular attention to situations involving more vulnerable groups such as children persons with disabilities and others that have historically been disadvantaged or are at risk of exclusion and to situations which are characterised by asymmetries of power or information such as between employers and workers or between businesses and acknowledge that while bringing substantial benefits to individuals and society ai systems also pose certain risks and may have negative impact including impacts which may be difficult to anticipate identify or measure']"
2,43,2_rights_intelligence_guidelines_ethics,"['rights', 'intelligence', 'guidelines', 'ethics', 'values', 'principles', 'ethical', 'charter', 'citizens', 'global']","['to support the implementation of this vision the commission established the expert group on artificial intelligence ai hleg an independent group mandated with the drafting of two deliverables ai ethics guidelines and policy and investment recommendations', 'independent expert group on artificial intelligence set up by the european commission ethics guidelines for trustworthy ai ethics guidelines for trustworthy ai expert group on artificial intelligence this document was written by the expert group on ai ai hleg', 'fundamental rights as moral and legal entitlements we believe in an approach to ai ethics based on the fundamental rights enshrined in the eu the eu charter and international human rights respect for fundamental rights within framework of democracy and the rule of law provides the most promising foundations for identifying abstract ethical principles and values which can be operationalised in the context of ai']"
3,43,3_bias_fairness_unfair_diversity,"['bias', 'fairness', 'unfair', 'diversity', 'prejudice', 'biases', 'substantive', 'hr', 'accountability', 'inclusive']","['avoidance of unfair bias', 'in certain cases bias can result in discriminatory unfair outcomes indicated in this document as unfair bias', 'diversity and fairness unfair bias avoidance did you establish strategy or set of procedures to avoid creating or reinforcing unfair bias in the ai system both regarding the use of input data as well as for the algorithm design']"
4,40,4_tensions_principles_harmony_endeavour,"['tensions', 'principles', 'harmony', 'endeavour', 'glossary', 'relevance', 'requirements', 'contexts', 'distinctions', 'paragraphs']","['be mindful that there might be fundamental tensions between different principles and requirements', 'be mindful that there might be fundamental tensions between different principles and requirements', 'if in practice tensions arise between these components society should endeavour to align them']"
5,36,5_risks_safety_malicious_risk,"['risks', 'safety', 'malicious', 'risk', 'attacks', 'mitigate', 'security', 'foreseen', 'resilience', 'vulnerabilities']","['applications and potential abuse of the system by malicious actors should be taken into account and steps should be taken to prevent and mitigate fallback plan and general safety', 'adopt adequate measures to mitigate these risks when appropriate and proportionately to the magnitude of the risk', 'adopt adequate measures to mitigate these risks when appropriate and proportionately to the magnitude of the risk']"
6,35,6_ethics_compliance_ethical_laws,"['ethics', 'compliance', 'ethical', 'laws', 'moral', 'guidance', 'normative', 'principles', 'philosophy', 'standards']","['compliance with this assessment list is not however evidence of legal compliance nor is it intended as guidance to ensure compliance with applicable laws', 'in academic ethics there are four major fields of research mostly concerning the meaning and reference of normative sentence and the question how their truth values can be determined if they have any ii normative ethics the practical means of determining moral course of action by examining the standards for right and wrong action and assigning value to specific actions iii descriptive ethics which aims at an empirical investigation of people moral behaviour and beliefs and iv applied ethics concerning what we are obligated or permitted to do in specific often historically new situation or particular domain of often historically unprecedented possibilities for action', 'nothing in this document shall be construed or interpreted as providing legal advice or guidance concerning how compliance with any applicable existing legal norms and requirements can be achieved']"
7,33,7_rights_charter_treaties_convention,"['rights', 'charter', 'treaties', 'convention', 'disabilities', 'articles', 'directives', 'copyright', 'legal', 'enforceable']","['legal sources include but are not limited to eu primary law the treaties of the european union and its charter of fundamental rights eu secondary law such as the general data protection regulation the product liability directive the regulation on the free flow of data directives consumer law and safety and health at work directives the un human rights treaties and the council of europe conventions such as the european convention on human rights and numerous eu member state laws', 'see also article of the charter of fundamental rights of the eu', 'see articles to of the charter of fundamental rights of the eu eu charter dealing with the rights of the child and the elderly the integration of persons with disabilities and workers rights']"
8,33,8_privacy_protocols_consumer_gdpr,"['privacy', 'protocols', 'consumer', 'gdpr', 'processing', 'governance', 'integrity', 'qualified', 'officer', 'prevention']","['prevention of harm to privacy also necessitates adequate data governance that covers the quality and integrity of the data used its relevance in light of the domain in which the ai systems will be deployed its access protocols and the capability to process data in manner that protects privacy', 'privacy and data protection', 'privacy and data governance respect for privacy and data protection depending on the use case did you establish mechanism allowing others to flag issues related to privacy or data protection in the ai system processes of data collection for training and operation and data processing']"
