Topic,Count,Name,Representation,Representative_Docs
-1,393,-1_means_information_persons_assessment,"['means', 'information', 'persons', 'assessment', 'obligations', 'providers', 'conformity', 'models', 'measures', 'requirements']","['detailed information about the monitoring functioning and control of the ai system in particular with regard to its capabilities and limitations in performance including the degrees of accuracy for specific persons or groups of persons on which the system is intended to be used and the overall expected level of accuracy in relation to its intended purpose the foreseeable unintended outcomes and sources of risks to health and safety fundamental rights and discrimination in view of the intended purpose of the ai system the human oversight measures needed in accordance with article including the technical measures put in place to facilitate the interpretation of the outputs of ai systems by the deployers specifications on input data as appropriate', 'the instructions for use shall contain at least the following information the identity and the contact details of the provider and where applicable of its authorised representative the characteristics capabilities and limitations of performance of the ai system including its intended purpose ii the level of accuracy including its metrics robustness and cybersecurity referred to in article against which the ai system has been tested and validated and which can be expected and any known and foreseeable circumstances that may have an impact on that expected level of accuracy robustness and cybersecurity iii any known or foreseeable circumstance related to the use of the ai system in accordance with its intended purpose or under conditions of reasonably foreseeable misuse which may lead to risks to the health and safety or fundamental rights referred to in article iv where applicable the technical capabilities and characteristics of the ai system to provide information that is relevant to explain its output oj en eli when appropriate its performance regarding specific persons or groups of persons on which the system is intended to be used vi when appropriate specifications for the input data or any other relevant information in terms of the training validation and testing data sets used taking into account the intended purpose of the ai system vii where applicable information to enable deployers to interpret the output of the ai system and use it appropriately the changes to the ai system and its performance which have been by the provider at the moment of the initial conformity assessment if any the human oversight measures referred to in article including the technical measures put in place to facilitate the interpretation of the outputs of the ai systems by the deployers the computational and hardware resources needed the expected lifetime of the ai system and any necessary maintenance and care measures including their frequency to ensure the proper functioning of that ai system including as regards software updates where relevant description of the mechanisms included within the ai system that allows deployers to properly collect store and interpret the logs in accordance with article', 'article definitions for the purposes of this regulation the following definitions apply ai system means system that is designed to operate with varying levels of autonomy and that may exhibit adaptiveness after deployment and that for explicit or implicit objectives infers from the input it receives how to generate outputs such as predictions content recommendations or decisions that can influence physical or virtual environments risk means the combination of the probability of an occurrence of harm and the severity of that harm provider means natural or legal person public authority agency or other body that develops an ai system or ai model or that has an ai system or ai model developed and places it on the market or puts the ai system into service under its own name or trademark whether for payment or free of charge deployer means natural or legal person public authority agency or other body using an ai system under its authority except where the ai system is used in the course of personal activity authorised representative means natural or legal person located or established in the union who has received and accepted written mandate from provider of an ai system or ai model to respectively perform and carry out on its behalf the obligations and procedures established by this regulation importer means natural or legal person located or established in the union that places on the market an ai system that bears the name or trademark of natural or legal person established in third country distributor means natural or legal person in the supply chain other than the provider or the importer that makes an ai system available on the union market operator means provider product manufacturer deployer authorised representative importer or distributor en oj eli placing on the market means the first making available of an ai system or ai model on the union market making available on the market means the supply of an ai system or ai model for distribution or use on the union market in the course of commercial activity whether in return for payment or free of charge putting into service means the supply of an ai system for first use directly to the deployer or for own use in the union for its intended purpose intended purpose means the use for which an ai system is intended by the provider including the specific context and conditions of use as specified in the information supplied by the provider in the instructions for use promotional or sales materials and statements as well as in the technical documentation reasonably foreseeable misuse means the use of an ai system in way that is not in accordance with its intended purpose but which may result from reasonably foreseeable human behaviour or interaction with other systems including other ai systems safety component means component of product or of an ai system which fulfils safety function for that product or ai system or the failure or malfunctioning of which endangers the health and safety of persons or property instructions for use means the information provided by the provider to inform the deployer of in particular an ai system intended purpose and proper use recall of an ai system means any measure aiming to achieve the return to the provider or taking out of service or disabling the use of an ai system made available to deployers withdrawal of an ai system means any measure aiming to prevent an ai system in the supply chain being made available on the market performance of an ai system means the ability of an ai system to achieve its intended purpose notifying authority means the national authority responsible for setting up and carrying out the necessary procedures for the assessment designation and notification of conformity assessment bodies and for their monitoring conformity assessment means the process of demonstrating whether the requirements set out in chapter iii section relating to ai system have been fulfilled conformity assessment body means body that performs conformity assessment activities including testing certification and inspection notified body means conformity assessment body notified in accordance with this regulation and other relevant union harmonisation legislation substantial modification means change to an ai system after its placing on the market or putting into service which is not foreseen or planned in the initial conformity assessment carried out by the provider and as result of which the compliance of the ai system with the requirements set out in chapter iii section is affected or results in modification to the intended purpose for which the ai system has been assessed ce marking means marking by which provider indicates that an ai system is in conformity with the requirements set out in chapter iii section and other applicable union harmonisation legislation providing for its affixing monitoring system means all activities carried out by providers of ai systems to collect and review experience gained from the use of ai systems they place on the market or put into service for the purpose of identifying any need to immediately apply any necessary corrective or preventive actions market surveillance authority means the national authority carrying out the activities and taking the measures pursuant to regulation eu oj en eli harmonised standard means harmonised standard as defined in article point of regulation eu no common specification means set of technical specifications as defined in article point of regulation eu no providing means to comply with certain requirements established under this regulation training data means data used for training an ai system through fitting its learnable parameters validation data means data used for providing an evaluation of the trained ai system and for tuning its parameters and its learning process in order inter alia to prevent underfitting or overfitting validation data set means separate data set or part of the training data set either as fixed or variable split testing data means data used for providing an independent evaluation of the ai system in order to confirm the expected performance of that system before its placing on the market or putting into service input data means data provided to or directly acquired by an ai system on the basis of which the system produces an output biometric data means personal data resulting from specific technical processing relating to the physical physiological or behavioural characteristics of natural person such as facial images or dactyloscopic data biometric identification means the automated recognition of physical physiological behavioural or psychological human features for the purpose of establishing the identity of natural person by comparing biometric data of that individual to biometric data of individuals stored in database biometric verification means the automated verification including authentication of the identity of natural persons by comparing their biometric data to previously provided biometric data special categories of personal data means the categories of personal data referred to in article of regulation eu article of directive eu and article of regulation eu sensitive operational data means operational data related to activities of prevention detection investigation or prosecution of criminal offences the disclosure of which could jeopardise the integrity of criminal proceedings emotion recognition system means an ai system for the purpose of identifying or inferring emotions or intentions of natural persons on the basis of their biometric data biometric categorisation system means an ai system for the purpose of assigning natural persons to specific categories on the basis of their biometric data unless it is ancillary to another commercial service and strictly necessary for objective technical reasons remote biometric identification system means an ai system for the purpose of identifying natural persons without their active involvement typically at distance through the comparison of person biometric data with the biometric data contained in reference database remote biometric identification system means remote biometric identification system whereby the capturing of biometric data the comparison and the identification all occur without significant delay comprising not only instant identification but also limited short delays in order to avoid circumvention biometric identification system means remote biometric identification system other than remote biometric identification system publicly accessible space means any publicly or privately owned physical place accessible to an undetermined number of natural persons regardless of whether certain conditions for access may apply and regardless of the potential capacity restrictions en oj eli law enforcement authority means any public authority competent for the prevention investigation detection or prosecution of criminal offences or the execution of criminal penalties including the safeguarding against and the prevention of threats to public security or any other body or entity entrusted by member state law to exercise public authority and public powers for the purposes of the prevention investigation detection or prosecution of criminal offences or the execution of criminal penalties including the safeguarding against and the prevention of threats to public security law enforcement means activities carried out by law enforcement authorities or on their behalf for the prevention investigation detection or prosecution of criminal offences or the execution of criminal penalties including safeguarding against and preventing threats to public security ai office means the commission function of contributing to the implementation monitoring and supervision of ai systems and ai models and ai governance provided for in commission decision of january references in this regulation to the ai office shall be construed as references to the commission national competent authority means notifying authority or market surveillance authority as regards ai systems put into service or used by union institutions agencies offices and bodies references to national competent authorities or market surveillance authorities in this regulation shall be construed as references to the european data protection supervisor serious incident means an incident or malfunctioning of an ai system that directly or indirectly leads to any of the following the death of person or serious harm to person health serious and irreversible disruption of the management or operation of critical infrastructure the infringement of obligations under union law intended to protect fundamental rights serious harm to property or the environment personal data means personal data as defined in article point of regulation eu data means data other than personal data as defined in article point of regulation eu profiling means profiling as defined in article point of regulation eu testing plan means document that describes the objectives methodology geographical population and temporal scope monitoring organisation and conduct of testing in conditions sandbox plan means document agreed between the participating provider and the competent authority describing the objectives conditions timeframe methodology and requirements for the activities carried out within the sandbox ai regulatory sandbox means controlled framework set up by competent authority which offers providers or prospective providers of ai systems the possibility to develop train validate and test where appropriate in conditions an innovative ai system pursuant to sandbox plan for limited time under regulatory supervision ai literacy means skills knowledge and understanding that allow providers deployers and affected persons taking into account their respective rights and obligations in the context of this regulation to make an informed deployment of ai systems as well as to gain awareness about the opportunities and risks of ai and possible harm it can cause oj en eli testing in conditions means the temporary testing of an ai system for its intended purpose in conditions outside laboratory or otherwise simulated environment with view to gathering reliable and robust data and to assessing and verifying the conformity of the ai system with the requirements of this regulation and it does not qualify as placing the ai system on the market or putting it into service within the meaning of this regulation provided that all the conditions laid down in article or are fulfilled subject for the purpose of testing means natural person who participates in testing in conditions informed consent means subject freely given specific unambiguous and voluntary expression of his or her willingness to participate in particular testing in conditions after having been informed of all aspects of the testing that are relevant to the subject decision to participate deep fake means or manipulated image audio or video content that resembles existing persons objects places entities or events and would falsely appear to person to be authentic or truthful widespread infringement means any act or omission contrary to union law protecting the interest of individuals which has harmed or is likely to harm the collective interests of individuals residing in at least two member states other than the member state in which the act or omission originated or took place ii the provider concerned or where applicable its authorised representative is located or established or iii the deployer is established when the infringement is committed by the deployer has caused causes or is likely to cause harm to the collective interests of individuals and has common features including the same unlawful practice or the same interest being infringed and is occurring concurrently committed by the same operator in at least three member states critical infrastructure means critical infrastructure as defined in article point of directive eu ai model means an ai model including where such an ai model is trained with large amount of data using at scale that displays significant generality and is capable of competently performing wide range of distinct tasks regardless of the way the model is placed on the market and that can be integrated into variety of downstream systems or applications except ai models that are used for research development or prototyping activities before they are placed on the market capabilities means capabilities that match or exceed the capabilities recorded in the most advanced ai models systemic risk means risk that is specific to the capabilities of ai models having significant impact on the union market due to their reach or due to actual or reasonably foreseeable negative effects on public health safety public security fundamental rights or the society as whole that can be propagated at scale across the value chain ai system means an ai system which is based on ai model and which has the capability to serve variety of purposes both for direct use as well as for integration in other ai systems operation means any mathematical operation or assignment involving numbers which are subset of the real numbers typically represented on computers by an integer of fixed precision scaled by an integer exponent of fixed base downstream provider means provider of an ai system including ai system which integrates an ai model regardless of whether the ai model is provided by themselves and vertically integrated or provided by another entity based on contractual relations']"
0,99,0_notification_suspension_certificate_issued,"['notification', 'suspension', 'certificate', 'issued', 'restriction', 'designation', 'inform', 'withdrawal', 'subsidiaries', 'supplements']","['notified bodies shall inform the notifying authority of the following any union technical documentation assessment certificates any supplements to those certificates and any quality management system approvals issued in accordance with the requirements of annex vii any refusal restriction suspension or withdrawal of union technical documentation assessment certificate or quality management system approval issued in accordance with the requirements of annex vii any circumstances affecting the scope of or conditions for notification any request for information which they have received from market surveillance authorities regarding conformity assessment activities on request conformity assessment activities performed within the scope of their notification and any other activity performed including activities and subcontracting', 'with the exception of certificates unduly issued and where designation has been suspended or restricted the certificates shall remain valid in one of the following circumstances the notifying authority has confirmed within one month of the suspension or restriction that there is no risk to health safety or fundamental rights in relation to certificates affected by the suspension or restriction and the notifying authority has outlined timeline for actions to remedy the suspension or restriction or the notifying authority has confirmed that no certificates relevant to the suspension will be issued amended or during the course of the suspension or restriction and states whether the notified body has the capability of continuing to monitor and remain responsible for existing certificates issued for the period of the suspension or restriction in the event that the notifying authority determines that the notified body does not have the capability to support existing certificates issued the provider of the system covered by the certificate shall confirm in writing to the national competent authorities of the member state in which it has its registered place of business within three months of the suspension or restriction that another qualified notified body is temporarily assuming the functions of the notified body to monitor and remain responsible for the certificates during the period of suspension or restriction', 'in the event of the restriction suspension or withdrawal of designation the notifying authority shall assess the impact on the certificates issued by the notified body submit report on its findings to the commission and the other member states within three months of having notified the changes to the designation require the notified body to suspend or withdraw within reasonable period of time determined by the authority any certificates which were unduly issued in order to ensure the continuing conformity of ai systems on the market inform the commission and the member states about certificates the suspension or withdrawal of which it has required provide the national competent authorities of the member state in which the provider has its registered place of business with all relevant information about the certificates of which it has required the suspension or withdrawal that authority shall take the appropriate measures where necessary to avoid potential risk to health safety or fundamental rights']"
1,66,1_integrated_description_condition_procedures,"['integrated', 'description', 'condition', 'procedures', 'capability', 'monitoring', 'software', 'traceability', 'parameters', 'objectives']","['general description of the ai model including the tasks that the model is intended to perform and the type and nature of ai systems in which it can be integrated the acceptable use policies applicable the date of release and methods of distribution the architecture and number of parameters the modality', 'general description of the ai model including the tasks that the model is intended to perform and the type and nature of ai systems into which it can be integrated the acceptable use policies applicable the date of release and methods of distribution how the model interacts or can be used to interact with hardware or software that is not part of the model itself where applicable the versions of relevant software related to the use of the ai model where applicable the architecture and number of parameters the modality', 'that system shall be documented in systematic and orderly manner in the form of written policies procedures and instructions and shall include at least the following aspects strategy for regulatory compliance including compliance with conformity assessment procedures and procedures for the management of modifications to the ai system techniques procedures and systematic actions to be used for the design design control and design verification of the ai system techniques procedures and systematic actions to be used for the development quality control and quality assurance of the ai system examination test and validation procedures to be carried out before during and after the development of the ai system and the frequency with which they have to be carried out en oj eli technical specifications including standards to be applied and where the relevant harmonised standards are not applied in full or do not cover all of the relevant requirements set out in section the means to be used to ensure that the ai system complies with those requirements systems and procedures for data management including data acquisition data collection data analysis data labelling data storage data filtration data mining data aggregation data retention and any other operation regarding the data that is performed before and for the purpose of the placing on the market or the putting into service of ai systems the risk management system referred to in article the implementation and maintenance of monitoring system in accordance with article procedures related to the reporting of serious incident in accordance with article the handling of communication with national competent authorities other relevant authorities including those providing or supporting the access to data notified bodies other operators customers or other interested parties systems and procedures for of all relevant documentation and information resource management including related measures an accountability framework setting out the responsibilities of the management and other staff with regard to all the aspects listed in this paragraph']"
2,64,2_regulatory_sandbox_competent_smes,"['regulatory', 'sandbox', 'competent', 'smes', 'experimentation', 'guidance', 'selection', 'development', 'facilitate', 'establishment']","['in the ai regulatory sandbox personal data lawfully collected for other purposes may be processed solely for the purpose of developing training and testing certain ai systems in the sandbox when all of the following conditions are met ai systems shall be developed for safeguarding substantial public interest by public authority or another natural or legal person and in one or more of the following areas public safety and public health including disease detection diagnosis prevention control and treatment and improvement of health care systems ii high level of protection and improvement of the quality of the environment protection of biodiversity protection against pollution green transition measures climate change mitigation and adaptation measures iii energy sustainability iv safety and resilience of transport systems and mobility critical infrastructure and networks efficiency and quality of public administration and public services the data processed are necessary for complying with one or more of the requirements referred to in chapter iii section where those requirements can not effectively be fulfilled by processing anonymised synthetic or other data there are effective monitoring mechanisms to identify if any high risks to the rights and freedoms of the data subjects as referred to in article of regulation eu and in article of regulation eu may arise during the sandbox experimentation as well as response mechanisms to promptly mitigate those risks and where necessary stop the processing any personal data to be processed in the context of the sandbox are in functionally separate isolated and protected data processing environment under the control of the prospective provider and only authorised persons have access to those data providers can further share the originally collected data only in accordance with union data protection law any personal data created in the sandbox can not be shared outside the sandbox any processing of personal data in the context of the sandbox neither leads to measures or decisions affecting the data subjects nor does it affect the application of their rights laid down in union law on the protection of personal data any personal data processed in the context of the sandbox are protected by means of appropriate technical and organisational measures and deleted once the participation in the sandbox has terminated or the personal data has reached the end of its retention period the logs of the processing of personal data in the context of the sandbox are kept for the duration of the participation in the sandbox unless provided otherwise by union or national law complete and detailed description of the process and rationale behind the training testing and validation of the ai system is kept together with the testing results as part of the technical documentation referred to in annex iv oj en eli short summary of the ai project developed in the sandbox its objectives and expected results is published on the website of the competent authorities this obligation shall not cover sensitive operational data in relation to the activities of law enforcement border control immigration or asylum authorities', 'upon agreement between the national competent authorities and the participants in the ai regulatory sandbox testing in real world conditions may also be operated and supervised in the framework of the ai regulatory sandbox', 'the implementing acts referred to in paragraph shall ensure that ai regulatory sandboxes are open to any applying provider or prospective provider of an ai system who fulfils eligibility and selection criteria which shall be transparent and fair and that national competent authorities inform applicants of their decision within three months of the application that ai regulatory sandboxes allow broad and equal access and keep up with demand for participation providers and prospective providers may also submit applications in partnerships with deployers and other relevant third parties that the detailed arrangements for and conditions concerning ai regulatory sandboxes support to the best extent possible flexibility for national competent authorities to establish and operate their ai regulatory sandboxes that access to the ai regulatory sandboxes is free of charge for smes including without prejudice to exceptional costs that national competent authorities may recover in fair and proportionate manner that they facilitate providers and prospective providers by means of the learning outcomes of the ai regulatory sandboxes in complying with conformity assessment obligations under this regulation and the voluntary application of the codes of conduct referred to in article that ai regulatory sandboxes facilitate the involvement of other relevant actors within the ai ecosystem such as notified bodies and standardisation organisations smes including enterprises innovators testing and tion facilities research and experimentation labs and european digital innovation hubs centres of excellence individual researchers in order to allow and facilitate cooperation with the public and private sectors that procedures processes and administrative requirements for application selection participation and exiting the ai regulatory sandbox are simple easily intelligible and clearly communicated in order to facilitate the participation of smes including with limited legal and administrative capacities and are streamlined across the union in order to avoid fragmentation and that participation in an ai regulatory sandbox established by member state or by the european data protection supervisor is mutually and uniformly recognised and carries the same legal effects across the union that participation in the ai regulatory sandbox is limited to period that is appropriate to the complexity and scale of the project and that may be extended by the national competent authority that ai regulatory sandboxes facilitate the development of tools and infrastructure for testing benchmarking assessing and explaining dimensions of ai systems relevant for regulatory learning such as accuracy robustness and cybersecurity as well as measures to mitigate risks to fundamental rights and society at large']"
3,50,3_persons_social_behaviour_vocational,"['persons', 'social', 'behaviour', 'vocational', 'educational', 'disabilities', 'environmental', 'discriminatory', 'discrimination', 'vulnerable']","['throughout the recruitment process and in the evaluation promotion or retention of persons in contractual relationships such systems may perpetuate historical patterns of discrimination for example against women certain age groups persons with disabilities or persons of certain racial or ethnic origins or sexual orientation', 'the following ai practices shall be prohibited the placing on the market the putting into service or the use of an ai system that deploys subliminal techniques beyond person consciousness or purposefully manipulative or deceptive techniques with the objective or the effect of materially distorting the behaviour of person or group of persons by appreciably impairing their ability to make an informed decision thereby causing them to take decision that they would not have otherwise taken in manner that causes or is reasonably likely to cause that person another person or group of persons significant harm the placing on the market the putting into service or the use of an ai system that exploits any of the vulnerabilities of natural person or specific group of persons due to their age disability or specific social or economic situation with the objective or the effect of materially distorting the behaviour of that person or person belonging to that group in manner that causes or is reasonably likely to cause that person or another person significant harm the placing on the market the putting into service or the use of ai systems for the evaluation or classification of natural persons or groups of persons over certain period of time based on their social behaviour or known inferred or predicted personal or personality characteristics with the social score leading to either or both of the following detrimental or unfavourable treatment of certain natural persons or groups of persons in social contexts that are unrelated to the contexts in which the data was originally generated or collected ii detrimental or unfavourable treatment of certain natural persons or groups of persons that is unjustified or disproportionate to their social behaviour or its gravity the placing on the market the putting into service for this specific purpose or the use of an ai system for making risk assessments of natural persons in order to assess or predict the risk of natural person committing criminal offence based solely on the profiling of natural person or on assessing their personality traits and characteristics this prohibition shall not apply to ai systems used to support the human assessment of the involvement of person in criminal activity which is already based on objective and verifiable facts directly linked to criminal activity the placing on the market the putting into service for this specific purpose or the use of ai systems that create or expand facial recognition databases through the untargeted scraping of facial images from the internet or cctv footage the placing on the market the putting into service for this specific purpose or the use of ai systems to infer emotions of natural person in the areas of workplace and education institutions except where the use of the ai system is intended to be put in place or into the market for medical or safety reasons oj en eli the placing on the market the putting into service for this specific purpose or the use of biometric categorisation systems that categorise individually natural persons based on their biometric data to deduce or infer their race political opinions trade union membership religious or philosophical beliefs sex life or sexual orientation this prohibition does not cover any labelling or filtering of lawfully acquired biometric datasets such as images based on biometric data or categorizing of biometric data in the area of law enforcement the use of remote biometric identification systems in publicly accessible spaces for the purposes of law enforcement unless and in so far as such use is strictly necessary for one of the following objectives the targeted search for specific victims of abduction trafficking in human beings or sexual exploitation of human beings as well as the search for missing persons ii the prevention of specific substantial and imminent threat to the life or physical safety of natural persons or genuine and present or genuine and foreseeable threat of terrorist attack iii the localisation or identification of person suspected of having committed criminal offence for the purpose of conducting criminal investigation or prosecution or executing criminal penalty for offences referred to in annex ii and punishable in the member state concerned by custodial sentence or detention order for maximum period of at least four years', 'however ai systems used in education or vocational training in particular for determining access or admission for assigning persons to educational and vocational training institutions or programmes at all levels for evaluating learning outcomes of persons for assessing the appropriate level of education for an individual and materially influencing the level of education and training that individuals will receive or will be able to access or for monitoring and detecting prohibited behaviour of students during tests should be classified as ai systems since they may determine the educational and professional course of person life and therefore may affect that person ability to secure livelihood']"
4,42,4_surveillance_authorities_objection_inform,"['surveillance', 'authorities', 'objection', 'inform', 'designate', 'authorisation', 'receipt', 'contact', 'judicial', 'issued']","['where within three months of receipt of the notification referred to in paragraph of this article no objection has been raised by either market surveillance authority of member state or by the commission in respect of provisional measure taken by market surveillance authority of another member state that measure shall be deemed justified', 'each member state shall establish or designate as national competent authorities at least one notifying authority and at least one market surveillance authority for the purposes of this regulation', 'the relevant public authority or body shall inform the market surveillance authority of the member state concerned of any such request']"
5,40,5_biometric_identification_accessible_publicly,"['biometric', 'identification', 'accessible', 'publicly', 'enforcement', 'data', 'geographic', 'national', 'reports', 'offences']","['however the use of remote biometric identification systems in publicly accessible spaces for purposes other than law enforcement including by competent authorities should not be covered by the specific framework regarding such use for the purpose of law enforcement set by this regulation', 'without prejudice to paragraph each use of remote biometric identification system in publicly accessible spaces for law enforcement purposes shall be notified to the relevant market surveillance authority and the national data protection authority in accordance with the national rules referred to in paragraph', 'national market surveillance authorities and the national data protection authorities of member states that have been notified of the use of remote biometric identification systems in publicly accessible spaces for law enforcement purposes pursuant to paragraph shall submit to the commission annual reports on such use']"
6,38,6_deployers_deployer_instructions_oversight,"['deployers', 'deployer', 'instructions', 'oversight', 'risks', 'materialisation', 'deploying', 'questionnaire', 'workers', 'competence']","['in light of the risks identified deployers should determine measures to be taken in the case of materialisation of those risks including for example governance arrangements in that specific context of use such as arrangements for human oversight according to the instructions of use or complaint handling and redress procedures as they could be instrumental in mitigating risks to fundamental rights in concrete', 'the impact assessment should identify the deployer relevant processes in which the ai system will be used in line with its intended purpose and should include description of the period of time and frequency in which the system is intended to be used as well as of specific categories of natural persons and groups who are likely to be affected in the specific context of use', 'for that purpose deployers shall perform an assessment consisting of description of the deployer processes in which the ai system will be used in line with its intended purpose description of the period of time within which and the frequency with which each ai system is intended to be used the categories of natural persons and groups likely to be affected by its use in the specific context the specific risks of harm likely to have an impact on the categories of natural persons or groups of persons identified pursuant to point of this paragraph taking into account the information given by the provider pursuant to article description of the implementation of human oversight measures according to the instructions for use the measures to be taken in the case of the materialisation of those risks including the arrangements for internal governance and complaint mechanisms']"
7,38,7_cybersecurity_infrastructure_robustness_requirements,"['cybersecurity', 'infrastructure', 'robustness', 'requirements', 'safety', 'resilient', 'vulnerabilities', 'components', 'water', 'risks']","['the conformity assessment procedure provided by this regulation should apply in relation to the essential cybersecurity requirements of product with digital elements covered by regulation of the european parliament and of the council on horizontal cybersecurity requirements for products with digital elements and classified as ai system under this regulation', 'therefore by way of derogation from this rule ai systems that fall within the scope of this regulation and are also qualified as important and critical products with digital elements pursuant to regulation of the european parliament and of the council on horizontal cybersecurity requirements for products with digital elements and to which the conformity assessment procedure based on internal control set out in an annex to this regulation applies are subject to the conformity assessment provisions of regulation of the european parliament and of the council on horizontal cybersecurity requirements for products with digital elements insofar as the essential cybersecurity requirements of that regulation are concerned', 'without prejudice to the requirements related to robustness and accuracy set out in this regulation ai systems which fall within the scope of regulation of the european parliament and of the council on horizontal cybersecurity requirements for products with digital elements in accordance with that regulation may demonstrate compliance with the cybersecurity requirements of this regulation by fulfilling the essential cybersecurity requirements set out in that regulation']"
8,37,8_operators_systems_service_practices,"['operators', 'systems', 'service', 'practices', 'market', 'providers', 'obligations', 'fines', 'prohibition', 'deployers']","['in order to ensure level playing field and an effective protection of rights and freedoms of individuals across the union the rules established by this regulation should apply to providers of ai systems in manner irrespective of whether they are established within the union or in third country and to deployers of ai systems established within the union', 'without prejudice to the application of article as referred to in article point this regulation shall apply to operators of ai systems other than the systems referred to in paragraph of this article that have been placed on the market or put into service before august only if as from that date those systems are subject to significant changes in their designs', 'this regulation applies to providers placing on the market or putting into service ai systems or placing on the market ai models in the union irrespective of whether those providers are established or located within the union or in third country deployers of ai systems that have their place of establishment or are located within the union providers and deployers of ai systems that have their place of establishment or are located in third country where the output produced by the ai system is used in the union importers and distributors of ai systems product manufacturers placing on the market or putting into service an ai system together with their product and under their own name or trademark authorised representatives of providers which are not established in the union affected persons that are located in the union']"
