Topic,Count,Name,Representation,Representative_Docs
-1,358,-1_behaviour_social_rights_individuals,"['behaviour', 'social', 'rights', 'individuals', 'data', 'harms', 'prohibition', 'information', 'exploitation', 'harmful']","['ii the ai system must be intended or used for the evaluation or classification of natural persons or groups of persons over certain period of time based on their social behaviour or known inferred or predicted personal or personality characteristics', 'the following ai practices shall be prohibited the placing on the market putting into service or use of an ai system that deploys subliminal techniques beyond person consciousness or purposefully manipulative or deceptive techniques with the objective or the effect of materially distorting the behaviour of person or group of persons by appreciably impairing their ability to make an informed decision thereby causing them to take decision that they would not have otherwise taken in manner that causes or is reasonably likely to cause that person another person or group of persons significant harm several cumulative conditions must be fulfilled for the prohibition in article ai act to apply the practice must constitute the placing on the market the putting into service or the use of an ai system', 'the following ai practices shall be prohibited the placing on the market the putting into service or the use of an ai system that exploits any of the vulnerabilities of natural person or specific group of persons due to their age disability or specific social or economic situation with the objective or the effect of materially distorting the behaviour of that person or person belonging to that group in manner that causes or is reasonably likely to cause that person or another person significant harm several cumulative conditions must be fulfilled for the prohibition in article ai act to apply the practice must constitute the placing on the market the putting into service or the use of an ai system']"
0,123,0_rbi_publicly_accessible_enforcement,"['rbi', 'publicly', 'accessible', 'enforcement', 'purposes', 'systems', 'authorisation', 'database', 'requirements', 'exceptions']","['the placing on the market and the putting into service of such systems as well as the use of other rbi systems is not prohibited but subject to the rules for ai systems in accordance with article and point of annex iii ai where member states authorises the use of rbi systems in publicly accessible spaces for law enforcement purposes for any of the three objectives listed in article ai act the rules for ai systems also apply to that use', 'rbi systems that fall outside the scope of the prohibition in article ai act include biometric systems and the retrospective use of rbi systems in publicly accessible spaces for law enforcement purposes', 'any other use of rbi systems in publicly accessible spaces for law enforcement purposes which is not listed in article iii ai act is prohibited']"
1,97,1_emotions_recognition_medical_voice,"['emotions', 'recognition', 'medical', 'voice', 'workplace', 'expressions', 'detect', 'fatigue', 'gestures', 'biometric']","['article ai act emotion recognition article ai act prohibits ai systems to infer emotions of natural person in the areas of workplace and education institutions except where the use of the system is intended for medical or safety reasons', 'article ai act emotion recognition', 'ai systems to infer emotions ai systems to infer emotions versus emotion recognition systems article ai act defines emotion recognition systems as ai systems for the purpose of identifying and inferring emotions or intentions of natural persons on the basis of their biometric data']"
2,91,2_criminal_traits_personality_characteristics,"['criminal', 'traits', 'personality', 'characteristics', 'committing', 'verifiable', 'profiling', 'assessing', 'predict', 'offences']","['assessment of personality traits and characteristics the prohibition also applies if the risk assessment to assess or predict the risk of the person committing criminal offence is only based on assessing the person personality traits and characteristics', 'main concepts and components of the prohibition article ai act provides the following ai practices shall be prohibited the placing on the market the putting into service for this specific purpose or the use of an ai system for making risk assessments of natural persons in order to assess or predict the risk of natural person committing criminal offence based solely on the profiling of natural person or on assessing their personality traits and characteristics this prohibition shall not apply to ai systems used to support the human assessment of the involvement of person in criminal activity which is already based on objective and verifiable facts directly linked to criminal activity several cumulative conditions must be fulfilled for the prohibition in article ai act to apply the practice must constitute the placing on the market the putting into service for this specific purpose or the use of an ai system', 'solely based on profiling of natural person or on assessing their personality traits and characteristics the third condition for the prohibition in article ai act to apply is that the risk assessment to assess or predict the risk of natural person committing crime must be based solely on the profiling of the person or on the assessment of their personality traits and characteristics']"
3,81,3_development_exclusion_testing_transparency,"['development', 'exclusion', 'testing', 'transparency', 'requirements', 'conditions', 'scope', 'providers', 'obligations', 'compliance']","['ai systems released under free and open source licences according to article ai act the ai act does not apply to ai systems released under free and unless they are placed on the market or put into service as ai systems or as an ai system that falls under article prohibited ai practices or article ai act transparency obligations for certain ai systems', 'research development according to article ai act the ai act does not apply to any research testing or development activity regarding ai systems or ai models prior to their being placed on the market or put into service', 'the exclusion in article ai act is however without prejudice to the obligation to comply with the ai act where an ai system is placed on the market or put into service as result of such research and development testing in conditions within the meaning of the ai is also not covered by that exclusion']"
4,54,4_scraping_facial_images_cctv,"['scraping', 'facial', 'images', 'cctv', 'searches', 'features', 'tools', 'scraped', 'crawlers', 'filters']","['through untargeted scraping of facial images', 'article ai act untargeted scraping of facial images', 'article ai act untargeted scraping of facial images article ai act prohibits the placing on the market putting into service for this specific purpose or the use of ai systems that create or expand facial recognition databases through the untargeted scraping of facial images from the internet or cctv footage']"
5,44,5_prohibition_charter_vocational_penalties,"['prohibition', 'charter', 'vocational', 'penalties', 'infringement', 'scope', 'provisions', 'exceptions', 'guidelines', 'recital']","['for these examples to fall within the prohibition of article ai act all conditions of that provision must be fulfilled', 'the prohibitions in article ai act also aim to uphold the right to freedom of expression and information article charter freedom of assembly and of association article charter freedom of thought conscience and religion article charter the right to an effective remedy and fair trial article charter and the presumption of innocence and the right of defence article charter', 'out of scope for the prohibitions in article and ai act to apply all conditions listed in the relevant provisions must be fulfilled as examined above']"
6,40,6_judgment_court_justice_paragraphs,"['judgment', 'court', 'justice', 'paragraphs', 'glukhin', 'ministerstvo', 'judiciaires', 'traitement', 'antécédents', 'platforms']","['judgment of the court of justice of june commission poland eu paragraph', 'judgment of the court of justice of march prokuratuur ecli eu paragraph', 'judgment of the court of justice of june commission poland ecli eu paragraph']"
7,39,7_persuasion_influence_decisions_autonomy,"['persuasion', 'influence', 'decisions', 'autonomy', 'cognitive', 'manipulation', 'ability', 'behaviours', 'biases', 'manipulative']","['iii the techniques deployed by the ai system should have the objective or the effect of materially distorting the behaviour of person or group of persons', 'with the objective or the effect of materially distorting the behaviour of person or group of persons third condition for the prohibition in article ai act to apply is that the deployed subliminal purposefully manipulative or deceptive technique must have the objective or the effect of materially distorting the behaviour of person or group of persons', 'with the objective or the effect of materially distorting the behaviour of person or group of persons']"
8,38,8_covers_intent_concepts_adopting,"['covers', 'intent', 'concepts', 'adopting', 'effect', 'alternatives', 'application', 'impact', 'letter', 'adults']","['however intent is not necessary requirement since article ai act also covers practices that may only have the effect of causing material distortion', 'this implies substantial impact rather than minor or trivial one but does not necessarily require intent since article ai act covers practices that may only have the effect of causing material distortions', 'the only noteworthy difference is the need in article ai act for the exploitative practice to appreciably impair the ability to make an informed decision which is not present in article ai act since the specific vulnerabilities of children and other vulnerable persons reduce their capacity to make such informed decisions and force them into adopting behaviour against which they can not protect themselves as other adults might do']"
9,31,9_space_accessible_border_public,"['space', 'accessible', 'border', 'public', 'restrictions', 'stadiums', 'museums', 'gate', 'airports', 'entity']","['the system is deployed for law enforcement purposes in publicly accessible space', 'no specific activity for which the space is used publicly accessible area is not necessarily space linked to public service', 'space does not need to be in public ownership for it to be considered as publicly accessible space']"
10,31,10_recognition_police_edpb_cctv,"['recognition', 'police', 'edpb', 'cctv', 'cameras', 'arrest', 'faces', 'retrospective', 'protestor', 'arena']","['during busy festival in city police authorities deploy live facial recognition technologies to monitor the area around the festival and identify wanted individuals with outstanding arrest warrants for illegal drug trafficking and sexual offences', 'the police authorities of busy city deploy cctv cameras which can perform live facial recognition technologies', 'finally the use of rbi systems by private actors both in and retrospective such as the use of live facial recognition technology by supermarket to identify known shoplifters the use of live facial recognition technology by sports arena to identify individuals banned from entering the arena or the use of live facial recognition technology in schools for security purposes and school attendance fall outside the scope of the prohibition']"
11,31,11_enforcement_authorities_safeguarding_threats,"['enforcement', 'authorities', 'safeguarding', 'threats', 'authority', 'investigation', 'offences', 'entities', 'security', 'supervision']","['law enforcement is defined in article ai act as the activities carried out by law enforcement authorities or on their behalf for the prevention investigation detection or prosecution of criminal offences or the execution of criminal penalties including safeguarding against and preventing threats to public these purposes are the same as those listed in article thus any interpretation of those purposes in relation to led may also be relevant for the purpose of interpreting the notion of law enforcement used in the ai act', 'law enforcement authorities are further defined in article ai act in the same manner as national competent authorities are defined in the that definition covers law enforcement authorities and entrusted bodies or entities which may be private parties any public authority competent for the prevention investigation detection or prosecution of criminal offences or the execution of criminal penalties including the safeguarding against and the prevention of threats to public security or for example such public authorities include police authorities and criminal justice authorities such as prosecutors when they carry out law enforcement task', 'according to the definition of law enforcement authority under article ai act any other body or entity entrusted by member state law to exercise public authority and public powers for the purposes of the prevention investigation detection or prosecution of criminal offences or the execution of criminal penalties including the safeguarding against and the prevention of threats to public security is considered law enforcement authority and could also be the responsible as the competent authority for submitting the request for prior authorisation']"
12,29,12_biometric_behavioural_biometrics_gait,"['biometric', 'behavioural', 'biometrics', 'gait', 'verification', 'physiological', 'passport', 'fingerprints', 'features', 'gdpr']","['identification purposes only the notion of biometric identification is defined in article of the ai act as the automated recognition of physical physiological and behavioural or psychological human features for the purpose of establishing the identity of natural person by comparing biometric data of that individual to biometric data of individuals stored in database', 'behavioural biometrics encompass variety of modalities that exhibit both voluntary and involuntary repeated motions and associated rhythmic of body features ranging from signatures gait voice and keystrokes through to eye tracking and electroencephalography eeg or electrocardiograms ecg the biometric input can relate to one modality facial images or multiple modalities facial information combined with electroencephalogram eeg', 'biometric recognition systems that process contactless fingerprints gait voice dna keystrokes and other biometric behavioural signals may also constitute rbi for example voice biometric technology system may be deployed to identify person speaking']"
13,26,13_identification_biometric_publicly_reports,"['identification', 'biometric', 'publicly', 'reports', 'enforcement', 'national', 'geographic', 'authorities', 'targeted', 'surveillance']","['notification to the authorities of each use of remote biometric identification systems in publicly accessible spaces for law enforcement', 'article ai act remote biometric identification rbi systems for law enforcement purposes', 'notification to the authorities of each use of remote biometric identification systems in publicly accessible spaces for law enforcement article ai act provides without prejudice to paragraph each use of remote biometric identification system in publicly accessible spaces for law enforcement purposes shall be notified to the relevant market surveillance authority and the national data protection authority in accordance with the national rules referred to in paragraph']"
14,26,14_subliminal_techniques_stimuli_deceptive,"['subliminal', 'techniques', 'stimuli', 'deceptive', 'visual', 'awareness', 'consciously', 'threshold', 'tactile', 'imperceptible']","['subliminal techniques while the ai act does not define subliminal techniques article ai act specifies that subliminal techniques operate beyond below or above the threshold of conscious awareness', 'subliminal purposefully manipulative or deceptive techniques article ai act prohibits three alternative types of manipulative techniques subliminal techniques beyond person consciousness purposefully manipulative techniques and deceptive techniques', 'subliminal purposefully manipulative or deceptive techniques']"
15,26,15_treatment_social_detrimental_contexts,"['treatment', 'social', 'detrimental', 'contexts', 'disproportionate', 'unjustified', 'lead', 'behaviour', 'evaluation', 'assistance']","['the social score must lead to detrimental or unfavourable treatment in unrelated social contexts unjustified or disproportionate treatment to the gravity of the social behaviour causal link between the social score and the treatment for the prohibition in article ai act to apply the social score created by or with the assistance of an ai system must lead to detrimental or unfavourable treatment for the evaluated person or group of persons', 'detrimental or unfavourable treatment in unrelated social contexts unjustified or disproportionate treatment the final condition for the prohibition in article ai act to apply is that the use of the social score must result or be capable of resulting in detrimental or unfavourable treatment either in social context unrelated to the contexts in which the data was originally generated or collected or ii', 'the social score must lead to detrimental or unfavourable treatment in unrelated social contexts unjustified or disproportionate treatment to the gravity of the social behaviour']"
16,24,16_recital_recitals_letter_dsa,"['recital', 'recitals', 'letter', 'dsa', 'contempt', 'embarrassment', 'amusement', 'occurrence', 'satisfaction', 'anger']","['see also recital ai act', 'see recital ai act', 'article and recital ai act']"
17,24,17_search_crimes_victims_targeted,"['search', 'crimes', 'victims', 'targeted', 'disappearance', 'suspects', 'persons', 'offenders', 'trafficking', 'mental']","['searching for missing persons the first scenario also covers the search for missing distinction may be made between missing children and missing adults since the voluntary disappearance of missing adult will not always trigger search', 'targeted search for the victims of three serious crimes and missing persons according to article ai act the use of rbi in publicly accessible spaces for law enforcement purposes is allowed subject to strict necessity and the conditions in article ai act for the targeted search of victims of abduction trafficking in human beings or sexual exploitation of human beings as well as the search for missing persons', 'targeted search for the victims of three serious crimes and missing persons']"
18,23,18_harm_effects_health_adverse,"['harm', 'effects', 'health', 'adverse', 'psychological', 'insomnia', 'distress', 'consequences', 'severity', 'impacts']","['to assess the specific risks of harm likely to impact the identified affected person or group the fria must identify the fundamental rights of those persons and assess the impact on their fundamental rights including the severity of the impact and its scale taking into account the potentially affected persons', 'understanding the combination of harm is crucial to effectively assess their significance see also see section below whereby physical psychological financial and economic harm may be combined and exacerbate the overall impact on individuals and communities and may even have broader adverse impacts', 'dependent on the service incentivising behaviour and potentially causing significant harms such as suicidal behaviours and risks of harming other financial and economic harm may encompass range of adverse effects including financial loss financial exclusion economic instability']"
19,23,19_recital_happens_incident_concert,"['recital', 'happens', 'incident', 'concert', 'led', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['recital ai act', 'recital ai act', 'recital ai act']"
20,22,20_deceptive_neural_neurips_manipulative,"['deceptive', 'neural', 'neurips', 'manipulative', 'exploitative', 'deceiving', 'chatbot', 'game', 'fakes', 'deception']","['for example ai system used as chatbot may deploy manipulative and deceptive techniques which is likely to cause significant harm', 'it may for example cover cases where chatbot or deceptive content presents false or misleading information in ways that aim to or have the effect of deceiving individuals and distorting their behaviour that would not have happened if they were not exposed to the interaction with the ai system or the deceptive ai generated content in particular if this has not been visibly as with purposefully manipulative techniques the prohibition of deceptive techniques may also cover ai systems that deceive individuals without any human intending them to do so see section above', 'manipulative deceptive and exploitative ai systems that are not likely to cause significant harm']"
21,21,21_intelligence_liability_safety_legislation,"['intelligence', 'liability', 'safety', 'legislation', 'legal', 'embedding', 'occupational', 'violate', 'civil', 'interconnection']","['in this regard the european insurance and occupational pensions authority eiopa has already issued supervisory statement on some unfair exploitative practices in relation to differential pricing that could also fall under the scope of the ai act when enabled by ai the prohibitions in article and ai act are also without prejudice to and complement eu product safety legislation for medical devices toys machinery which plays crucial role in ensuring the safety of products that integrate ai systems', 'providers and deployers of ai systems civil society organisations academia public regulation eu of the european parliament and of the council of june laying down harmonised rules on artificial intelligence artificial intelligence act oj', 'the conditions for liability related to damage liable person fault or burden of proof etc will be determined by the applicable law such as directive eu of the european parliament and of the council of october on liability for defective products text with eea relevance oj or the applicable national liability laws see also proposal for directive of the european parliament and of the council on adapting civil liability rules to artificial intelligence ai liability directive final']"
22,20,22_creditworthiness_fraud_scoring_beneficiaries,"['creditworthiness', 'fraud', 'scoring', 'beneficiaries', 'income', 'childcare', 'families', 'dutch', 'repayment', 'sector']","['based on the resulting score families are singled out for inspection and children considered at risk for comparison of similar national systems of benefits and the social scoring see hadwick lan lessons to be learned from the dutch childcare allowance scandal comparative review of algorithmic governance by tax administrations in the netherlands france and germany world tax journal vol', 'score may lead to detrimental or unfavourable treatment even if it is produced by an organisation different from the one that uses the for example public authority may obtain score for natural person creditworthiness assessment produced by another company specialised in creditworthiness and risk assessments which are based on information about the individuals and their behaviour from variety of sources', 'examples of legitimate scoring practices in line with union and national law that are outside the scope of article ai act financial credit scoring systems used by creditors or credit information agencies to assess customer financial creditworthiness or outstanding debts providing credit score or determining their creditworthiness assessment which are based on the customer income and expenses and other financial and economic circumstances are out of scope of article ai act if they are relevant for the legitimate purpose of the credit scoring and if they comply with consumer protection specifying the type of data and the necessary safeguards to ensure the fair treatment of consumers in creditworthiness assessments']"
23,20,23_threat_imminent_terrorist_physical,"['threat', 'imminent', 'terrorist', 'physical', 'safety', 'critical', 'disruption', 'destruction', 'infrastructure', 'safeguard']","['an imminent threat to life or physical safety is threat that can occur at any moment and requires immediate action to be substantial threat to physical safety relates to serious bodily injuries', 'recital ai act clarifies that an imminent threat to life or the physical safety of natural persons may also include an imminent threat to critical where the disruption or destruction of such critical infrastructure would result in an imminent threat to the life or the physical safety of person including through serious harm to the provision of basic supplies to the population or to the exercise of the core function of the for serious disruption and destruction of critical infrastructure power plant water supply or hospital may result in an imminent threat to the life or the physical safety of person when there is serious harm of cessation of basic supplies to the population deprivation of electricity or drinkable water for long period in particularly warm or cold weather etc', 'the prevention of specific substantial and imminent threat to the life or physical safety of natural persons or genuine and present or genuine and foreseeable threat of terrorist attack']"
24,20,24_surveillance_authorities_states_europol,"['surveillance', 'authorities', 'states', 'europol', 'designate', 'interim', 'supervisory', 'agencies', 'reports', 'enforcement']","['annual reports by the national market surveillance authorities and the national data protection authorities of member states', 'market surveillance authorities market surveillance authorities designated by the member states as well as the european data protection supervisor as the market surveillance authority for the eu institutions agencies and bodies are responsible for the enforcement of the rules in the ai act for ai systems including the prohibitions', 'market surveillance authorities']"
25,20,25_deployers_providers_responsibilities_importers,"['deployers', 'providers', 'responsibilities', 'importers', 'distributors', 'operators', 'prohibitions', 'manufacturers', 'worldwide', 'distributor']","['the prohibition therefore applies to both providers and deployers of ai systems each within their respective responsibilities not to place on the market put into service or use such systems', 'the prohibition therefore applies to both providers and deployers of ai systems each within their respective responsibilities not to place on the market put into service or use such ai systems', 'the prohibition therefore applies to both providers and deployers of ai systems each within their respective responsibilities not to place on the market put into service or use such ai systems']"
26,19,26_prohibition_concepts_circumvention_effectiveness,"['prohibition', 'concepts', 'circumvention', 'effectiveness', 'scope', 'avoid', 'delineating', 'admissibility', 'exclusion', 'conditions']","['main concepts and components of the prohibition', 'main concepts and components of the prohibition', 'main concepts and components of the prohibition']"
27,19,27_vulnerabilities_disabilities_disadvantaged_disability,"['vulnerabilities', 'disabilities', 'disadvantaged', 'disability', 'exploited', 'exploitative', 'groups', 'financial', 'targeting', 'discrimination']","['by contrast ai applications that are not designed in an accessible manner should not be regarded to exploit vulnerabilities of persons with disabilities since they do not specifically target those vulnerabilities but are simply inaccessible to the persons with disabilities', 'these examples of exploitative ai practices should be distinguished from numerous other ai systems which do not exploit the vulnerabilities of children persons with disabilities or persons in specific social or economic situations and are not reasonably likely to cause significant harms but aim to benefit those persons when properly designed and used see also section out of scope', 'exploitation of vulnerabilities due to age disability or specific social or situation to fall within the scope of the prohibition in article ai act the ai system must exploit vulnerabilities inherent to certain individuals or groups of persons due to their age disability or specific social or economic situation making them particularly susceptible to manipulative and exploitative practices']"
28,19,28_equal_audiovisual_definitions_repealing,"['equal', 'audiovisual', 'definitions', 'repealing', 'services', 'avmsd', 'implementing', 'violence', 'credit', 'employment']","['see in particular the directive of the european parliament and of the council of march on the coordination of certain provisions laid down by law regulation or administrative action in member states concerning the provision of audiovisual media services oj avmsd', 'directive of the european parliament and of the council of march on the coordination of certain provisions laid down by law regulation or administrative action in member states concerning the provision of audiovisual media services audiovisual media services directive avmsd amended by directive eu that inter alia aim to improve the protection for children and tackle hate speech more effectively', 'council directive of june implementing the principle of equal treatment between persons irrespective of racial or ethnic origin oj council directive of november establishing general framework for equal treatment in employment and occupation oj directive of the european parliament and of the council of july on the implementation of the principle of equal opportunities and equal treatment of men and women in matters of employment and occupation recast oj council directive of december implementing the principle of equal treatment between men and women in the access to and supply of goods and services oj']"
29,18,29_biometric_orientation_categorisation_beliefs,"['biometric', 'orientation', 'categorisation', 'beliefs', 'political', 'lawfully', 'categorises', 'datasets', 'colour', 'photos']","['in particular article ai act excludes the possibilities for biometric categorisation of natural persons based on their biometric data as defined in the ai act to infer race political opinions trade union membership religious or philosophical beliefs or sexual orientation subject to the exception for labelling or filtering of lawfully acquired biometric data sets including in the area of law enforcement as described above', 'main concepts and components of the prohibition article ai act provides the following ai practices shall be prohibited the placing on the market the putting into service for this specific purpose or the use of biometric categorisation systems that categorise individually natural persons based on their biometric data to deduce or infer their race political opinions trade union membership religious or philosophical beliefs or sexual orientation this prohibition does not cover any labelling or filtering of lawfully acquired biometric datasets such as images based on biometric data or categorising of biometric data in the area of law enforcement recital ai act', 'article ai act biometric categorisation for certain sensitive characteristics article ai act prohibits biometric categorisation systems that categorise individually natural persons based on their biometric data to deduce or infer their race political opinions trade union membership religious or philosophical beliefs or sexual orientation']"
30,18,30_harm_causal_adverse_psychological,"['harm', 'causal', 'adverse', 'psychological', 'threshold', 'impacts', 'reasonableness', 'injuries', 'lead', 'financial']","['reasonably likely to cause significant harm finally for the prohibition in article ai act to apply the distortion of the behaviour of person or group of persons must cause or be reasonably likely to cause that person another person or group of persons significant harm', 'reasonably likely to cause significant harm finally for the prohibition in article ai act to apply the distortion of the behaviour of the vulnerable person or group of persons must cause or be reasonably likely to cause that person or another person significant harm', 'as explained in section significant harm encompasses range of significant adverse impacts including physical psychological financial and economic harms that must be reasonably likely to occur for the prohibition in article ai act to apply']"
