Topic,Count,Name,Representation,Representative_Docs
-1,20,-1_data_ecosystem_digital_practices,"['data', 'ecosystem', 'digital', 'practices', 'policies', 'investment', 'governments', 'research', 'managing', 'lead']","['the only official versions are the english and french texts available on the oecd website background information the recommendation on artificial intelligence ai hereafter the recommendation the first intergovernmental standard on ai was adopted by the oecd council meeting at ministerial level on may on the proposal of the digital policy committee dpc formerly the committee on digital economy policy cdep', 'governments should also consider public investment and encourage private investment in source tools and open datasets that are representative and respect privacy and data protection to support an environment for ai research and development that is free of harmful bias and to improve interoperability and use of standards', 'ai knowledge ai knowledge refers to the skills and resources such as data code algorithms models research training programmes governance processes and best practices required to understand and participate in the ai system lifecycle including managing risks']"
0,21,0_instruments_translation_substantive_agreements,"['instruments', 'translation', 'substantive', 'agreements', 'languages', 'territory', 'compendium', 'international', 'organisation', 'challenges']","['the oecd member countries are australia austria belgium canada chile colombia costa rica the czech republic denmark estonia finland france germany greece hungary iceland ireland israel italy japan korea latvia lithuania luxembourg mexico the netherlands new zealand norway poland portugal the slovak republic slovenia spain sweden switzerland türkiye the united kingdom and the united states', 'oecd legal instruments since the creation of the oecd in around substantive legal instruments have been developed within its framework', 'all substantive oecd legal instruments whether in force or abrogated are listed in the online compendium of oecd legal instruments']"
1,18,1_policy_governments_observatory_initiatives,"['policy', 'governments', 'observatory', 'initiatives', 'stakeholders', 'social', 'community', 'academia', 'workers', 'expertise']","['the network of experts one ai is an informal group of ai experts from government business academia and civil society that provides policy expertise and advice to the oecd', 'the working party supports the implementation of the oecd recommendation on artificial intelligence develops practical guidance for implementation provides forum and online hub for exchanging information on ai policy and activities through the policy observatory and foster and interdisciplinary dialogue through the expert groups of the network of experts', 'to provide an inclusive forum for exchanging information on ai policy and activities and to foster and interdisciplinary dialogue the oecd launched the ai policy observatory as well as ii the informal oecd network of experts on ai one ai in february']"
2,15,2_recommendation_dpc_developments_technological,"['recommendation', 'dpc', 'developments', 'technological', 'policy', 'international', 'revised', 'committee', 'governance', 'facilitate']","['further work to support the implementation of the recommendation in addition to reporting to the council on the implementation of the recommendation the dpc is also instructed to continue its work on ai building on this recommendation and taking into account work in other international fora such as unesco the european union the council of europe and the initiative to build an international panel on ai see intelligence and', 'instructs the digital policy committee through its working party on ai governance to continue its important work on artificial intelligence building on this recommendation and taking into account work in other international fora and to further develop the measurement framework for ai policies develop and iterate further practical guidance on the implementation of this recommendation to meet evolving developments and new policy priorities provide forum for exchanging information on ai policy and activities including experience with the implementation of this recommendation and to foster and interdisciplinary dialogue to promote trust in and adoption of ai and report to council in consultation with other relevant committees on the implementation dissemination and continued relevance of this recommendation no later than five years following its revision and at least every ten years thereafter', 'on the basis of the report to council on its implementation dissemination and continued relevance the recommendation was revised by the oecd council meeting at ministerial level on may to reflect technological and policy developments including with respect to generative ai and to further facilitate its implementation']"
3,13,3_rights_stewardship_responsible_values,"['rights', 'stewardship', 'responsible', 'values', 'principles', 'sustainable', 'ensuring', 'accountability', 'stakeholders', 'development']","['the recommendation aims to foster innovation and trust in ai by promoting the responsible stewardship of trustworthy ai while ensuring respect for human rights and democratic values', 'respect for the rule of law human rights and democratic values including fairness and privacy ai actors should respect the rule of law human rights democratic and values throughout the ai system lifecycle', 'principles for responsible stewardship of trustworthy ai the first section sets out five complementary principles relevant to all stakeholders inclusive growth sustainable development and ii respect for the rule of law human rights and democratic values including fairness and iii transparency and explainability iv robustness security and safety and accountability']"
4,12,4_recommendation_adoption_participatory_dpc,"['recommendation', 'adoption', 'participatory', 'dpc', 'binding', 'dissemination', 'draft', 'ministerial', 'proposed', 'meetings']","['implementation the recommendation instructs the dpc to report to the council on its implementation dissemination and continued relevance five years after its adoption and regularly thereafter', 'in line with the conclusions of the report to council the recommendation was further revised at the meeting of the council at ministerial level to maintain its continued relevance and facilitate its implementation five years after its adoption', 'report to council the dpc through aigo developed report to the council on the implementation dissemination and continued relevance of the recommendation five years after its implementation and proposed draft revisions drawing from its conclusions']"
5,11,5_misuse_stakeholders_risks_responsible,"['misuse', 'stakeholders', 'risks', 'responsible', 'disclosure', 'exhibit', 'overridden', 'organisations', 'decommissioned', 'suppliers']","['to this end ai actors should implement mechanisms and safeguards such as capacity for human agency and oversight including to address risks arising from uses outside of intended purpose intentional misuse or unintentional misuse in manner appropriate to the context and consistent with the state of the art', 'ai actors should based on their roles the context and their ability to act apply systematic risk management approach to each phase of the ai system lifecycle on an ongoing basis and adopt responsible business conduct to address risks related to ai systems including as appropriate via between different ai actors suppliers of ai knowledge and ai resources ai system users and other stakeholders', 'specific updates aimed at reflecting the growing importance of addressing misinformation and disinformation and safeguarding information integrity in the context of generative ai addressing uses outside of intended purpose intentional misuse or unintentional misuse clarifying the information ai actors should provide regarding ai systems to ensure transparency and responsible disclosure addressing safety concerns so that if ai systems risk causing undue harm or exhibit undesired behaviour they can be overridden repaired decommissioned safely by human interaction emphasising responsible business conduct throughout the ai system lifecycle involving operation with suppliers of ai knowledge and ai resources ai system users and other stakeholders underscoring the need for jurisdictions to work together to promote interoperable governance and policy environments for ai against the increase in ai policy initiatives worldwide and introducing an explicit reference to environmental sustainability of which the importance has grown considerably since the adoption of the recommendation in']"
6,11,6_lifecycle_information_outputs_decisions,"['lifecycle', 'information', 'outputs', 'decisions', 'processes', 'logic', 'interact', 'limitations', 'led', 'involves']","['to this end they should provide meaningful information appropriate to the context and consistent with the state of art to foster general understanding of ai systems including their capabilities and limitations ii', 'where feasible and useful to provide plain and information on the sources of factors processes logic that led to the prediction content recommendation or decision to enable those affected by an ai system to understand the output and iv', 'to this end ai actors should ensure traceability including in relation to datasets processes and decisions made during the ai system lifecycle to enable analysis of the ai system outputs and responses to inquiry appropriate to the context and consistent with the state of the art']"
7,9,7_trustworthy_development_policy_global,"['trustworthy', 'development', 'policy', 'global', 'economic', 'regard', 'governments', 'innovation', 'sustainable', 'digital']","['investing in ai research and development governments should consider public investment and encourage private investment in research and development and open science including interdisciplinary efforts to spur innovation in trustworthy ai that focus on challenging technical issues and on social legal and ethical implications and policy issues', 'national policies and international for trustworthy ai consistent with the five aforementioned principles the second section provides five recommendations to members and having adhered to the recommendation hereafter the adherents to implement in their national policies and international investing in ai research and development ii fostering an inclusive ecosystem iii shaping an enabling interoperable governance and policy environment for ai iv building human capacity and preparing for labour market transformation and international for trustworthy ai', 'the council having regard to article of the convention on the organisation for economic and development of december having regard to standards developed by the oecd in the areas of privacy digital security consumer protection and responsible business conduct having regard to the sustainable development goals set out in the agenda for sustainable development adopted by the united nations general assembly as well as the universal declaration of human rights having regard to the important work being carried out on artificial intelligence hereafter ai in other international governmental and fora recognising that ai has pervasive and global implications that are transforming societies economic sectors and the world of work and are likely to increasingly do so in the future recognising that ai has the potential to improve the welfare and of people to contribute to positive sustainable global economic activity to increase innovation and productivity and to help respond to key global challenges recognising that at the same time these transformations may have disparate effects within and between societies and economies notably regarding economic shifts competition transitions in the labour market inequalities and implications for democracy and human rights privacy and data protection and digital security recognising that trust is key enabler of digital transformation that although the nature of future ai applications and their implications may be hard to foresee the trustworthiness of ai systems is key factor for the diffusion and adoption of ai and that public debate is necessary for capturing the beneficial potential of the technology while limiting the risks associated with it underlining that certain existing national and international legal regulatory and policy frameworks already have relevance to ai including those related to human rights consumer and personal data protection intellectual property rights responsible business conduct and competition while noting that the appropriateness of some frameworks may need to be assessed and new approaches developed recognising that given the rapid development and implementation of ai there is need for stable policy environment that promotes approach to trustworthy ai that fosters research preserves economic incentives to innovate and that applies to all stakeholders according to their role and the context considering that embracing the opportunities offered and addressing the challenges raised by ai applications and empowering stakeholders to engage is essential to fostering adoption of trustworthy ai in society and to turning ai trustworthiness into competitive parameter in the global marketplace']"
8,8,8_principles_policies_governance_healthcare,"['principles', 'policies', 'governance', 'healthcare', 'finance', 'expectation', 'engagement', 'flexibility', 'education', 'achieving']","['they should also adopt approaches that provide flexibility in achieving governance objectives and within and across jurisdictions to promote interoperable governance and policy environments as appropriate', 'they represent political commitment to the principles they contain and entail an expectation that adherents will do their best to implement them', 'the organisation provides setting where governments can compare policy experiences seek answers to common problems identify good practice and work to domestic and international policies']"
