Topic,Count,Name,Representation,Representative_Docs
-1,73,-1_skills_rights_education_data,"['skills', 'rights', 'education', 'data', 'ethical', 'assessment', 'recommendation', 'ethics', 'adoption', 'ecosystems']","['member states and private sector companies should develop due diligence and oversight mechanisms to identify prevent mitigate and account for how they address the impact of ai systems on the respect for human rights rule of law and inclusive societies', 'member states and public authorities should carry out transparent of existing and proposed ai systems which in particular should include the assessment of whether the adoption of ai is appropriate and if so should include further assessment to determine what the appropriate method is as well as assessment as to whether such adoption would result in violations or abuses of member states human rights law obligations and if that is the case prohibit its use', 'the objectives of this recommendation are to provide universal framework of values principles and actions to guide states in the formulation of their legislation policies or other instruments regarding ai consistent with international law to guide the actions of individuals groups communities institutions and private sector companies to ensure the embedding of ethics in all stages of the ai system life cycle to protect promote and respect human rights and fundamental freedoms human dignity and equality including gender equality to safeguard the interests of present and future generations to preserve the environment biodiversity and ecosystems and to respect cultural diversity in all stages of the ai system life cycle to foster multidisciplinary and pluralistic dialogue and consensus building about ethical issues relating to ai systems to promote equitable access to developments and knowledge in the field of ai and the sharing of benefits with particular attention to the needs and contributions of lmics including ldcs lldcs and sids']"
0,30,0_environmental_sustainable_environment_ecosystem,"['environmental', 'sustainable', 'environment', 'ecosystem', 'humanity', 'sustainability', 'technologies', 'carbon', 'consumption', 'footprint']","['member states and business enterprises should assess the direct and indirect environmental impact throughout the ai system life cycle including but not limited to its carbon footprint energy consumption and the environmental impact of raw material extraction for supporting the manufacturing of ai technologies and reduce the environmental impact of ai systems and data infrastructures', 'this value demands that peace inclusiveness and justice equity and interconnectedness should be promoted throughout the life cycle of ai systems in so far as the processes of the life cycle of ai systems should not segregate objectify or undermine freedom and autonomous as well as the safety of human beings and communities divide and turn individuals and groups against each other or threaten the coexistence between humans other living beings and the natural environment', 'the value of living in peaceful and just societies points to the potential of ai systems to contribute throughout their life cycle to the interconnectedness of all living creatures with each other and with the natural environment']"
1,27,1_data_information_transparency_datasets,"['data', 'information', 'transparency', 'datasets', 'access', 'standards', 'privacy', 'public', 'compliance', 'security']","['data collection and processing should be conducted in accordance with international law national legislation on data protection and data privacy and the values and principles outlined in this recommendation', 'data protection frameworks and any related mechanisms should take reference from international data protection principles and standards concerning the collection use and disclosure of personal data and exercise of their rights by data subjects while ensuring legitimate aim and valid legal basis for the processing of personal data including informed consent', 'member states should ensure that individuals retain rights over their personal data and are protected by framework which notably foresees transparency appropriate safeguards for the processing of sensitive data an appropriate level of data protection effective and meaningful accountability schemes and mechanisms the full enjoyment of the data subjects rights and the ability to access and erase their personal data in ai systems except for certain circumstances in compliance with international law an appropriate level of protection in full compliance with data protection legislation where data are being used for commercial purposes such as enabling advertising transferred border and an effective independent oversight as part of data governance mechanism which keeps individuals in control of their personal data and fosters the benefits of free flow of information internationally including access to data']"
2,27,2_guidelines_trustworthiness_biases_fairness,"['guidelines', 'trustworthiness', 'biases', 'fairness', 'legislation', 'authorities', 'algorithms', 'decisions', 'mechanisms', 'technical']","['to ensure this such regulatory frameworks should be consistent with the principle of human oversight and establish comprehensive approach focused on ai actors and the technological processes involved across the different stages of the ai system life cycle', 'the values and principles included below should be respected by all actors in the ai system life cycle in the first place and where needed and appropriate be promoted through amendments to the existing and elaboration of new legislation regulations and business guidelines', 'ai actors need to ensure that they are accountable for the design and implementation of ai systems in such way as to ensure that personal information is protected throughout the life cycle of the ai system']"
3,26,3_stakeholders_programmes_rights_sector,"['stakeholders', 'programmes', 'rights', 'sector', 'dignity', 'freedoms', 'law', 'regulations', 'policies', 'international']","['nothing in this recommendation may be interpreted as replacing altering or otherwise prejudicing states obligations or rights under international law or as approval for any state other political economic or social actor group or person to engage in any activity or perform any act contrary to human rights fundamental freedoms human dignity and concern for the environment and ecosystems both living and', 'stakeholders include but are not limited to governments intergovernmental organizations the technical community civil society researchers and academia media education private sector companies human rights institutions and equality bodies monitoring bodies and groups for youth and children', 'the main action is for member states to put in place effective measures including for example policy frameworks or mechanisms and to ensure that other stakeholders such as private sector companies academic and research institutions and civil society adhere to them by among other actions encouraging all stakeholders to develop human rights rule of law democracy and ethical impact assessment and due diligence tools in line with guidance including the united nations guiding principles on business and human rights']"
4,20,4_ethics_nations_technologies_ethical,"['ethics', 'nations', 'technologies', 'ethical', 'convention', 'development', 'recommendation', 'methodology', 'readiness', 'cultural']","['in order to enable the effective implementation of this recommendation unesco will therefore develop readiness assessment methodology to assist interested member states in identifying their status at specific moments of their readiness trajectory along continuum of dimensions and ensure support for interested member states in terms of developing unesco methodology for ethical impact assessment eia of ai technologies sharing of best practices assessment guidelines and other mechanisms and analytical work', 'to support member states unesco can contribute by developing unesco methodology for ethical impact assessment eia of ai technologies based on rigorous scientific research and grounded in international human rights law guidance for its implementation in all stages of the ai system life cycle and materials to support member states efforts to train government officials and other relevant ai actors on eia methodology developing unesco readiness assessment methodology to assist member states in identifying their status at specific moments of their readiness trajectory along continuum of dimensions developing unesco methodology to evaluate ex ante and ex post the effectiveness and efficiency of the policies for ai ethics and incentives against defined objectives strengthening the and analysis of and reporting on policies regarding ai ethics collecting and disseminating progress innovations research reports scientific publications data and statistics regarding policies for ai ethics including through existing initiatives to support sharing best practices and mutual learning and to advance the implementation of this recommendation', 'final provisions preamble the general conference of the united nations educational scientific and cultural organization unesco meeting in paris from to november at its session recognizing the profound and dynamic positive and negative impacts of artificial intelligence ai on societies environment ecosystems and human lives including the human mind in part because of the new ways in which its use influences human thinking interaction and and affects education human social and natural sciences culture and communication and information recalling that by the terms of its constitution unesco seeks to contribute to peace and security by promoting collaboration among nations through education the sciences culture and communication and information in order to further universal respect for justice for the rule of law and for the human rights and fundamental freedoms which are affirmed for the peoples of the world convinced that the recommendation presented here as instrument developed through global approach based on international law focusing on human dignity and human rights as well as gender equality social and economic justice and development physical and mental diversity interconnectedness inclusiveness and environmental and ecosystem protection can guide ai technologies in responsible direction guided by the purposes and principles of the charter of the united nations considering that ai technologies can be of great service to humanity and all countries can benefit from them but also raise fundamental ethical concerns for instance regarding the biases they can embed and exacerbate potentially resulting in discrimination inequality digital divides exclusion and threat to cultural social and biological diversity and social or economic divides the need for transparency and understandability of the workings of algorithms and the data with which they have been trained and their potential impact on including but not limited to human dignity human rights and fundamental freedoms gender equality democracy social economic political and cultural processes scientific and engineering practices animal welfare and the environment and ecosystems also recognizing that ai technologies can deepen existing divides and inequalities in the world within and between countries and that justice trust and fairness must be upheld so that no country and no one should be left behind either by having fair access to ai technologies and enjoying their benefits or in the protection against their negative implications while recognizing the different circumstances of different countries and respecting the desire of some people not to take part in all technological developments conscious of the fact that all countries are facing an acceleration in the use of information and communication technologies and ai technologies as well as an increasing need for media and information literacy and that the digital economy presents important societal economic and environmental challenges and opportunities of sharing especially for and countries lmics including but not limited to least developed countries ldcs landlocked developing countries lldcs and small island developing states sids requiring the recognition protection and promotion of endogenous cultures values and knowledge in order to develop sustainable digital economies further recognizing that ai technologies have the potential to be beneficial to the environment and ecosystems and in order for those benefits to be realized potential harms to and negative impacts on the environment and ecosystems should not be ignored but instead addressed noting that addressing risks and ethical concerns should not hamper innovation and development but rather provide new opportunities and stimulate research and innovation that anchor ai technologies in human rights and fundamental freedoms values and principles and moral and ethical reflection also recalling that in november the general conference of unesco at its session adopted resolution by which it mandated the to prepare an international instrument on the ethics of artificial intelligence ai in the form of recommendation which is to be submitted to the general conference at its session in recognizing that the development of ai technologies necessitates commensurate increase in data media and information literacy as well as access to independent pluralistic trusted sources of information including as part of efforts to mitigate risks of misinformation disinformation and hate speech and harm caused through the misuse of personal data observing that normative framework for ai technologies and its social implications finds its basis in international and national legal frameworks human rights and fundamental freedoms ethics need for access to data information and knowledge the freedom of research and innovation human and environmental and ecosystem and connects ethical values and principles to the challenges and opportunities linked to ai technologies based on common understanding and shared aims also recognizing that ethical values and principles can help develop and implement policy measures and legal norms by providing guidance with view to the fast pace of technological development also convinced that globally accepted ethical standards for ai technologies in full respect of international law in particular human rights law can play key role in developing norms across the globe bearing in mind the universal declaration of human rights the instruments of the international human rights framework including the convention relating to the status of refugees the discrimination employment and occupation convention the international convention on the elimination of all forms of racial discrimination the international covenant on civil and political rights the international covenant on economic social and cultural rights the convention on the elimination of all forms of discrimination against women the convention on the rights of the child and the convention on the rights of persons with disabilities the convention against discrimination in education the convention on the protection and promotion of the diversity of cultural expressions as well as any other relevant international instruments recommendations and declarations also noting the united nations declaration on the right to development the declaration on the responsibilities of the present generations towards future generations the universal declaration on bioethics and human rights the united nations declaration on the rights of indigenous peoples the united nations general assembly resolution on the review of the world summit on the information society the united nations general assembly resolution on transforming our world the agenda for sustainable development the recommendation concerning the preservation of and access to documentary heritage including in digital form the declaration of ethical principles in relation to climate change the recommendation on science and scientific researchers the internet universality indicators endorsed by unesco international programme for the development of communication in including the roam principles endorsed by unesco general conference in the human rights council resolution on the right to privacy in the digital age and the human rights council resolution on new and emerging digital technologies and human rights emphasizing that specific attention must be paid to lmics including but not limited to ldcs lldcs and sids as they have their own capacity but have been underrepresented in the ai ethics debate which raises concerns about neglecting local knowledge cultural pluralism value systems and the demands of global fairness to deal with the positive and negative impacts of ai technologies also conscious of the many existing national policies other frameworks and initiatives elaborated by relevant united nations entities intergovernmental organizations including regional organizations as well as those by the private sector professional organizations organizations and the scientific community related to the ethics and regulation of ai technologies further convinced that ai technologies can bring important benefits but that achieving them can also amplify tension around innovation asymmetric access to knowledge and technologies including the digital and civic literacy deficit that limits the public ability to engage in topics related to ai as well as barriers to access to information and gaps in capacity human and institutional capacities barriers to access to technological innovation and lack of adequate physical and digital infrastructure and regulatory frameworks including those related to data all of which need to be addressed underlining that the strengthening of global cooperation and solidarity including through multilateralism is needed to facilitate fair access to ai technologies and address the challenges that they bring to diversity and interconnectivity of cultures and ethical systems to mitigate potential misuse to realize the full potential that ai can bring especially in the area of development and to ensure that national ai strategies are guided by ethical principles taking fully into account that the rapid development of ai technologies challenges their ethical implementation and governance as well as the respect for and protection of cultural diversity and has the potential to disrupt local and regional ethical standards and values']"
5,19,5_rights_respect_law_freedoms,"['rights', 'respect', 'law', 'freedoms', 'international', 'privacy', 'standards', 'protected', 'ethical', 'practices']","['amendments to the existing or elaboration of new national legislation addressing ai systems must comply with member states human rights law obligations and promote human rights and fundamental freedoms throughout the ai system life cycle', 'ai actors and member states should respect protect and promote human rights and fundamental freedoms and should also promote the protection of the environment and ecosystems assuming their respective ethical and legal responsibility in accordance with national and international law in particular member states human rights obligations and ethical guidance throughout the life cycle of ai systems including with respect to ai actors within their effective territory and control', 'therefore respect protection and promotion of human dignity and rights as established by international law including international human rights law is essential throughout the life cycle of ai systems']"
6,19,6_digital_access_education_participation,"['digital', 'access', 'education', 'participation', 'literacy', 'technologies', 'poverty', 'skills', 'development', 'research']","['these gaps include the gender wage gap the unequal representation in certain professions and activities the lack of representation at top management positions boards of directors or research teams in the ai field the education gap the digital and ai access adoption usage and affordability gap and the unequal distribution of unpaid work and of the caring responsibilities in our societies', 'public awareness and understanding of ai technologies and the value of data should be promoted through open and accessible education civic engagement digital skills and ai ethics training media and information literacy and training led jointly by governments intergovernmental organizations civil society academia the media community leaders and the private sector and considering the existing linguistic social and cultural diversity to ensure effective public participation so that all members of society can take informed decisions about their use of ai systems and be protected from undue influence', 'member states should work with international organizations educational institutions and private and entities to provide adequate ai literacy education to the public on all levels in all countries in order to empower people and reduce the digital divides and digital access inequalities resulting from the wide adoption of ai systems']"
7,17,7_cultural_diversity_languages_vulnerable,"['cultural', 'diversity', 'languages', 'vulnerable', 'benefits', 'social', 'participation', 'inclusive', 'rural', 'endangered']","['this may be done by promoting active participation of all individuals or groups regardless of race colour descent gender age language religion political opinion national origin ethnic origin social origin economic or social condition of birth or disability and any other grounds', 'cultural identity and diversity as ai technologies can enrich cultural and creative industries but can also lead to an increased concentration of supply of cultural content data markets and income in the hands of only few actors with potential negative implications for the diversity and pluralism of languages media cultural expressions participation and equality', 'at the national level member states should promote equity between rural and urban areas and among all persons regardless of race colour descent gender age language religion political opinion national origin ethnic origin social origin economic or social condition of birth or disability and any other grounds in terms of access to and participation in the ai system life cycle']"
8,17,8_ethical_labour_assessment_ecosystems,"['ethical', 'labour', 'assessment', 'ecosystems', 'gender', 'environment', 'areas', 'governance', 'health', 'deliberation']","['policy area ethical impact assessment', 'policy area data policy', 'areas of policy action policy area ethical impact assessment policy area ethical governance and stewardship policy area data policy policy area development and international cooperation policy area environment and ecosystems policy area gender policy area culture policy area education and research policy area communication and information policy area economy and labour policy area health and social monitoring and evaluation vi']"
