Topic,Count,Name,Representation,Representative_Docs
-1,413,-1_governance_risks_rights_development,"['governance', 'risks', 'rights', 'development', 'nations', 'benefits', 'principle', 'humanity', 'research', 'reporting']","['acting as the glue that supports and catalyses the proposals in this report partnering and interfacing with other processes and institutions the office mandate would include providing support for the proposed international scientific panel policy dialogue standards exchange capacity development network and to the extent required the global fund and global ai data framework engaging in outreach to diverse stakeholders including technology companies civil society and academia on emerging ai issues and advising the on matters related to ai coordinating with other relevant parts of the united nations system to offer nations response', 'figure ai governance functions proposed at the international level norm elaboration compliance and accountability reporting and peer review international collaboration on data compute and talent to solve the sdgs facilitation of development and use liability regime model training and testing mediating standards safety and risk management frameworks interoperability horizontal and alignment vertical with norms building scientific consensus institutional hardness ai governance functions final report emphasis on human ai governance based on the extensive consultations conducted by the advisory body following the publication of its interim report guiding principle ai governance should be anchored in the charter of the united nations international human rights law and other agreed international commitments garnered the strongest support across all sectors of stakeholders including governments civil society the technical community academia and the private sector', 'nevertheless the legitimacy arising from its unique inclusiveness coupled with its binding normative foundations in international law including international human rights law presents hope for governing ai for the benefit and protection of humanity in manner that is equitable effective and figure overview of recommendations and how they address global ai governance gaps purpose enhance representation enable coordination strengthen implementation common understanding international scientific panel on ai common ground policy dialogue on ai governance ai standards exchange common benefits capacity development network global fund for ai global ai data framework coherent effort ai office within the secretariat advising the on matters related to ai working to promote coherent voice within the united nations system engaging states and stakeholders partnering and interfacing with other processes and institutions and supporting other proposals as required']"
0,137,0_capacity_development_models_funding,"['capacity', 'development', 'models', 'funding', 'infrastructure', 'centres', 'sdgs', 'enablers', 'resources', 'entrepreneurs']","['final report recommendation capacity development network we recommend the creation of an ai capacity development network to link up set of collaborating united capacity development centres making available expertise compute and ai training data to key actors', 'governing ai for humanity capacity development network recommendation capacity development network we recommend the creation of an ai capacity development network to link up set of collaborating united capacity development centres making available expertise compute and ai training data to key actors', 'managed by an independent governance structure the fund would receive financial and contributions from public and private sources and disburse them including via the capacity development network to facilitate access to ai enablers to catalyse local empowerment for the sdgs including shared computing resources for model training and by ai developers from countries without adequate local capacity or the means to procure it sandboxes and benchmarking and testing tools to mainstream best practices in safe and trustworthy model development and data governance governance safety and interoperability solutions with global applicability data sets and research into how data and models could be combined for projects and repository of ai models and curated data sets for the sdgs']"
1,55,1_governance_gaps_international_initiatives,"['governance', 'gaps', 'international', 'initiatives', 'inclusive', 'emerging', 'institutions', 'comprehensive', 'equitable', 'coordination']","['only such an inclusive and comprehensive approach to ai governance can address the multifaceted and evolving challenges and opportunities ai presents on global scale promoting international stability and equitable development', 'global ai governance gaps', 'global ai governance gaps']"
2,48,2_multidisciplinary_knowledge_collaboration_misperceptions,"['multidisciplinary', 'knowledge', 'collaboration', 'misperceptions', 'trust', 'experts', 'scientists', 'alphafold', 'protein', 'physicists']","['common understanding international scientific panel on ai', 'figure representation in seven nations international ai governance initiatives governing ai for humanity international scientific panel on ai xxiii learning from precedents such as the intergovernmental panel on climate change ipcc and the united nations scientific committee on the effects of atomic radiation an international multidisciplinary scientific panel on ai could collate and catalyse research to inform scientists policymakers member states and other stakeholders seeking scientific perspectives on ai technology or its applications from an impartial credible source', 'international scientific panel on ai recommendation an international scientific panel on ai we recommend the creation of an independent international scientific panel on ai made up of diverse multidisciplinary experts in the field serving in their personal capacity on voluntary basis']"
3,45,3_concern_expertise_risks_gender,"['concern', 'expertise', 'risks', 'gender', 'respondents', 'average', 'weog', 'perceptions', 'technical', 'rating']","['under total average very concerned concerned somewhat concerned slightly concerned not concerned not shown due to small sample by age what is your current overall level of concern that harms existing or new resulting from ai will become substantially more serious widespread in the next months note excludes don know no opinion and blank responses', 'autonomous weapons unintended interactions among ai systems men women women men by gender please rate your current level of concern that harms existing or new resulting from ai will become substantially more serious widespread in the next months for each shown average where not concerned slightly concerned somewhat concerned concerned very concerned', 'autonomous weapons unintended interactions among ai systems weog weog by region please rate your current level of concern that harms existing or new resulting from ai will become substantially more serious widespread in the next months for each shown average where not concerned slightly concerned somewhat concerned concerned very concerned']"
4,43,4_data_framework_privacy_global,"['data', 'framework', 'privacy', 'global', 'governance', 'empowerment', 'preservation', 'ecosystems', 'interoperability', 'jurisdictions']","['only global collective action can promote race to the top in the governance of the collection creation use and monetization of ai training data in ways that further interoperability stewardship privacy preservation empowerment and rights enhancement', 'li only global collective action can incentivize interoperability stewardship privacy preservation empowerment and rights enhancement in ways that promote race to the top across jurisdictions towards protection of human rights and other agreed commitments data availability and fair compensation to data subjects in the governance of the collection creation use and monetization of ai training data', 'recommendation global ai data framework we recommend the creation of global ai data framework developed through process initiated by relevant agency such as the united nations commission on international trade law and informed by the work of other international organizations for outlining definitions and principles for global governance of ai training data including as distilled from existing best practices and to promote cultural and linguistic diversity establishing common standards around ai training data provenance and use for transparent and accountability across jurisdictions and instituting data stewardship and exchange mechanisms for enabling flourishing local ai ecosystems globally such as data trusts ii global marketplaces for exchange of anonymized data for training ai models and iii model agreements for facilitating international data access and global interoperability potentially as protocols to the framework']"
5,37,5_safety_standards_compliance_icao,"['safety', 'standards', 'compliance', 'icao', 'audits', 'validation', 'norms', 'principles', 'ethics', 'uphold']","['there are also disconnects between those standards that were adopted for narrow technical or internal validation purposes and those that are intended to incorporate broader ethical principles', 'in civil aviation the icao safety and security standards developed by industry and government experts and enforced through market access restrictions ensure that plane that takes off from for example new york can land in geneva without triggering new safety audits', 'we now have an emerging set of standards that are not grounded in common understanding of meaning or are divorced from the values that they were intended to uphold']"
6,30,6_nations_cultures_charter_coordination,"['nations', 'cultures', 'charter', 'coordination', 'diversity', 'uphold', 'international', 'emerging', 'wipo', 'plurilateral']","['the united nations system existing and emerging suite of norms can offer strong normative foundations for concerted action grounded in the charter of the united nations human rights and other international law including environmental law and international humanitarian law as well as the sdgs and other international these initiatives are not always directly comparable', 'some of the distinctive features of the united nations can be helpful in this regard anchoring inclusive dialogue in the united nations suite of norms including the charter of the united nations and human rights and international law can promote race to the top in governance approaches', 'from the millennium development goals to the sdgs the united nations has long contributed to the development of capacities of individuals and through the work of unesco wipo and others the united nations has helped to uphold the rich diversity of cultures and traditions across the globe']"
7,30,7_global_initiatives_cooperation_fig,"['global', 'initiatives', 'cooperation', 'fig', 'governments', 'challenges', 'inclusive', 'governance', 'plurilateral', 'costs']","['final report and connecting other initiatives such as those led by regional organizations and other plurilateral initiatives it can help to lower the costs of cooperation between them', 'they can help us to spot problems and opportunities in time use shared principles and frameworks to align international action promote international cooperation and build capacity of individuals and institutions to deal with change', 'enhancing global cooperation having outlined the global governance deficit we now turn to recommendations to address the priority gaps for the near term']"
8,29,8_safety_accountability_enforcement_fairness,"['safety', 'accountability', 'enforcement', 'fairness', 'transparency', 'security', 'military', 'thresholds', 'traced', 'standards']","['lxviii ai may similarly rise to level that requires more resources and more authority than is proposed in the recommendations into harder functions of norm elaboration implementation monitoring verification and validation enforcement accountability remedies for harm and emergency responses', 'there is no common language and many terms that are routinely used with respect to ai fairness safety transparency do not have agreed definitions or measurability despite recent work by oecd and the national institute of standards and technology adopting new approach for dynamic systems such as ai', 'they could include developing and promulgating standards and norms for ai safety monitoring ai systems that have the potential to threaten international peace and security or cause grave breaches of human rights or international humanitarian law final report receiving and investigating reports of incidents or misuses and reporting on serious breaches verifying compliance with international obligations coordinating accountability emergency responses and remedies for harm regarding ai safety incidents promoting international cooperation for peaceful uses of ai']"
