Topic,Count,Name,Representation,Representative_Docs
-1,46,-1_internet_business_governments_encourage,"['internet', 'business', 'governments', 'encourage', 'global', 'benefits', 'stakeholders', 'foster', 'disabilities', 'support']","['governments should also consider public investment and encourage private investment in open datasets that are representative and respect privacy and data protection to support an environment for ai research and development that is free of inappropriate bias and to improve interoperability and use of standards', 'the also reaffirms its commitment to fighting exploitation of the internet for violent extremist and terrorist purposes as well as promoting free open and secure internet and encourages the digital industry to continue to work together with all stakeholders in fighting use of the internet and social media for violent extremist and terrorist purposes and addressing content that incites terrorist acts', 'governments should also work closely with stakeholders to promote the responsible use of ai at work to enhance the safety of workers and the quality of jobs to foster entrepreneurship and productivity and aim to ensure that the benefits from ai are broadly and fairly shared']"
0,18,0_economy_digital_ministerial_governance,"['economy', 'digital', 'ministerial', 'governance', 'measurement', 'essential', 'commerce', 'innovation', 'policies', 'estonia']","['this meeting which gathered both trade ministers and digital economy ministers together for the first time presented an opportunity to deepen our understanding of the interface between trade and the digital economy', 'digital economy', 'between trade and the digital economy']"
1,17,1_flow_trust_transparency_interoperability,"['flow', 'trust', 'transparency', 'interoperability', 'privacy', 'standards', 'security', 'facilitate', 'development', 'implementations']","['such data free flow with trust will harness the opportunities of the digital economy', 'by continuing to address challenges related to privacy data protection intellectual property rights and security we can further facilitate data free flow and strengthen consumer and business trust', 'data free flow with trust']"
2,17,2_trustworthy_principles_governments_ecosystem,"['trustworthy', 'principles', 'governments', 'ecosystem', 'stewardship', 'annex', 'policy', 'ethical', 'innovation', 'technologies']","['investing in ai research and development governments should consider public investment and encourage private investment in research and development including efforts to spur innovation in trustworthy ai that focus on challenging technical issues and on social legal and ethical implications and policy issues', 'section principles for responsible stewardship of trustworthy ai', 'annex ai principles the supports the principles for responsible stewardship of trustworthy ai in section and takes note of the recommendations in section']"
3,14,3_inclusive_responsible_outcomes_empower,"['inclusive', 'responsible', 'outcomes', 'empower', 'information', 'sustainable', 'development', 'capacity', 'skills', 'stakeholders']","['to this end ai actors should implement mechanisms and safeguards such as capacity for human determination that are appropriate to the context and consistent with the state of art', 'inclusive growth sustainable development and stakeholders should proactively engage in responsible stewardship of trustworthy ai in pursuit of beneficial outcomes for people and the planet such as augmenting human capabilities and enhancing creativity advancing inclusion of underrepresented populations reducing economic social gender and other inequalities and protecting natural environments thus invigorating inclusive growth sustainable development and', 'to this end ai actors should ensure traceability including in relation to datasets processes and decisions made during the ai system lifecycle to enable analysis of the ai system outcomes and responses to inquiry appropriate to the context and consistent with the state of art']"
4,13,4_digitalization_benefits_msmes_entrepreneurs,"['digitalization', 'benefits', 'msmes', 'entrepreneurs', 'societies', 'innovation', 'technologies', 'growth', 'development', 'innovations']","['possessing the right skills and knowledge as well as creating consumer oriented digital environment has direct impact on the ability of people to reap the benefits of digitalization for their personal and professional life', 'digitalization also promotes social and cultural progress and development fosters innovation and empowers individuals and businesses including micro small and enterprises msmes to benefit from emerging technologies and data', 'discussions should continue with view to enhance the benefits of digitalization which is transforming every aspect of our economies and societies and can contribute to economic growth job creation inclusion development and innovation']"
5,13,5_practices_connectivity_globally_digitalization,"['practices', 'connectivity', 'globally', 'digitalization', 'infrastructure', 'sdgs', 'development', 'fiber', 'digital', 'sustainable']","['for this objective all members and other interested countries are invited to discuss how to make use of good practices and knowledge and to set actions into motion to collaborate cooperate and support the efforts for digitalization including advance progress towards sdgs in developing countries and regions', 'in order to share the benefits of digitalization globally to contribute to the implementation of the action plan on the agenda on sustainable development and leave no one behind we will endeavor to share good practices and lessons learnt from their experiences in solving social problems by using the repository of digital policies', 'we will continue to work toward future society and emphasize the importance of working with all interested parties and stakeholders in sharing good practices and experiences including inclusive digital economy business models in digitalization to advance globally inclusive development of digital society']"
6,11,6_investment_growth_global_sustainable,"['investment', 'growth', 'global', 'sustainable', 'chains', 'productivity', 'development', 'economic', 'integrated', 'options']","['we agree that expanding trade and investment will be important factors to promote future widespread economic prosperity and sustainable growth', 'international trade and investment should continue to be important engines of growth productivity innovation job creation and development', 'in particular global value chains are important features of the global economy which can help shape trade investment and development']"
7,11,7_organizations_policy_civil_approaches,"['organizations', 'policy', 'civil', 'approaches', 'efforts', 'stakeholders', 'holistic', 'managed', 'involvement', 'participated']","['the knowledge sharing activity will be supported by the world bank and other relevant international organizations within their existing mandates and core competencies and managed by interested members and other interested countries', 'international as well as national policy formulation with the involvement of all relevant stakeholders in their respective roles is instrumental to address wide range of societal challenges and facilitate discussion on how technology can be better incorporated into policy tools', 'we also recognize the role played by stakeholders such as private sector the technical community and civil society and relevant international organizations to further discuss those issues']"
8,11,8_participation_enhance_msmes_tensions,"['participation', 'enhance', 'msmes', 'tensions', 'trading', 'objectives', 'regulations', 'investors', 'multilateral', 'exporters']","['we affirmed the need to handle trade tensions and to foster mutually beneficial trade relations', 'we continued our dialogue to mitigate risks and enhance confidence among exporters and investors as we committed to do in mar del plata last year', 'we will continue to seek to enable enhanced participation by developing countries and msmes in global value chains in increasingly meaningful ways']"
9,10,9_osaka_japan_promoted_summit,"['osaka', 'japan', 'promoted', 'summit', 'cooperation', 'ministers', 'masatoshi', 'overview', 'tsukuba', 'prefecture']","['we share the notion of centered future society which is being promoted as society in japan', 'society is vision of future society promoted by the japanese government to achieve an advanced society which realizes economic growth and solves social challenges by advancing towards sustainable development goals sdgs through the increasing convergence of the physical world and the virtual world', 'taro kono minister for foreign affairs of the government of japan to further strengthen trade and digital economic policy cooperation']"
10,10,10_wto_initiatives_reform_urgency,"['wto', 'initiatives', 'reform', 'urgency', 'settlement', 'undertake', 'participants', 'negotiated', 'committees', 'dispute']","['we agree that action is necessary regarding the functioning of the dispute settlement system consistent with the rules as negotiated by the wto members', 'building on the leaders declaration in buenos aires we will work constructively with other wto members to undertake necessary wto reform with sense of urgency including in the to the twelfth wto ministerial conference', 'we also note ongoing initiatives to strengthen the activities of the wto regular committees and bodies in order to make the wto function more effectively']"
11,8,11_digital_gender_literacy_skills,"['digital', 'gender', 'literacy', 'skills', 'participation', 'frameworks', 'technology', 'itc', 'engineering', 'mathematics']","['in argentina focused on digital government the digital gender divide infrastructure deployment international organizations apt for digital economy eria imf itc for trade itu for digital economy oecd unctad world bank and wto', 'bridging the digital gender divide we reconfirm the importance of bridging the digital divide in ways such as development of skills for digital literacy enhancing digital access and adopting digital technologies with special attention to the digital gender divide while working towards the by goal that members committed to in brisbane and to people who are living in remote areas as discussed in earlier detfs under the german and argentinian presidencies', 'we further encourage countries to take actions to bridge the digital gender divide including through the development of frameworks to measure and track data and to make efforts to increase women access to digital networks while addressing abuse and violent online behavior toward women enhance women and girls participation in stem science technology engineering and mathematics support women entrepreneurship in digital business and work within existing partnerships and frameworks']"
12,8,12_security_digital_importance_vulnerabilities,"['security', 'digital', 'importance', 'vulnerabilities', 'awareness', 'governments', 'technologies', 'develop', 'iot', 'services']","['security in the digital economy is essential for strengthening our public confidence in digital technologies and the entire digital economy', 'we note relevant international organizations working on security in the digital economy within their existing mandates and efforts in security in the digital economy', 'security in the digital economy']"
