Topic,Count,Name,Representation,Representative_Docs
-1,147,-1_models_generative_generate_language,"['models', 'generative', 'generate', 'language', 'learning', 'pipelines', 'researchers', 'tools', 'privacy', 'assistants']","['adra strategic research innovation and deployment agenda areas for progress term objectives objectives evaluate landscape of tools and approaches for compliant adr systems ޘenterprise it solutions architecture models for adr systems models for ai ޘdata documentation methods ޘoversight methods ޘai system monitoring methods ޘformalized tools and languages of norms regulations ޘmetrics for privacy trustworthiness ޘmethods standards and tools to track data provenance ipr review sandboxing methods ޘoverview of ai sandbox methods ޘevaluate shortcomings sandboxing methods for the ai landscape auditing methods ޘevaluate existing auditing approaches ޘevaluate shortcomings', 'this includes for example analytical tools to simulate complex systems analyse data and generate insights that help solve global challenges across health environment climate cities public administration oceans transport energy and more research assistants capable of synthesising literature and data and supporting human researchers in their daily activities ޘai methods that help overcome the limitations of data for example through techniques to sharpen or enhance the quality of messy datasets technologies that unlock access to data or wider use of synthetic data adra strategic research innovation and deployment agenda that enable translating findings across disciplines and enabling teams of researchers to bring in expertise from different domains for complex decision making both in research and other steps of rdi ޘvisualisations or summarisations that help communicate the outputs of scientific research', 'it will include applications such as transfer learning and model marketplaces including descriptions of complex models through model metadata and considering model quality specific techniques such as and inheritance of capabilities benefits and harms from foundation language models to downstream models and consider dataops to manage those complex pipelines by fostering collaboration implementing automation promoting agility and ensuring continuous improvement']"
0,220,0_europe_needs_companies_development,"['europe', 'needs', 'companies', 'development', 'skills', 'education', 'technologies', 'research', 'resources', 'resilience']","['this largely reflects the fact that europe missed the last technology revolution lagging on value and growth in information and communications technology and on other disruptive to close this gap europe needs to take immediate measures to increase the volume of public and private investment involving established companies new companies and new business domains', 'this can include classical areas such as transport inspection and maintenance as well as the newly prioritized areas for resilience and technological sovereignty of europe due to the world crises such as critical raw materials act in addition to rare earth elements european chips act', 'most leading global companies have significant research development and production capabilities in europe']"
1,142,1_adr_european_technologies_innovation,"['adr', 'european', 'technologies', 'innovation', 'partnership', 'foundations', 'technological', 'industrial', 'developed', 'sustainable']","['research innovation and tools for compliance trust privacy security beyond compliance big ticket technological foundations in adr state of the art progress in fundamental adr research and the ability to deploy adr technologies for economic and social benefit are intertwined', 'adr vision adra strategic research innovation and deployment agenda by building bridges between disciplines as well as research innovation and deployment the adr partnership will reduce the fragmentation of the european adr landscape and contribute to establishing sustainable adr ecosystem that achieves global impact and spurs value creation', 'adr vision adr adr']"
2,133,2_robots_robotics_robotic_robot,"['robots', 'robotics', 'robotic', 'robot', 'soft', 'autonomy', 'safety', 'environments', 'manufacturing', 'capabilities']","['for wide deployment in key applications such as healthcare construction and warehousing step change in interoperability and configurability from current concepts and practices is needed human robot interaction hri most current robot systems either require no human interaction or direct human interaction using human in the loop control as they are based on operating scenarios with minimal uncertainty', 'foundation models for the above five areas soft robotics autonomy manipulation configurability hri should address key robotic challenges ޘfunctionality reaction requirement for robots interacting in the physical world', 'nevertheless technologies that allow robots to do more complex tasks in environments in collaboration with humans and other robots and their environment are still in their infancy']"
3,52,3_trustworthiness_trustworthy_compliance_certification,"['trustworthiness', 'trustworthy', 'compliance', 'certification', 'ethical', 'oversight', 'applications', 'documentation', 'management', 'auditing']","['ethical adr systems trustworthiness by design for ai centric ai systems that embed the technical foundations of trustworthy ai across industrial applications demonstrating ޘsafety ޘrobustness ޘexplainability ޘauditability eg', 'adra strategic research innovation and deployment agenda solution areas applications towards certification of trustworthiness challenge establishing trustworthiness as ai systems become more complex their trustworthiness may become opaque for designers professional users and the public', 'research on and development of methods to create foundations for compliance by design ޘenterprise it solutions architecture models for ai developers providers users importers and distributors models for ai and dynamic compliance ޘdata documentation methods ޘhuman oversight methods ޘai system monitoring methods pilot ޘai models ޘdata documentation methods ޘhuman oversight methods ޘai system monitoring methods sandboxing ޘdevelop and pilot of ai sandboxing methods ޘharmonisation within the legal landscape auditing methods ޘdevelop and pilot auditing methods establishment of governance frameworks for trustworthiness by design establishment of architect processes for ethical ai']"
4,49,4_research_benefit_innovation_skills,"['research', 'benefit', 'innovation', 'skills', 'technical', 'sectors', 'organisations', 'advances', 'disciplines', 'broader']","['however europe does benefit from access to the talent based in existing ai research centres and networks of ai excellence which can be leveraged in support of opportunities to ground research in local industry', 'these connections can be fostered through vibrant local innovation ecosystems that bring together researchers businesses and civil society to identify opportunities to deploy ai for economic and social benefit the capabilities required for deployment across industry sectors and the safeguards necessary to ensure its safe use', 'these technologies will emerge from vibrant ecosystem that is focused on delivering excellent research that integrates fundamental ai research and deployment challenges and that grounds such research in local innovation ecosystems with pipeline from innovation to deployment']"
5,41,5_adra_strategic_innovation_roadmap,"['adra', 'strategic', 'innovation', 'roadmap', 'global', 'act', 'tokens', 'regulations', 'development', 'trl']","['adra strategic research innovation and deployment agenda', 'adra strategic research innovation and deployment agenda', 'adra strategic research innovation and deployment agenda']"
6,39,6_ecosystems_interoperability_business_governance,"['ecosystems', 'interoperability', 'business', 'governance', 'semantic', 'twins', 'space', 'sectors', 'standards', 'applications']","['solution areas and aspects to tackle objectives objectives interoperability between complex ecosystems ޘidentification of synergies across sectors ޘinteroperability at different levels intra and inter data spaces and with other ecosystems ޘcombination of approaches ޘai driven interoperability intelligent data spaces ޘstandarization needs ޘinteroperability within data spaces ޘinteroperability between data spaces in close sectors similar complementary ontologies ޘtop down approach business driven interoperability based on use cases involving few data spaces business synergies', 'ޘupskilling identification of new required skills digital literacy programs ޘfull integration of ai in data ecosystems intelligent data spaces ޘdata spaces and data sharing as commodity ޘadvance data driven business models ޘgeneralization of data spaces for ai ޘconnection of ds to infrastructures testing and experimentation facilities ai platforms services and solutions data platforms and marketplaces ޘextended literacy awareness knowledge on how create manage onboard use data spaces adra strategic research innovation and deployment agenda solution areas and aspects to tackle objectives objectives data spaces and digital twin and other applications ޘidentification and assessment ޘarchitectures ޘstandards ޘassessment of applications most intended to benefit from and foster the development of data spaces digital twin metaverse llms etc', 'ޘholistic protection and ensuring privacy along the continuum adoption and of data spaces ޘai for data spaces intelligent data spaces ޘeasy access and adoption ޘvalue generation and business models ޘbenchmarking and maturity assessment ޘspecific skills ޘapplication of ai and llms to automation of data space management data cleaning data enrichment semantic interoperability data description provenance and traceability ޘeasy access and use of data spaces ޘidentification of new data driven value generation in data spaces and digital ecosystems ޘdata spaces for ai']"
7,34,7_privacy_encryption_access_security,"['privacy', 'encryption', 'access', 'security', 'unauthorised', 'compliance', 'exchange', 'silos', 'transactions', 'interoperability']","['there has been significant progress towards raising awareness about the benefits of sharing data breaking data silos and efforts to foster the exchange of data at different levels', 'it also addressed technologies and solutions for data sharing in common european data spaces through topics such as compliance privacy data management data trading monetization exchange and interoperability', 'ޘmethods to produce appropriate exhaustive descriptions of data in its different dimensions for trusted data transactions and data sharing ޘfederated learning and secure computing ޘapplication of advanced data protection methods against new threads with quantum computers being able to break current encryption techniques ޘanonymization and pseudonymization against advanced adversarial techniques ޘdata descriptions and data quality as dynamic features adaptative to intended applications included ai and foundation models ޘmaturation of pets like multiparty computation and homomorphic encryption']"
8,31,8_robotics_climate_missions_global,"['robotics', 'climate', 'missions', 'global', 'technologies', 'adaptation', 'leadership', 'health', 'forecast', 'asia']","['large scale testbeds that can integrate ai data and robotics with existing systems in highly realistic environments are first stage necessity that can create greater understanding of the impact functionality and effect of combining these technologies and applying them to the real world', 'large scale testbeds that can integrate ai data and robotics with existing systems in highly realistic environments are first stage necessity that can create greater understanding of the impact functionality and effect of combining these technologies and applying them to the real world', 'strengthening the leadership of european industries in vision and robotics technologies europe is world leader in robotics computer vision and trustworthy ai technologies with considerable global market share and ecosystem of scientists developers suppliers system integrators and']"
